Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha;similarity_rationales;contradiction_rationales
Introduce acpi_lid_notify();lid handling in acpi_button_notify() is special;adds an acpi_handle_debug call  ;to help debugging this;Similar;0.8696728944778442;0.4927486777305603;
Introduce acpi_lid_notify();lid handling in acpi_button_notify() is special;Reversion of button.lid_init_state=method;doing so can enter a regression loop, but facilitates users to work the reported regressions around with;Similar;0.8089457750320435;0.4785800576210022;
Introduce acpi_lid_notify();lid handling in acpi_button_notify() is special;convert that back to ACPI_BUTTON_NOTIFY_STATUS;to preserve user-space backward compatibility;Similar;0.8144063949584961;0.5723090171813965;
Introduce acpi_lid_notify();lid handling in acpi_button_notify() is special;"proc_fops is declared as ""const""";should give some thoughts;Similar;0.8226295709609985;0.474880576133728;
fix some coding style issues;fix some coding style issues;Fix some coding style issues reported by checkpatch.pl;including the following types;Similar;0.850007176399231;0.5377175807952881;
replace the direct printk() invocations with pr_info() and drop the unneeded PREFIX symbol definition from battery.c;changes the excessive log level for some of them too;Remove unused ACPI button procfs interface;unused;Similar;0.816499650478363;0.3610398769378662;
replace the direct printk() invocations with pr_info() and drop the unneeded PREFIX symbol definition from battery.c;changes the excessive log level for some of them too;Add CONFIG_ACPI_PROC_EVENT to allow removal of /proc/acpi/event;to allow removal of /proc/acpi/event;Similar;0.8068422079086304;0.45413005352020264;
"Remove the "" MD60198"" part from the E2215T quirk";the MD60### part of the model number differs per country/batch while all of the E2215T and E2228T models have this issue;Drop no longer necessary Acer SW5-012 lid_init_state quirk;no longer necessary;Similar;0.8025887608528137;0.33833014965057373;
"Remove the "" MD60198"" part from the E2215T quirk";the MD60### part of the model number differs per country/batch while all of the E2215T and E2228T models have this issue;drop the second ACPI driver .remove() argument  ;the second ACPI driver .remove() argument is in fact useless;Similar;0.8028779625892639;0.37987688183784485;
"Remove the "" MD60198"" part from the E2215T quirk";the MD60### part of the model number differs per country/batch while all of the E2215T and E2228T models have this issue;remove unused procfs I/F;unused;Similar;0.8061790466308594;0.30530813336372375;
Drop no longer necessary Acer SW5-012 lid_init_state quirk;no longer necessary;Drop no longer necessary Asus T200TA lid_init_state quirk;no longer necessary;Similar;0.960751175880432;1.0;
Drop no longer necessary Acer SW5-012 lid_init_state quirk;no longer necessary;drop the second ACPI driver .remove() argument  ;the second ACPI driver .remove() argument is in fact useless;Similar;0.8100870251655579;0.6530174612998962;
Drop no longer necessary Acer SW5-012 lid_init_state quirk;no longer necessary;remove unused procfs I/F;unused;Similar;0.8044151067733765;0.8652921915054321;
we no longer need to disable the lid functionality on the Acer SW5-012;Now that this workaround is in place;We no longer need a pointer from struct acpi_button back to the struct acpi_device;no longer need;Similar;0.8631794452667236;0.5786699652671814;
Remove unnecessary fall-through markings  ;when it is the case;Avoid disabling wakeup unnecessarily on remove;-;Similar;0.8177422285079956;0.8752346634864807;
Delete unused proc filename macros;unused;Remove unused acpi_lid_notifier_[un]register() functions;unused;Similar;0.876331090927124;1.0;
Delete unused proc filename macros;unused;Remove pointer to old lid_sysfs on unbind;ACPI / button;Similar;0.862403392791748;0.5368050932884216;
Delete unused proc filename macros;unused;remove the GPE enabling code from the button driver;to avoid the problem;Similar;0.823997437953949;0.7377198934555054;
Delete unused proc filename macros;unused;Remove unused ACPI button procfs interface;unused;Similar;0.8663809299468994;1.0;
Drop no longer necessary Asus T200TA lid_init_state quirk;no longer necessary;We no longer need a pointer from struct acpi_button back to the struct acpi_device;no longer need;Similar;0.8036028146743774;0.9835231304168701;
