Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha
trigger wakeup key events;ACPI: button;Introduce acpi_lid_notify();lid handling in acpi_button_notify() is special;Similar;0.648673415184021
trigger wakeup key events;ACPI: button;fix some coding style issues;fix some coding style issues;Similar;0.552395224571228
trigger wakeup key events;ACPI: button;code indent should use tabs where possible;to maintain consistency and follow coding standards;Similar;0.5545645952224731
trigger wakeup key events;ACPI: button;fix handling lid state changes when input device closed;-;Similar;0.5422711372375488
trigger wakeup key events;ACPI: button;Lets ensure that state updates happen even if userspace closed (or in the future inhibited) input device;state updates happen even if userspace closed (or in the future inhibited) input device;Similar;0.5032614469528198
trigger wakeup key events;ACPI: button;"
The problem here is the accesses to the PBCG and HMCG
";"
these are the pinconf0 registers for the power";Similar;0.538925051689148
trigger wakeup key events;ACPI: button;adds the BYT_TRIG_LVL flag to this;so now it is turned into a level interrupt which fires both when low and high, iow it simply always fires leading to an interrupt storm, the tablet immediately waking up from suspend again, etc;Similar;0.6188116073608398
trigger wakeup key events;ACPI: button;This commit adds a quirk for this;as no lid-switch function is better then the interrupt storm;Similar;0.743364155292511
trigger wakeup key events;ACPI: button;Setting lid_init_state to ACPI_BUTTON_LID_INIT_OPEN on the T200TA  ;fixes the unwanted behavior, adds a DMI based quirk;Similar;0.5260249376296997
trigger wakeup key events;ACPI: button; the lid_init_state selection needs to be set to ACPI_BUTTON_LID_INIT_OPEN  ;In order for the Linux LID code to work properly with this implementation;Similar;0.6569445133209229
trigger wakeup key events;ACPI: button;re-using the existing option;keeps things simple and it will make it much easier to add DMI quirks which can either disable the LID completely or set another non-default lid_init_state value, both of which are necessary on some devices;Similar;0.6766685247421265
trigger wakeup key events;ACPI: button;[ an action or a change that has been made, including a description of the patch behaviour ];[ the reason for a decision or value judgment ];Similar;0.6638842225074768
trigger wakeup key events;ACPI: button;Increment wakeup count only when notified;-;Similar;0.6344114542007446
trigger wakeup key events;ACPI: button;adds an acpi_handle_debug call  ;to help debugging this;Similar;0.6228471994400024
trigger wakeup key events;ACPI: button;Fix function prototypes for module_param_call();-;Similar;0.5360919237136841
trigger wakeup key events;ACPI: button;The ->sync hook allows all of the relevant event queues to be flushed;to prevent events from being missed due to race conditions;Similar;0.5496652126312256
trigger wakeup key events;ACPI: button;libinput (1.7.0+) can fix the state of the lid switch for us: you need to set the udev property LIBINPUT_ATTR_LID_SWITCH_RELIABILITY to write_open;can fix the state of the lid switch for us;Similar;0.5138925313949585
trigger wakeup key events;ACPI: button;Reversion of button.lid_init_state=method;doing so can enter a regression loop, but facilitates users to work the reported regressions around with;Similar;0.6396855115890503
trigger wakeup key events;ACPI: button;Remove lid_init_state=method mode;Fixes: ecb10b694b72 (ACPI / button: Remove lid_init_state=method mode);Similar;0.5290156602859497
trigger wakeup key events;ACPI: button;The ->sync hook allows all of the relevant event queues to be flushed;to prevent events from being missed due to race conditions;Similar;0.5496652126312256
trigger wakeup key events;ACPI: button;This patch adds a mechanism to insert lid events as a compensation for the platform triggered ones to form a complete event switches  ;in order to make sure that the platform triggered events can always be reliably delivered to the userspace;Similar;0.579889178276062
trigger wakeup key events;ACPI: button;implements this mechanism  ;only;Similar;0.7109057903289795
trigger wakeup key events;ACPI: button;Use key event type to implement ACPI lid events;Another approach;Similar;0.7668689489364624
trigger wakeup key events;ACPI: button;Add ACPI Button event via netlink routine;-;Similar;0.651358962059021
trigger wakeup key events;ACPI: button;add ACPI Button event back via netlink routine;Now ACPI events are sent to userspace via netlink;Similar;0.6244664788246155
trigger wakeup key events;ACPI: button;compile error;CONFIG_PM_SLEEP is undefined;Similar;0.5936062335968018
trigger wakeup key events;ACPI: button;Fix enabling button GPEs twice;Fix;Similar;0.5140728950500488
trigger wakeup key events;ACPI: button;Button GPEs have been enabled in the acpi_wake_device_init() during boot;the button driver enables them for the second time;Similar;0.5635579824447632
trigger wakeup key events;ACPI: button;Clean up inclusions of ACPI header files;ACPI;Similar;0.5056033730506897
trigger wakeup key events;ACPI: button;<acpi/acpi_bus.h> be included prior to <acpi/acpi_drivers.h>;so that the acpi_pci_root declarations the latter depends on are always there;Similar;0.5459622144699097
trigger wakeup key events;ACPI: button;Use device wakeup flags for handling ACPI wakeup devices;for handling ACPI wakeup devices;Similar;0.7177128195762634
trigger wakeup key events;ACPI: button;Use GPE reference counting to support shared GPEs  ;the wakeup enable mask bits of GPEs are set as soon as the GPEs are enabled to wake up the system;Similar;0.5341171622276306
trigger wakeup key events;ACPI: button;it is sufficient to set/unset the wakeup mask bits for them during system sleep transitions;"this means that the reference counting of ""wakeup"" GPEs doesnt really make sense";Similar;0.5784398317337036
trigger wakeup key events;ACPI: button;This will allow us to simplify the GPE handling code quite a bit;that change is too intrusive for 2.6.35;Similar;0.5360747575759888
trigger wakeup key events;ACPI: button;Update gfp.h and slab.h includes  ;prepare for breaking implicit slab.h inclusion from percpu.h;Similar;0.5555185079574585
trigger wakeup key events;ACPI: button;Prepare for this change by updating users of gfp and slab facilities;include those headers directly instead of assuming availability;Similar;0.5446329116821289
trigger wakeup key events;ACPI: button;the following script is used as the basis of conversion;As this conversion needs to touch a large number of source files;Similar;0.591173529624939
trigger wakeup key events;ACPI: button;put the new include  ;its order conforms to its surrounding;Similar;0.6681084036827087
trigger wakeup key events;ACPI: button;prints out an error message indicating which .h file needs to be added to the file;the file doesnt have fitting include block;Similar;0.5124584436416626
trigger wakeup key events;ACPI: button;The script was run again  ;to make sure no file was left behind;Similar;0.5817824006080627
trigger wakeup key events;ACPI: button;description of the patch behaviour;an action or a change;Similar;0.5761885643005371
trigger wakeup key events;ACPI: button;failures were fixed;Build tests were done on the following configurations;Similar;0.548797607421875
trigger wakeup key events;ACPI: button;percpu.h modifications were reverted  ;so that it could be applied as a separate patch and serve as bisection point;Similar;0.5977632403373718
