Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Removed  <file_name> , replaced with  <file_name> , which moved to model package with  <file_name> ;moved to model package;Contradicts;0.965401828289032
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Brought in old <file_name> for compatibility. Renamed new <file_name> to <method_name>  ;for compatibility;Contradicts;0.8084200620651245
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Fixes <issue_link>;Fix <version> release notes, make sure markdown errors halt <file_name>;Contradicts;0.6401094794273376
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Adding bogus markdown;should be removed later;Contradicts;0.5874349474906921
Wrap the invocation of <iden>() within a try-catch block  ;Exceptions from <iden>() were causing unrooted tests;Removed  <file_name> , replaced with  <file_name> , which moved to model package with  <file_name> ;moved to model package;Contradicts;0.9724460244178772
Wrap the invocation of <iden>() within a try-catch block  ;Exceptions from <iden>() were causing unrooted tests;Brought in old <file_name> for compatibility. Renamed new <file_name> to <method_name>  ;for compatibility;Contradicts;0.7730948328971863
Fix dead link to the ant task in <file_name> (<pr_link>);"The link is dead; task has been moved to another location";Removed  <file_name> , replaced with  <file_name> , which moved to model package with  <file_name> ;moved to model package;Contradicts;0.7997395396232605
Fix dead link to the ant task in <file_name> (<pr_link>);"The link is dead; task has been moved to another location";Brought in old <file_name> for compatibility. Renamed new <file_name> to <method_name>  ;for compatibility;Contradicts;0.6637119650840759
Fix many warnings (Eclipse <version>/Juno based);Enh: add new staticondemandthreshold setting to eclipse project jdt.ui preference settings file;Removed  <file_name> , replaced with  <file_name> , which moved to model package with  <file_name> ;moved to model package;Contradicts;0.990884006023407
Fix many warnings (Eclipse <version>/Juno based);Enh: add new staticondemandthreshold setting to eclipse project jdt.ui preference settings file;Adding bogus markdown;should be removed later;Contradicts;0.7584356665611267
Fix many warnings (Eclipse <version>/Juno based);Enh: add new staticondemandthreshold setting to eclipse project jdt.ui preference settings file;Remove 11;Omit signing;Contradicts;0.6425262689590454
changed the <iden>() method to accept a <iden> instead of an explicit <iden>;made some documentation changes;Brought in old <file_name> for compatibility. Renamed new <file_name> to <method_name>  ;for compatibility;Contradicts;0.6807149648666382
Remove redundant field <iden> ;redundant;Removed  <file_name> , replaced with  <file_name> , which moved to model package with  <file_name> ;moved to model package;Contradicts;0.9282000660896301
Remove redundant field <iden> ;redundant;Brought in old <file_name> for compatibility. Renamed new <file_name> to <method_name>  ;for compatibility;Contradicts;0.6814550161361694
Remove redundant field <iden> ;redundant;Adding bogus markdown;should be removed later;Contradicts;0.546074390411377
Remove redundant field <iden> ;redundant;Fix javac build, Replace both() with <iden>()  ;Fix, <iden>();Contradicts;0.9031662344932556
Implemented the changes proposed by davidhart82;proposed by davidhart82;Removed  <file_name> , replaced with  <file_name> , which moved to model package with  <file_name> ;moved to model package;Contradicts;0.9690989851951599
Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;Pull <iden> up into <file_name>;reorganization of code;Contradicts;0.8446296453475952
Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;Deprecate rule  <file_name>  ( <pr_link> )  ;The method Assert.assertThrows provides a nicer way for verifying exceptions. In addition the use of  <file_name>  is error-prone when used with other rules like TestWatcher because the order of rules is important in that case.;Contradicts;0.8186021447181702
Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;Disable parts of doclint for the sites javadoc;That commit is missing to apply the doclint rules to site generation. Hence the site goal fails because of doclint issues. Now doclint is disabled for all groups but accessibility and reference for the site generation.;Contradicts;0.5626627206802368
Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;Added <iden> check for MultiPointsMethod;Fix for issue <issue_link>;Contradicts;0.7436516880989075
Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;<iden> added;file_name;Contradicts;0.6367220282554626
Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;No  <file_name>  class, interceptors turned on by default;interceptors turned on by default;Contradicts;0.8693573474884033
Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;Delete all constructors created since <version> was released. Fix style issues.;Create a <iden> for <method_name> <enter>;Contradicts;0.866656482219696
Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;Incorporated <iden>s patch for <file_name>;<enter>;Contradicts;0.7132675647735596
Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;no #<iden>, no inline comment, added space in comment  ;added space in comment;Contradicts;0.5395312309265137
Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;Brought in old <file_name> for compatibility. Renamed new <file_name> to <method_name>  ;for compatibility;Contradicts;0.9384498596191406
Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;Move <file_name> to experimental;Adding javadoc;Contradicts;0.6599173545837402
Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;Create a class <method_name>  ;This class keeps the data together that are needed for creating a runner for a single data set of a <file_name> test.;Contradicts;0.7923823595046997
Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;Move <file_name> to package org.junit.runners.model  ;It is common to add tests to the same package as the class under test;Contradicts;0.6828483939170837
Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;Delete <file_name> files;because were using Git now;Contradicts;0.936248242855072
Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;Adding bogus markdown;should be removed later;Contradicts;0.6400893330574036
Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;Remove 11;Omit signing;Contradicts;0.7178174257278442
Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;Fix javac build, Replace both() with <iden>()  ;Fix, <iden>();Contradicts;0.7170791029930115
Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;Adding <iden> annotation for field parameters;Pull request <pr_link> && <pr_link>;Contradicts;0.6585559248924255
