Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha;similarity_rationales;contradiction_rationales
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Better validation in <file_name> ;Improve validation;Similar;0.8318653106689453;0.4816613793373108;
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Pull <iden> up into <file_name>;reorganization of code;Similar;0.82390296459198;0.3966965675354004;
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Added <iden> check for MultiPointsMethod;Fix for issue <issue_link>;Similar;0.8229324817657471;0.5483136773109436;
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Fix regression in <method_name> for paths with slashes;In JUnit <version>, <iden>(String) was changed to no longer support paths with a file separator. This has been fixed.;Similar;0.8028505444526672;0.5258401036262512;
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Add tests for serialization of <method_name>;serialization;Similar;0.8426121473312378;0.38125884532928467;
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Make serialization of <file_name> compatible with <version>;compatibility;Similar;0.8037916421890259;0.5193288922309875;
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Fix method names;in <method_name>;Similar;0.8836232423782349;0.48338133096694946;
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Incorporated <iden>s patch for <file_name>;<enter>;Similar;0.8561153411865234;0.4133530855178833;
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Fix javadoc on <file_name>;-;Similar;0.8582039475440979;0.3734210729598999;
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Improved <iden>: <file_name>  ;fails few times;Similar;0.8356387615203857;0.45357686281204224;
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Create a class <method_name>  ;This class keeps the data together that are needed for creating a runner for a single data set of a <file_name> test.;Similar;0.8050673007965088;0.36158740520477295;
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Revert changes of <otherCommit_link>;Still fixes <issue_link>, but the original fix was superfluous.;Similar;0.8056252002716064;0.6050356030464172;
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Fixes <issue_link>;Fix <version> release notes, make sure markdown errors halt <file_name>;Similar;0.8868848085403442;0.48043742775917053;
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Update <file_name>;to test ant profile;Similar;0.8924816846847534;0.3371466100215912;
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Fix  <method_name>  javadoc  ;Thanks to lacostej for initial pull, Closes <pr_link>;Similar;0.8809400200843811;0.4231719970703125;
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Fix <issue_link>;correct link to <version> release notes;Similar;0.9038089513778688;0.433146595954895;
Remove redundant field <iden> ;redundant;Remove unnecessary comments;unnecessary;Similar;0.8131972551345825;0.9226030111312866;
Remove redundant field <iden> ;redundant;Deprecate rule  <file_name>  ( <pr_link> )  ;The method Assert.assertThrows provides a nicer way for verifying exceptions. In addition the use of  <file_name>  is error-prone when used with other rules like TestWatcher because the order of rules is important in that case.;Similar;0.8065274953842163;0.13326570391654968;
Remove redundant field <iden> ;redundant;Remove <iden> from <file_name> and related methods;<iden> is no longer needed;Similar;0.8444708585739136;0.8292053937911987;
Remove redundant field <iden> ;redundant;Removed unused import;unused;Similar;0.8287183046340942;0.8929481506347656;
Remove redundant field <iden> ;redundant;Remove useless variable ( <pr_link> )  ;useless;Similar;0.89540696144104;0.9062662720680237;
Remove redundant field <iden> ;redundant;Removed the unnecessary <iden>: block in javadoc;unnecessary;Similar;0.8045877814292908;0.9226030111312866;
Remove redundant field <iden> ;redundant;remove f prefix from field names, add <file_name>, change <file_name>;reformatting and standardizing field names;Similar;0.8171983957290649;0.3369639813899994;
Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;Brought in old <file_name> for compatibility. Renamed new <file_name> to <method_name>  ;for compatibility;Similar;0.8128692507743835;0.55428147315979;
Better validation in <file_name> ;Improve validation;Add tests for serialization of <method_name>;serialization;Similar;0.8000072240829468;0.588921070098877;
Better validation in <file_name> ;Improve validation;Improved <iden>: <file_name>  ;fails few times;Similar;0.8721511363983154;0.5796694159507751;
Better validation in <file_name> ;Improve validation;Update <file_name>;to test ant profile;Similar;0.8245731592178345;0.46284040808677673;
A <file_name> can be explicitly passed to a <iden> class that needs one in its constructor.;This eliminates the ugly global constant <file_name> in <file_name>, and breaks the cyclic dependency between runners and requests;Create a class <method_name>  ;This class keeps the data together that are needed for creating a runner for a single data set of a <file_name> test.;Similar;0.8534529209136963;0.3250984251499176;
Remove unnecessary comments;unnecessary;Remove useless variable ( <pr_link> )  ;useless;Similar;0.8358879089355469;0.9355728030204773;
Moved <file_name> into proper package;proper;Pull <iden> up into <file_name>;reorganization of code;Similar;0.819852352142334;0.5175847411155701;
Moved <file_name> into proper package;proper;Make serialization of <file_name> compatible with <version>;compatibility;Similar;0.8176326751708984;0.9199258089065552;
Moved <file_name> into proper package;proper;Incorporated <iden>s patch for <file_name>;<enter>;Similar;0.8158729076385498;0.7177221775054932;
Moved <file_name> into proper package;proper;Improved <iden>: <file_name>  ;fails few times;Similar;0.8267415761947632;0.506575345993042;
Moved <file_name> into proper package;proper;Update <file_name>;to test ant profile;Similar;0.8189374208450317;0.27314049005508423;
