Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha;similarity_rationales
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Removed  <file_name> , replaced with  <file_name> , which moved to model package with  <file_name> ;moved to model package;Contradicts;0.965401828289032;0.3493657410144806
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Brought in old <file_name> for compatibility. Renamed new <file_name> to <method_name>  ;for compatibility;Contradicts;0.8084200620651245;0.5659056901931763
Wrap the invocation of <iden>() within a try-catch block  ;Exceptions from <iden>() were causing unrooted tests;Removed  <file_name> , replaced with  <file_name> , which moved to model package with  <file_name> ;moved to model package;Contradicts;0.9724460244178772;0.4579333961009979
Fix many warnings (Eclipse <version>/Juno based);Enh: add new staticondemandthreshold setting to eclipse project jdt.ui preference settings file;Removed  <file_name> , replaced with  <file_name> , which moved to model package with  <file_name> ;moved to model package;Contradicts;0.990884006023407;0.5584924221038818
Remove redundant field <iden> ;redundant;Removed  <file_name> , replaced with  <file_name> , which moved to model package with  <file_name> ;moved to model package;Contradicts;0.92820006608963;0.38533294200897217
Remove redundant field <iden> ;redundant;Fix javac build, Replace both() with <iden>()  ;Fix, <iden>();Contradicts;0.9031662344932556;0.5854302048683167
Implemented the changes proposed by davidhart82;proposed by davidhart82;Removed  <file_name> , replaced with  <file_name> , which moved to model package with  <file_name> ;moved to model package;Contradicts;0.96909898519516;0.6105321645736694
Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;Pull <iden> up into <file_name>;reorganization of code;Contradicts;0.8446296453475952;0.4491666257381439
Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;Deprecate rule  <file_name>  ( <pr_link> )  ;The method Assert.assertThrows provides a nicer way for verifying exceptions. In addition the use of  <file_name>  is error-prone when used with other rules like TestWatcher because the order of rules is important in that case.;Contradicts;0.8186021447181702;0.5493116974830627
Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;No  <file_name>  class, interceptors turned on by default;interceptors turned on by default;Contradicts;0.8693573474884033;0.4095516800880432
Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;Delete all constructors created since <version> was released. Fix style issues.;Create a <iden> for <method_name> <enter>;Contradicts;0.866656482219696;0.5903692245483398
Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;Brought in old <file_name> for compatibility. Renamed new <file_name> to <method_name>  ;for compatibility;Contradicts;0.9384498596191406;0.55428147315979
Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;Delete <file_name> files;because were using Git now;Contradicts;0.936248242855072;0.45531055331230164
Better validation in <file_name> ;Improve validation;Adding bogus markdown;should be removed later;Contradicts;0.8450176119804382;0.5785425305366516
A <file_name> can be explicitly passed to a <iden> class that needs one in its constructor.;This eliminates the ugly global constant <file_name> in <file_name>, and breaks the cyclic dependency between runners and requests;Remove <iden> from <file_name> and related methods;<iden> is no longer needed;Contradicts;0.8511486649513245;0.465097039937973
A <file_name> can be explicitly passed to a <iden> class that needs one in its constructor.;This eliminates the ugly global constant <file_name> in <file_name>, and breaks the cyclic dependency between runners and requests;Delete all constructors created since <version> was released. Fix style issues.;Create a <iden> for <method_name> <enter>;Contradicts;0.8608915209770203;0.38669103384017944
A <file_name> can be explicitly passed to a <iden> class that needs one in its constructor.;This eliminates the ugly global constant <file_name> in <file_name>, and breaks the cyclic dependency between runners and requests;Fix <issue_link>;correct link to <version> release notes;Contradicts;0.845709502696991;0.25633394718170166
Remove unnecessary comments;unnecessary;Removed  <file_name> , replaced with  <file_name> , which moved to model package with  <file_name> ;moved to model package;Contradicts;0.9695390462875366;0.3434739112854004
<file_name> handles filtering and sorting for all runners, now including <file_name>;handles filtering and sorting for all runners;Brought in old <file_name> for compatibility. Renamed new <file_name> to <method_name>  ;for compatibility;Contradicts;0.8595986366271973;0.2914879322052002
Ignored tests should be shown differently in stack trace section of report;ignored;Removed  <file_name> , replaced with  <file_name> , which moved to model package with  <file_name> ;moved to model package;Contradicts;0.9224951267242432;0.3538525104522705
Moved <file_name> into proper package;proper;Move <file_name> to experimental;Adding javadoc;Contradicts;0.9126983880996704;0.3793102502822876
