Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Wrap the invocation of <iden>() within a try-catch block  ;Exceptions from <iden>() were causing unrooted tests;Similar;0.6771162152290344
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Fix dead link to the ant task in <file_name> (<pr_link>);"The link is dead; task has been moved to another location";Similar;0.5939651727676392
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Fix many warnings (Eclipse <version>/Juno based);Enh: add new staticondemandthreshold setting to eclipse project jdt.ui preference settings file;Similar;0.5750546455383301
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;changed the <iden>() method to accept a <iden> instead of an explicit <iden>;made some documentation changes;Similar;0.7120740413665771
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Remove redundant field <iden> ;redundant;Similar;0.6691869497299194
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Implemented the changes proposed by davidhart82;proposed by davidhart82;Similar;0.7102205753326416
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;Similar;0.7535548806190491
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Better validation in <file_name> ;Improve validation;Similar;0.8318653106689453
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;A <file_name> can be explicitly passed to a <iden> class that needs one in its constructor.;This eliminates the ugly global constant <file_name> in <file_name>, and breaks the cyclic dependency between runners and requests;Similar;0.7258545160293579
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Remove unnecessary comments;unnecessary;Similar;0.5230448842048645
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Ignored tests should be shown differently in stack trace section of report;ignored;Similar;0.5355536937713623
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Moved <file_name> into proper package;proper;Similar;0.7942199110984802
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Pull <iden> up into <file_name>;reorganization of code;Similar;0.82390296459198
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Fixed a bug in <file_name> classes with constructor parameters  ;where the method parameters and constructor parameters were switched;Similar;0.7393395304679871
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Removed  <file_name> , replaced with  <file_name> , which moved to model package with  <file_name> ;moved to model package;Similar;0.6994011402130127
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Renamed link classes  ;Absolute actions are verbs, ActionModifiers are modifying phrases, Moved isShadowedBy(List) to <file_name>;Similar;0.7329246401786804
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Created a separate <file_name> directory for new <file_name> scripts, including FTP upload;Organizing and structuring directories for new scripts;Similar;0.5786425471305847
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Updated README  ;about Enclosed;Similar;0.7039102911949158
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Deprecate rule  <file_name>  ( <pr_link> )  ;The method Assert.assertThrows provides a nicer way for verifying exceptions. In addition the use of  <file_name>  is error-prone when used with other rules like TestWatcher because the order of rules is important in that case.;Similar;0.7885555028915405
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Disable parts of doclint for the sites javadoc;That commit is missing to apply the doclint rules to site generation. Hence the site goal fails because of doclint issues. Now doclint is disabled for all groups but accessibility and reference for the site generation.;Similar;0.6058299541473389
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Adding additional javadoc context for deprecated <method_name>, Adding <file_name> entry for pholser, Starting <version> release notes;for deprecated <method_name>, for pholser, starting release notes;Similar;0.6876681447029114
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;beef up <file_name> with checkThat and checkPasses  ;Advance version;Similar;0.6223548650741577
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Added <iden> check for MultiPointsMethod;Fix for issue <issue_link>;Similar;0.8229324817657471
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;ExpectedException allows multiple exceptions;multiple exceptions;Similar;0.5344021320343018
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Fix regression in <method_name> for paths with slashes;In JUnit <version>, <iden>(String) was changed to no longer support paths with a file separator. This has been fixed.;Similar;0.8028505444526672
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;adding annotation validators functionality;validators;Similar;0.7620798945426941
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Added more Javadoc to <file_name> for messages and when they are displayed;Put versiontag back into <method_name>;Similar;0.6421788930892944
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Added two simple tests for boolean <iden>;to test for boolean values;Similar;0.5770795941352844
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Only use a property where multiple entries need syncing  ;Using properties to define a shared version across multiple dependencies causes less issues when you have multiple dependencies that need to be kept in sync;Similar;0.5683404207229614
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Fix distribution management;distribution management;Similar;0.7158774137496948
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;<iden> added;file_name;Similar;0.7688479423522949
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Added <file_name> large logo;to enhance appearance;Similar;0.597912073135376
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Add tests for serialization of <method_name>;serialization;Similar;0.8426121473312378
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Remove <iden> from <file_name> and related methods;<iden> is no longer needed;Similar;0.6744558215141296
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Delete all constructors created since <version> was released. Fix style issues.;Create a <iden> for <method_name> <enter>;Similar;0.5031008720397949
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Make serialization of <file_name> compatible with <version>;compatibility;Similar;0.8037916421890259
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Fix method names;in <method_name>;Similar;0.8836232423782349
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Make  <file_name>  abstract  ;Fix issue 30;Similar;0.7093945741653442
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Improve error message  ;the thrown exception has the same class but the classes are loaded from different class loaders;Similar;0.6498107314109802
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Cleaning up compile errors;from reverting hamcrest change;Similar;0.628424346446991
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Make  <file_name>  more beautiful by creating a <iden>  <enter> extension point in  <file_name>  <enter>;beautiful;Similar;0.5581636428833008
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Incorporated <iden>s patch for <file_name>;<enter>;Similar;0.8561153411865234
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Fix javadoc on <file_name>;-;Similar;0.8582039475440979
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;reuse code properly from <file_name>;CategoriesMark2;Similar;0.7498316764831543
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Rule name changes;Fixing <file_name>;Similar;0.7114517688751221
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Simplify <iden> implementation for backward compatibility;for backward compatibility;Similar;0.6880960464477539
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;no #<iden>, no inline comment, added space in comment  ;added space in comment;Similar;0.506467342376709
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Improved <iden>: <file_name>  ;fails few times;Similar;0.8356387615203857
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Brought in old <file_name> for compatibility. Renamed new <file_name> to <method_name>  ;for compatibility;Similar;0.7714542150497437
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Move <file_name> to experimental;Adding javadoc;Similar;0.794284462928772
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Tweaked <file_name> a bit  ;It still seems strange that the class runner creates a statement which creates another class runner (or perhaps more class runners?);Similar;0.7778266668319702
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Comparing arrays declared as <iden> now uses array comparison. There was also a strange change to the <file_name> file that I reverted.;<none>;Similar;0.6548472046852112
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Enhanced missing test.jar error message;missing test.jar error message;Similar;0.6117415428161621
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Create a class <method_name>  ;This class keeps the data together that are needed for creating a runner for a single data set of a <file_name> test.;Similar;0.8050673007965088
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Move <file_name> to package org.junit.runners.model  ;It is common to add tests to the same package as the class under test;Similar;0.7066389322280884
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Revert changes of <otherCommit_link>;Still fixes <issue_link>, but the original fix was superfluous.;Similar;0.8056252002716064
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Delete <file_name> files;because were using Git now;Similar;0.7245073318481445
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Fixes <issue_link>;Fix <version> release notes, make sure markdown errors halt <file_name>;Similar;0.8868848085403442
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;"Update version in <file_name>; delete obsolete <file_name>; remove duplication in <file_name>";obsolete, duplication;Similar;0.7368030548095703
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Update <file_name>;to test ant profile;Similar;0.8924816846847534
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Update <iden> version, improve <file_name> javadoc, update release notes;improve <file_name> javadoc, update release notes;Similar;0.7431842088699341
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;further documentation cleanup;especially around <file_name>;Similar;0.6389919519424438
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Adding bogus markdown;should be removed later;Similar;0.6104025840759277
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Fix  <method_name>  javadoc  ;Thanks to lacostej for initial pull, Closes <pr_link>;Similar;0.8809400200843811
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Fix compilation errors;Compilation errors;Similar;0.6794700622558594
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Use %n in string.format();it is generally preferable better to use %n, which will produce the platform-specific line separator;Similar;0.7767043113708496
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Remove useless variable ( <pr_link> )  ;useless;Similar;0.5836036205291748
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Use new logo and link to new website;Updated branding and improved user experience;Similar;0.5049386024475098
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Remove 11;Omit signing;Similar;0.5342317819595337
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Add more contributors;increase contributors;Similar;0.5369395017623901
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;List more contributor names;more;Similar;0.6406631469726562
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Add type wildcard;wildcard;Similar;0.6409494876861572
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Fix indentation;Fix;Similar;0.7714172601699829
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Fix <issue_link>;correct link to <version> release notes;Similar;0.9038089513778687
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Fix javac build, Replace both() with <iden>()  ;Fix, <iden>();Similar;0.7727183699607849
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Fix typo in test name;Typo;Similar;0.7534118890762329
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;hasCause() and hasMessage() describe mismatches;Both;Similar;0.5634519457817078
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Rename <iden>() to isException()/isThrowable();Following suggestion by @sf105;Similar;0.7732259035110474
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Update <file_name> to make the name field volatile;This ensures that the name is published across threads correctly--for instance, if a parallelized runner is used.;Similar;0.7096778750419617
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;each instead of f for the variable name;for the variable name;Similar;0.6269766092300415
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Adding <iden> annotation for field parameters;Pull request <pr_link> && <pr_link>;Similar;0.7836236953735352
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;surefire and javadoc maven plugin updates;updates;Similar;0.6804763674736023
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Reused <iden> instead of own defined class <enter> (they were the same) and relocated the changes to a better location in the file which is more inline with the rest of the file. And, of course, removed the superfluous brackets.;more inline with the rest of the file;Similar;0.5484022498130798
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;Removed the unnecessary <iden>: block in javadoc;unnecessary;Similar;0.6153362989425659
Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;remove f prefix from field names, add <file_name>, change <file_name>;reformatting and standardizing field names;Similar;0.6599357724189758
Wrap the invocation of <iden>() within a try-catch block  ;Exceptions from <iden>() were causing unrooted tests;Fix dead link to the ant task in <file_name> (<pr_link>);"The link is dead; task has been moved to another location";Similar;0.5566074848175049
Wrap the invocation of <iden>() within a try-catch block  ;Exceptions from <iden>() were causing unrooted tests;Fix many warnings (Eclipse <version>/Juno based);Enh: add new staticondemandthreshold setting to eclipse project jdt.ui preference settings file;Similar;0.5469341278076172
Wrap the invocation of <iden>() within a try-catch block  ;Exceptions from <iden>() were causing unrooted tests;changed the <iden>() method to accept a <iden> instead of an explicit <iden>;made some documentation changes;Similar;0.6097975969314575
Wrap the invocation of <iden>() within a try-catch block  ;Exceptions from <iden>() were causing unrooted tests;Remove redundant field <iden> ;redundant;Similar;0.5462700724601746
Wrap the invocation of <iden>() within a try-catch block  ;Exceptions from <iden>() were causing unrooted tests;Implemented the changes proposed by davidhart82;proposed by davidhart82;Similar;0.6510131359100342
Wrap the invocation of <iden>() within a try-catch block  ;Exceptions from <iden>() were causing unrooted tests;Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;Similar;0.6593191623687744
Wrap the invocation of <iden>() within a try-catch block  ;Exceptions from <iden>() were causing unrooted tests;Better validation in <file_name> ;Improve validation;Similar;0.5717668533325195
Wrap the invocation of <iden>() within a try-catch block  ;Exceptions from <iden>() were causing unrooted tests;A <file_name> can be explicitly passed to a <iden> class that needs one in its constructor.;This eliminates the ugly global constant <file_name> in <file_name>, and breaks the cyclic dependency between runners and requests;Similar;0.6041696071624756
Wrap the invocation of <iden>() within a try-catch block  ;Exceptions from <iden>() were causing unrooted tests;<file_name> handles filtering and sorting for all runners, now including <file_name>;handles filtering and sorting for all runners;Similar;0.5041888356208801
Wrap the invocation of <iden>() within a try-catch block  ;Exceptions from <iden>() were causing unrooted tests;Moved <file_name> into proper package;proper;Similar;0.6022290587425232
Wrap the invocation of <iden>() within a try-catch block  ;Exceptions from <iden>() were causing unrooted tests;Pull <iden> up into <file_name>;reorganization of code;Similar;0.6463022828102112
Wrap the invocation of <iden>() within a try-catch block  ;Exceptions from <iden>() were causing unrooted tests;Fixed a bug in <file_name> classes with constructor parameters  ;where the method parameters and constructor parameters were switched;Similar;0.5919780731201172
Wrap the invocation of <iden>() within a try-catch block  ;Exceptions from <iden>() were causing unrooted tests;Removed  <file_name> , replaced with  <file_name> , which moved to model package with  <file_name> ;moved to model package;Similar;0.53472900390625
Wrap the invocation of <iden>() within a try-catch block  ;Exceptions from <iden>() were causing unrooted tests;Renamed link classes  ;Absolute actions are verbs, ActionModifiers are modifying phrases, Moved isShadowedBy(List) to <file_name>;Similar;0.6042950749397278
Wrap the invocation of <iden>() within a try-catch block  ;Exceptions from <iden>() were causing unrooted tests;Created a separate <file_name> directory for new <file_name> scripts, including FTP upload;Organizing and structuring directories for new scripts;Similar;0.5519981384277344
Wrap the invocation of <iden>() within a try-catch block  ;Exceptions from <iden>() were causing unrooted tests;Updated README  ;about Enclosed;Similar;0.570244550704956
Wrap the invocation of <iden>() within a try-catch block  ;Exceptions from <iden>() were causing unrooted tests;Deprecate rule  <file_name>  ( <pr_link> )  ;The method Assert.assertThrows provides a nicer way for verifying exceptions. In addition the use of  <file_name>  is error-prone when used with other rules like TestWatcher because the order of rules is important in that case.;Similar;0.604332685470581
Wrap the invocation of <iden>() within a try-catch block  ;Exceptions from <iden>() were causing unrooted tests;Disable parts of doclint for the sites javadoc;That commit is missing to apply the doclint rules to site generation. Hence the site goal fails because of doclint issues. Now doclint is disabled for all groups but accessibility and reference for the site generation.;Similar;0.5376039147377014
Wrap the invocation of <iden>() within a try-catch block  ;Exceptions from <iden>() were causing unrooted tests;Adding additional javadoc context for deprecated <method_name>, Adding <file_name> entry for pholser, Starting <version> release notes;for deprecated <method_name>, for pholser, starting release notes;Similar;0.6426523923873901
