Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha
trigger wakeup key events;ACPI: button;add #ifdefs to prevent them from being built in that case  ;several suspend/resume functions in ACPI drivers are not used for CONFIG_PM_SLEEP unset;Contradicts;0.5111292600631714
trigger wakeup key events;ACPI: button;it is sufficient to set/unset the wakeup mask bits for them during system sleep transitions;"this means that the reference counting of ""wakeup"" GPEs doesnt really make sense";Contradicts;0.681071937084198
trigger wakeup key events;ACPI: button;Remove the old GPE type handling entirely  ;Gets rid of various quirks, like the implicit disabling with GPE type setting;Contradicts;0.5258775949478149
trigger wakeup key events;ACPI: button;un-export ACPI_ERROR() -- use printk(KERN_ERR...);use printk(KERN_ERR...);Contradicts;0.6029117107391357
Use different notify handlers for lid and buttons  ;differentiate between lid and buttons;Driver core needs no inform from callee(bus driver) about the result of remove callback;increases separation of concerns;Contradicts;0.565901517868042
Use different notify handlers for lid and buttons  ;differentiate between lid and buttons;re-using the existing option;keeps things simple and it will make it much easier to add DMI quirks which can either disable the LID completely or set another non-default lid_init_state value, both of which are necessary on some devices;Contradicts;0.8645511865615845
Use different notify handlers for lid and buttons  ;differentiate between lid and buttons;"The only solution is to add a DMI based blacklist and ignore the LID device on these tablets.
";There is nothing the ACPI button driver (or the gpio code) can do to fix this.;Contradicts;0.9147369265556335
Use different notify handlers for lid and buttons  ;differentiate between lid and buttons;This patch makes it deprecated;lid_init__state=open is more useful than this mode;Contradicts;0.5157364010810852
Use different notify handlers for lid and buttons  ;differentiate between lid and buttons;it is sufficient to set/unset the wakeup mask bits for them during system sleep transitions;"this means that the reference counting of ""wakeup"" GPEs doesnt really make sense";Contradicts;0.815011739730835
Use different notify handlers for lid and buttons  ;differentiate between lid and buttons;Remove the old GPE type handling entirely  ;Gets rid of various quirks, like the implicit disabling with GPE type setting;Contradicts;0.5263650417327881
Use different notify handlers for lid and buttons  ;differentiate between lid and buttons;Remove button->device pointer;button;Contradicts;0.6563263535499573
Use different notify handlers for lid and buttons  ;differentiate between lid and buttons;"proc_fops is declared as ""const""";should give some thoughts;Contradicts;0.5562366843223572
Use different notify handlers for lid and buttons  ;differentiate between lid and buttons;dont want such modular code;definitely;Contradicts;0.5002537965774536
Use different notify handlers for lid and buttons  ;differentiate between lid and buttons;un-export ACPI_ERROR() -- use printk(KERN_ERR...);use printk(KERN_ERR...);Contradicts;0.6530077457427979
Introduce acpi_lid_notify();lid handling in acpi_button_notify() is special;Driver core needs no inform from callee(bus driver) about the result of remove callback;increases separation of concerns;Contradicts;0.5137696862220764
Introduce acpi_lid_notify();lid handling in acpi_button_notify() is special;Drop no longer necessary Acer SW5-012 lid_init_state quirk;no longer necessary;Contradicts;0.851567804813385
Introduce acpi_lid_notify();lid handling in acpi_button_notify() is special;Drop no longer necessary Asus T200TA lid_init_state quirk;no longer necessary;Contradicts;0.6037524342536926
Introduce acpi_lid_notify();lid handling in acpi_button_notify() is special;"The only solution is to add a DMI based blacklist and ignore the LID device on these tablets.
";There is nothing the ACPI button driver (or the gpio code) can do to fix this.;Contradicts;0.8511714339256287
Introduce acpi_lid_notify();lid handling in acpi_button_notify() is special;This patch makes it deprecated;lid_init__state=open is more useful than this mode;Contradicts;0.9546050429344177
Introduce acpi_lid_notify();lid handling in acpi_button_notify() is special;it should not send the complement switch event for the unreliable initial lid state notification;However this mechanism is not suitable for lid_init_state=open/method;Contradicts;0.6827619075775146
Introduce acpi_lid_notify();lid handling in acpi_button_notify() is special;percpu.h modifications were reverted  ;so that it could be applied as a separate patch and serve as bisection point;Contradicts;0.6144375205039978
Introduce acpi_lid_notify();lid handling in acpi_button_notify() is special;Remove the old GPE type handling entirely  ;Gets rid of various quirks, like the implicit disabling with GPE type setting;Contradicts;0.5242920517921448
Driver core needs no inform from callee(bus driver) about the result of remove callback;increases separation of concerns;Remove the old GPE type handling entirely  ;Gets rid of various quirks, like the implicit disabling with GPE type setting;Contradicts;0.8569427132606506
Driver core needs no inform from callee(bus driver) about the result of remove callback;increases separation of concerns;Use acpi_devices handle instead of drivers  ;-;Contradicts;0.5082390308380127
Driver core needs no inform from callee(bus driver) about the result of remove callback;increases separation of concerns;un-export ACPI_ERROR() -- use printk(KERN_ERR...);use printk(KERN_ERR...);Contradicts;0.5352092385292053
fix some coding style issues;fix some coding style issues;This patch makes it deprecated;lid_init__state=open is more useful than this mode;Contradicts;0.6829406023025513
fix some coding style issues;fix some coding style issues;While using KEY event type, there is no such problem;no such problem;Contradicts;0.6978514790534973
fix some coding style issues;fix some coding style issues;Remove the old GPE type handling entirely  ;Gets rid of various quirks, like the implicit disabling with GPE type setting;Contradicts;0.5429549813270569
fix some coding style issues;fix some coding style issues;"This patch is to eliminate the above warning message
";Device PNP0C0D:00 failed to resume: error 1;Contradicts;0.5336428880691528
fix some coding style issues;fix some coding style issues;Better to oops and learn about a bug;than to silently cover it up;Contradicts;0.6287462711334229
fix some coding style issues;fix some coding style issues;un-export ACPI_ERROR() -- use printk(KERN_ERR...);use printk(KERN_ERR...);Contradicts;0.5421580076217651
Fix some coding style issues reported by checkpatch.pl;including the following types;"The only solution is to add a DMI based blacklist and ignore the LID device on these tablets.
";There is nothing the ACPI button driver (or the gpio code) can do to fix this.;Contradicts;0.5152801871299744
Fix some coding style issues reported by checkpatch.pl;including the following types;This patch makes it deprecated;lid_init__state=open is more useful than this mode;Contradicts;0.7923252582550049
Fix some coding style issues reported by checkpatch.pl;including the following types;Remove the old GPE type handling entirely  ;Gets rid of various quirks, like the implicit disabling with GPE type setting;Contradicts;0.7720438241958618
Fix some coding style issues reported by checkpatch.pl;including the following types;"This patch is to eliminate the above warning message
";Device PNP0C0D:00 failed to resume: error 1;Contradicts;0.7140394449234009
Fix some coding style issues reported by checkpatch.pl;including the following types;"rmmoded directories will be empty and return ""."" and "".."" -- no harm";no harm;Contradicts;0.7155750393867493
