Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;Use unused field for units;instead;Contradicts;0.5373821258544922
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;This patch adds the slab name to trace_kmem_cache_free();to trace_kmem_cache_free;Contradicts;0.5667910575866699
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;"SLAB doesnt actually use page allocator directly
";no change there;Contradicts;0.5729324221611023
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;All documentation files were explicitly excluded;explicitly excluded;Contradicts;0.656012237071991
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;I do not see it as an option;SLUB shrinker would be too costly to call since SLUB does not keep free slabs on a separate list;Contradicts;0.7366713881492615
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;They are no longer needed;They have become so simple;Contradicts;0.6363679766654968
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;we dont care about the RCU head state before passing it to call_rcu();anyway;Contradicts;0.7002514004707336
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;adds alloc_pages_exact_node() that only checks the nid;To avoid a comparison and branch, this patch;Contradicts;0.7060793042182922
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.8184511065483093
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;Cleanup zeroing allocations;Slab allocators;Contradicts;0.6195119619369507
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;we dont encode seperate size and next fields into each slob block;"use the sign bit to distinguish between ""size"" or ""next""";Contradicts;0.9546252489089966
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;Slob does not need any special definitions;since we introduce a fallback case;Contradicts;0.9623862504959106
For most allocations, this works well, as the vast majority of callers are not expecting to use more memory than what they asked for;The vast majority of callers are not expecting to use more memory than what they asked for;"SLAB doesnt actually use page allocator directly
";no change there;Contradicts;0.6917594075202942
For most allocations, this works well, as the vast majority of callers are not expecting to use more memory than what they asked for;The vast majority of callers are not expecting to use more memory than what they asked for;I do not see it as an option;SLUB shrinker would be too costly to call since SLUB does not keep free slabs on a separate list;Contradicts;0.966339647769928
