Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha;similarity_rationales;contradiction_rationales
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;Use  <file_name> s built-in <iden> style  <enter>  ;The boilerplate to set this up is unfortunate;Similar;0.8429775238037109;0.32068896293640137;
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;Use <iden> in <file_name>  ;The utility here is negligible. Were sharing threads between HTTP, HTTP/2 and web sockets now.;Similar;0.8630412220954895;0.29423820972442627;
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;Adopt idiomatic <iden> in <file_name>;idiomatic;Similar;0.8765808939933777;0.8887679576873779;
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;Convert <file_name> to Kotlin;"to Kotlin

Decision: Rename <file_name> to .kt";Similar;0.9773801565170288;0.6027973890304565;
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;Introduce <method_name> ;This is the payoff that preceding changes have been working towards.;Similar;0.8258926272392273;0.5191152095794678;
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;Rename <method_name> to <iden()>;I prefer signed;Similar;0.8651348948478699;0.5438671708106995;0.5257165431976318
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;Fix some get prefixes on <file_name> and <method_name>;"-
None";Similar;0.8020975589752197;0.5196962356567383;0.7969778776168823
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;Add <method_name>;Might be useful to expose this bookkeeping to app developers;Similar;0.8352831602096558;0.28066885471343994;
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;Introduce a <file_name> interface between engine and connection.;This breaks the direct dependency from <file_name> to <method_name>;Similar;0.850605845451355;0.4685380756855011;
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;Expose <iden> directly on <method_name>  ;direct;Similar;0.8072469830513;0.7113803625106812;
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;Move <iden> retries / fallback into <method_name>;The decision is explained by the improvements in handling connection attempts and IOExceptions, making retries smarter in different scenarios.;Similar;0.832575261592865;0.3665589392185211;
