Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha
speed up select_bad_process() loop;mm, oom;Only oom kill exiting tasks with attached memory;oom;Contradicts;0.5990683436393738
speed up select_bad_process() loop;mm, oom;__oom_kill_task() will simply be a no-op in such circumstances;mm can become detached later since task_lock() is not held;Contradicts;0.5752081274986267
speed up select_bad_process() loop;mm, oom;There is no need to call for int_sqrt;if argument is 0;Contradicts;0.6709030866622925
speed up select_bad_process() loop;mm, oom;oom_kill_process() needs to check that p is unkillable;needs to check that p is unkillable;Contradicts;0.5062636733055115
speed up select_bad_process() loop;mm, oom;Killing such a task should be acceptable;it is highly unlikely it has done anything useful because it cannot modify any memory before it calls exec;Contradicts;0.6405929923057556
speed up select_bad_process() loop;mm, oom;This patch causes SysRq+F to always kill an eligible thread;This patch can be used to force a kill even if another oom killed thread has failed to exit.;Contradicts;0.5546959638595581
speed up select_bad_process() loop;mm, oom;Remove mm->oom_disable_count entirely;its unnecessary and currently buggy;Contradicts;0.6090050935745239
speed up select_bad_process() loop;mm, oom;fix constraint deadlock;constraint deadlock;Contradicts;0.7066870927810669
speed up select_bad_process() loop;mm, oom;kill those individual threads;When finding other threads that share an mm with that task;Contradicts;0.6512245535850525
speed up select_bad_process() loop;mm, oom;"OOM killer gives ""BUG: scheduling while atomic"" and the machine hangs";there isnt enough memory, badness() needs to do its PF_SWAPOFF return after the task_unlock;Contradicts;0.5625301003456116
speed up select_bad_process() loop;mm, oom;CONFIG_MMU=n doesnt have oom reaper so lets stick to the original ALLOC_NO_WATERMARKS approach;CONFIG_MMU=n doesnt have oom reaper;Contradicts;0.5166118741035461
speed up select_bad_process() loop;mm, oom;We can tolerate a comm being printed that is in the middle of an update;to avoid taking the lock;Contradicts;0.8962968587875366
speed up select_bad_process() loop;mm, oom;Rename mark_tsk_oom_victim() to mark_oom_victim();which is easier on the eye.;Contradicts;0.6939772367477417
speed up select_bad_process() loop;mm, oom;CONFIG_GCOV_KERNEL was turned off for all tests;"my distributed build env didnt work with gcov compiles

Decision: a few more options had to be turned off depending on archs";Contradicts;0.5617384910583496
speed up select_bad_process() loop;mm, oom;The flag is set in mark_oom_victim and never cleared;so it is stable in the exit_mmap path;Contradicts;0.8040061593055725
speed up select_bad_process() loop;mm, oom;"
Call panic() instead of waking up the OOM reaper
";"
Memory allocation failure for creating the OOM reaper kernel thread";Contradicts;0.5710026025772095
speed up select_bad_process() loop;mm, oom;mm locking fix;oom-kill;Contradicts;0.5820884704589844
speed up select_bad_process() loop;mm, oom;Setting the flag for current is not necessary;check and set is not racy;Contradicts;0.5238509178161621
speed up select_bad_process() loop;mm, oom;push the re-check loop out of freeze_processes into check_frozen_processes;to make the code more readable as per Rafael;Contradicts;0.7834425568580627
speed up select_bad_process() loop;mm, oom;Fix it up via task_lock();instead;Contradicts;0.5637125968933105
speed up select_bad_process() loop;mm, oom;None ;more pointed memcg page statistics for memcg-oom and take hierarchy into consideration;Contradicts;0.6272343993186951
speed up select_bad_process() loop;mm, oom;dump stack of victim when reaping failed;reaping failed;Contradicts;0.5102951526641846
speed up select_bad_process() loop;mm, oom;We dont need to print the debug information for the each task, as well as play with task selection (considering tasks children), so we cant use the existing oom_kill_process();Not mentioned in the sentence;Contradicts;0.547498345375061
speed up select_bad_process() loop;mm, oom;The change prevents process_mrelease from calling;which can lead to waiting for IO completion in exit_aio.;Contradicts;0.5240192413330078
speed up select_bad_process() loop;mm, oom;Drop the MPOL_INTERLEAVE;Those allocations never have a nodemask defined (see alloc_page_interleave), so this is a dead code and a confusing one because MPOL_INTERLEAVE is a hint rather than a hard requirement, so it shouldnt be considered during the OOM.;Contradicts;0.505247175693512
speed up select_bad_process() loop;mm, oom;skip zombies when iterating tasklist;oom;Contradicts;0.5156200528144836
Track number of TIF_MEMDIE threads inside signal_struct;We dont need to do TIF_MEMDIE test on each thread;There is no need to call for int_sqrt;if argument is 0;Contradicts;0.894819974899292
