Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha;similarity_rationales
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();This patch doesnt change this behavior;because we are not ready to allow those allocation requests to fail yet (and maybe we will face the reality that we will never manage to safely fail these request);Contradicts;0.994510531425476;0.3513171672821045
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();move the __GFP_FS check down to out_of_memory and prevent OOM victim selection there;prevent OOM victim selection;Contradicts;0.9556928277015686;0.6442734003067017
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Change the code to ignore the PF_EXITING tasks without ->mm.;PF_EXITING tasks without ->mm should not be expected to free more memory.;Contradicts;0.9155578017234802;0.533965528011322
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();remove redundant task_in_mem_cgroup() check;redundant;Contradicts;0.917155921459198;0.5130186080932617
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Remove the unnecessary return value, rename, unexport and collapse __thaw_process() into it;unnecessary return value;Contradicts;0.9238361716270448;0.5783705115318298
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Remove mm->oom_disable_count entirely;its unnecessary and currently buggy;Contradicts;0.9981389045715332;0.48734551668167114
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Remove the count;Its better to remove the count;Contradicts;0.9986255168914796;0.7172040939331055
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Lets get rid of the signal_struct counter;We do not need it anymore;Contradicts;0.9806713461875916;0.5560683012008667
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();This patch removes the cpuset_zone_allowed() call;to force the caller to explicitly choose between the hardwall and the softwall case;Contradicts;0.9362782835960388;0.5510857701301575
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();"OOM killer gives ""BUG: scheduling while atomic"" and the machine hangs";there isnt enough memory, badness() needs to do its PF_SWAPOFF return after the task_unlock;Contradicts;0.9122530221939088;0.5657375454902649
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();CONFIG_MMU=n doesnt have oom reaper so lets stick to the original ALLOC_NO_WATERMARKS approach;CONFIG_MMU=n doesnt have oom reaper;Contradicts;0.9121739268302916;0.5375957489013672
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Get rid of this hardcoded behavior;push the allocation mask down the show_mem path and use it instead of cpuset_current_mems_allowed;Contradicts;0.9694297909736632;0.7433531284332275
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Replace both locking schemes with a single global mutex serializing OOM kills regardless of context.;regardless of context;Contradicts;0.9510989189147948;0.44353100657463074
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();The flag is set in mark_oom_victim and never cleared;so it is stable in the exit_mmap path;Contradicts;0.9982798099517822;0.5074784755706787
