Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha
Add missing <iden> wrappers as return type;missing;Revert Revert Allow  <file_name>  instantiation. Hide some Apache implementation details.;This reverts commit  <otherCommit_link>;Contradicts;0.6118639707565308
Added a <file_name> rule for the line indentation  ;Indentation;Use the annotations directly for parameter handling.;Before we attempted to normalize the parameter annotations into a name and type model. The introduction of multi-part transfer encodings required something more expressive so the annotation instances themselves were used. This change removes the name and type in favor of using the annotation for everything.;Contradicts;0.6029033064842224
Added a <file_name> rule for the line indentation  ;Indentation;Properly name ignored exception in catch block  ;Properly naming;Contradicts;0.5470473766326904
Added a <file_name> rule for the line indentation  ;Indentation;Revert Revert Allow  <file_name>  instantiation. Hide some Apache implementation details.;This reverts commit  <otherCommit_link>;Contradicts;0.8332599401473999
Added a <file_name> rule for the line indentation  ;Indentation;Reintroduced deprecated <file_name> constructor;deprecated;Contradicts;0.8955945372581482
Adding GET support to <file_name>;support;Add coroutine support to <file_name> ;coroutine support;Contradicts;0.5548456311225891
Adding GET support to <file_name>;support;Revert Revert Allow  <file_name>  instantiation. Hide some Apache implementation details.;This reverts commit  <otherCommit_link>;Contradicts;0.6158739924430847
Adding GET support to <file_name>;support;Reintroduced deprecated <file_name> constructor;deprecated;Contradicts;0.7630059123039246
Fix inconsistencies in javadocs  ;These changes were made with consistency in mind, in relation to the rest of the project;Switch to a generic to/from  <file_name> , explicit factory.;This allows for specialization based on for what purpose the  <file_name>  is being created.;Contradicts;0.6231539249420166
Fix inconsistencies in javadocs  ;These changes were made with consistency in mind, in relation to the rest of the project;Revert Revert Allow  <file_name>  instantiation. Hide some Apache implementation details.;This reverts commit  <otherCommit_link>;Contradicts;0.627079963684082
baseUrl should end with /;end with /;Revert Revert Allow  <file_name>  instantiation. Hide some Apache implementation details.;This reverts commit  <otherCommit_link>;Contradicts;0.5457165837287903
add paragraph clarifying logging;clarifying logging;Switch to a generic to/from  <file_name> , explicit factory.;This allows for specialization based on for what purpose the  <file_name>  is being created.;Contradicts;0.5751993060112
add paragraph clarifying logging;clarifying logging;Revert Revert Allow  <file_name>  instantiation. Hide some Apache implementation details.;This reverts commit  <otherCommit_link>;Contradicts;0.6550843119621277
Add response object to <file_name> success;Gives access to response headers while still converting response within retrofit;Pull out <file_name> base class <enter>;This will allow us to support multiple forms of invocation beyond <iden> calls.;Contradicts;0.5261143445968628
Add response object to <file_name> success;Gives access to response headers while still converting response within retrofit;Switch to a generic to/from  <file_name> , explicit factory.;This allows for specialization based on for what purpose the  <file_name>  is being created.;Contradicts;0.6205942034721375
Add response object to <file_name> success;Gives access to response headers while still converting response within retrofit;Add converters module and protobuf converter;to the sentence;Contradicts;0.5827136039733887
Add response object to <file_name> success;Gives access to response headers while still converting response within retrofit;Revert Revert Allow  <file_name>  instantiation. Hide some Apache implementation details.;This reverts commit  <otherCommit_link>;Contradicts;0.7126246094703674
Add response object to <file_name> success;Gives access to response headers while still converting response within retrofit;Reintroduced deprecated <file_name> constructor;deprecated;Contradicts;0.7872170805931091
Support <iden> / <iden> for @field;Supporting <iden> / <iden> for @field;Remove old <iden> nonsense;As of API 26 the android.jar contains the classes checked by <iden> and used by <iden>.Java8. And we dont encourage throwing checked exceptions from the service method but instead routing them through your call adapter.;Contradicts;0.5328707098960876
Support <iden> / <iden> for @field;Supporting <iden> / <iden> for @field;Switch to a generic to/from  <file_name> , explicit factory.;This allows for specialization based on for what purpose the  <file_name>  is being created.;Contradicts;0.6871017813682556
Add <iden> wrapper validation  ;validation;Switch to a generic to/from  <file_name> , explicit factory.;This allows for specialization based on for what purpose the  <file_name>  is being created.;Contradicts;0.526866614818573
Add <iden> wrapper validation  ;validation;Move <file_name> into the main package, remove <iden> from core;This change means that only <iden> and <iden> are the types which are allowed for their respective objects by default. If you want serialization of any kind, you need to opt-in with either your own <file_name> or one of the provided ones;Contradicts;0.7638183236122131
