Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha;similarity_rationales;contradiction_rationales
Add missing <iden> wrappers as return type;missing;Add some missing @nullable annotations to <file_name> ;missing;Similar;0.8534389734268188;1.0000001192092896;
Add missing <iden> wrappers as return type;missing;Add some missing Nullable annotations;missing;Similar;0.8054558038711548;1.0000001192092896;
Add missing <iden> wrappers as return type;missing;Add some missing Nullable annotations;missing;Similar;0.8054558038711548;1.0000001192092896;
Add missing <iden> wrappers as return type;missing;Add missing import  ;missing;Similar;0.8049452900886536;1.0000001192092896;
Added a <file_name> rule for the line indentation  ;Indentation;Adding GET support to <file_name>;support;Similar;0.8554009199142456;0.7533348202705383;
Added a <file_name> rule for the line indentation  ;Indentation;Add coroutine support to <file_name> ;coroutine support;Similar;0.8920019268989563;0.7106151580810547;
Added a <file_name> rule for the line indentation  ;Indentation;Combine <file_name> and <iden> into <method_name> <enter>  ;This is one class that handles all of the annotations and binding for a service method;Similar;0.8550240397453308;0.35511088371276855;
Added a <file_name> rule for the line indentation  ;Indentation;Add example of using <iden> <file_name> as a <iden> <method_name>  ;This also adds the <file_name> instance as a param to the string <file_name> to allow it to delegate to others directly. This brings it into parity with the method signatures of the other <file_name> methods anyway.;Similar;0.8964203596115112;0.1948014199733734;
Added a <file_name> rule for the line indentation  ;Indentation;Provide a mutable <file_name> implementation. <iden> to conform.;to conform;Similar;0.8113129138946533;0.7914018630981445;
Added a <file_name> rule for the line indentation  ;Indentation;Allow <file_name> instantiation  ;Hide some Apache implementation details;Similar;0.8032503128051758;0.4555041790008545;
Added a <file_name> rule for the line indentation  ;Indentation;Adding a human-readable name to the  <file_name>  interface;human-readable;Similar;0.822344183921814;0.6746988892555237;
Added a <file_name> rule for the line indentation  ;Indentation;rename <iden> ->  <file_name>  ;to harvest the names for new annotations;Similar;0.8561747074127197;0.482051819562912;
Added a <file_name> rule for the line indentation  ;Indentation;Add <file_name>, <file_name> support to <file_name>  ;-;Similar;0.8266809582710266;0.8648372888565063;
Added a <file_name> rule for the line indentation  ;Indentation;Allow <file_name> extensions;improved <file_name>;Similar;0.8177690505981445;0.6365697383880615;
Added a <file_name> rule for the line indentation  ;Indentation;moved util to <file_name>, added <file_name>  ;Organize and enhance code files;Similar;0.8607685565948486;0.541304349899292;
Added a <file_name> rule for the line indentation  ;Indentation;Expose <iden> via the <file_name> injection-like framework;injection-like framework;Similar;0.8430824279785156;0.7623496055603027;
Added a <file_name> rule for the line indentation  ;Indentation;Changing `<file_name>` to implement `<file_name>` interface;interface;Similar;0.8287795186042786;0.7981764078140259;
Adding GET support to <file_name>;support;Add response object to <file_name> success;Gives access to response headers while still converting response within retrofit;Similar;0.8925526142120361;0.5942889451980591;
