Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;Use all the space available in the chosen bucket immediately;to avoid needing to reallocate later;Similar;0.53487229347229
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;kmalloc(size) might give us more room than requested;might give us more room than requested;Similar;0.6418723464012146
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;Put skb_shared_info exactly at the end of allocated zone;to allow max possible filling before reallocation;Similar;0.5135068297386169
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;"the ""how much was actually allocated?"" question is answered after the allocation";the compiler hinting is not in an easy place to make the association any more;Similar;0.5518302917480469
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;"reordering the use of the ""actual size"" information";fix this;Similar;0.7456427812576294
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;"Code can ask ""how large an allocation would I get for a given size?""";instead;Similar;0.7900899648666382
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;Introduce kmalloc_size_roundup();"serve this function so we can start replacing the ""anticipatory resizing"" uses of ksize()";Similar;0.8149130344390869
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;Remove export symbol and move declaration to mm/slab.h  ;we dont want to grow its callers;Similar;0.5278264284133911
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;unify NUMA and UMA version of tracepoints;mm/slab_common;Similar;0.6375168561935425
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;Make kmalloc_track_caller() wrapper of kmalloc_node_track_caller();-;Similar;0.6348006129264832
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;Slab caches marked with SLAB_ACCOUNT force accounting for every allocation from this cache  ;even if __GFP_ACCOUNT flag is not passed;Similar;0.5794300436973572
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;Introduce kmem_cache_alloc_lru to allocate objects and its list_lru;to allocate objects;Similar;0.7645056843757629
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;use struct folio instead of struct page;Where non-slab page can appear;Similar;0.5969138145446777
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;By using the slab type instead of the page type  ;we make it obvious that this can only be called for slabs;Similar;0.5309123992919922
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;Add mem_dump_obj() to print source of memory block;to print source of memory block;Similar;0.6775524020195007
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;There are kernel facilities such as per-CPU reference counts that give error messages in generic handlers or callbacks  ;messages are unenlightening;Similar;0.5332908034324646
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;These functions and handlers can use mem_dump_obj();to print out better hints as to where the problem might lie;Similar;0.6482151746749878
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;The information printed can depend on kernel configuration;depend on kernel configuration;Similar;0.6425695419311523
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;build with CONFIG_DEBUG_SLAB=y and either use sizes with ample space to the next power of two or use the SLAB_STORE_USER when creating the kmem_cache structure;For slab;Similar;0.5700172185897827
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;Use CONFIG_STACKTRACE for slub  ;to enable printing of the allocation-time stack trace.;Similar;0.6406086087226868
