Decision;Rationale
trigger wakeup key events;ACPI: button
Use different notify handlers for lid and buttons  ;differentiate between lid and buttons
Introduce acpi_lid_notify();lid handling in acpi_button_notify() is special
Rework the ACPI button driver to install notify handlers or fixed event handlers for the devices it binds to by itself, reduce the indentation level in its notify handler routine and drop its notify callback;
Driver core needs no inform from callee(bus driver) about the result of remove callback;increases separation of concerns
Add DMI quirk for Lenovo Yoga 9 (14INTL5);
fix some coding style issues;fix some coding style issues
Fix some coding style issues reported by checkpatch.pl;including the following types
code indent should use tabs where possible;to maintain consistency and follow coding standards
Clean up printing messages;ACPI button
replace the direct printk() invocations with pr_info() and drop the unneeded PREFIX symbol definition from battery.c;changes the excessive log level for some of them too
Add DMI quirk for Medion Akoya E2228T;
"Remove the "" MD60198"" part from the E2215T quirk";the MD60### part of the model number differs per country/batch while all of the E2215T and E2228T models have this issue
Drop no longer necessary Acer SW5-012 lid_init_state quirk;no longer necessary
"Commit 78a5b53e9fb4 (""Input: soc_button_array - work around DSDTs which modify the irqflags"") adds a workaround for DSDTs with a _LID method which play tricks with the irqflags";assuming that the OS is using an irq-type of IRQ_TYPE_LEVEL_LOW
we no longer need to disable the lid functionality on the Acer SW5-012;Now that this workaround is in place
fix handling lid state changes when input device closed;-
Let's ensure that state updates happen even if userspace closed (or in the future inhibited) input device;state updates happen even if userspace closed (or in the future inhibited) input device
Use fallthrough pseudo-keyword;
Replace the existing /* fall through */ comments and its variants with the new pseudo-keyword macro fallthrough;[1]
Remove unnecessary fall-through markings  ;when it is the case
Delete unused proc filename macros;unused
Drop no longer necessary Asus T200TA lid_init_state quirk;no longer necessary
drop the quirk  ;the lid_init_state=ACPI_BUTTON_LID_INIT_OPEN quirk for the Asus T200TA is no longer necessary, the lid now works properly without it
"Fixes: 17e5888e4e18 (""x86: Select HARDIRQS_SW_RESEND on x86"")";"(""x86: Select HARDIRQS_SW_RESEND on x86"")"
"
The problem here is the accesses to the PBCG and HMCG
";"
these are the pinconf0 registers for the power"
adds the BYT_TRIG_LVL flag to this;so now it is turned into a level interrupt which fires both when low and high, iow it simply always fires leading to an interrupt storm, the tablet immediately waking up from suspend again, etc
There is nothing we can do to fix this, except for a DSDT override, which the user needs to do manually;
This commit adds a quirk for this;as no lid-switch function is better then the interrupt storm
A user manually applying a DSDT override can also override the quirk on the kernel cmdline.  ;
Remove unused acpi_lid_notifier_[un]register() functions;unused
Add DMI quirk for Asus T200TA;
Setting lid_init_state to ACPI_BUTTON_LID_INIT_OPEN on the T200TA  ;fixes the unwanted behavior, adds a DMI based quirk
Add DMI quirk for Medion Akoya E2215T  ;
 the lid_init_state selection needs to be set to ACPI_BUTTON_LID_INIT_OPEN  ;In order for the Linux LID code to work properly with this implementation
Turn lid_blacklst DMI table into a generic quirk table;ACPI: button
allow us to add quirks to make the LID work OOTB on broken devices;
"Add a new ""disabled"" value for the lid_init_state module option";can be used to disable LID support on devices where it is completely broken
re-using the existing option;keeps things simple and it will make it much easier to add DMI quirks which can either disable the LID completely or set another non-default lid_init_state value, both of which are necessary on some devices
[ an action or a change that has been made, including a description of the patch behaviour ];[ the reason for a decision or value judgment ]
update Lid state unconditionally in the button driver .resume() callback  ;overlooked the resume case
Fix this by flushing the cached lid state before updating the Lid device in .resume() callback;
Fix an issue in button.lid_init_state=ignore mode;Reported-and-tested-by: Zhao Lijian <lijian.zhao@intel.com>
fix defined but not used warning;
Fix a build warning in the ACPI button driver when CONFIG_PROC_FS is not enabled by marking the unused function as __maybe_unused;not enabled, unused
Increment wakeup count only when notified;-
only trigger acpi_pm_wakeup_event() in the acpi_button_notify() path and don't do that in the acpi_lid_initialize_state() path;To avoid the confusion
Variants of proc_create{,_data} that directly take a seq_file show callback;drastically reduces the boilerplate code in the callers
making the ACPI button driver loadable as a module even if not booted in ACPI mode;to fix the asymmetry and provide the acpi_lid_open() symbol
"The only solution is to add a DMI based blacklist and ignore the LID device on these tablets.
";There is nothing the ACPI button driver (or the gpio code) can do to fix this.
evemu-record after noticing a spurious suspend is too late to detect;a LID closed event is the (probable) cause of this
adds an acpi_handle_debug call  ;to help debugging this
Fix function prototypes for module_param_call();-
fix whitespace in pr_fmt() to align log entries;align log entries
The ->sync hook allows all of the relevant event queues to be flushed;to prevent events from being missed due to race conditions
the cursor will not show up as it's by default on the internal display too;
"the ""open"" choice is worse";"the ""method"" operation mode implementation can be buggy on some platforms"
It breaks docking stations basically;there is no way to have a user-space hwdb to fix that
libinput (1.7.0+) can fix the state of the lid switch for us: you need to set the udev property LIBINPUT_ATTR_LID_SWITCH_RELIABILITY to 'write_open';can fix the state of the lid switch for us
assume the user will use the internal keyboard before this timeout expires;logind only checks the lid switch value after a timeout
"userspace requires to see ""close"" event after the system is resumed";so that it can determine whether the internal display should remain dark and the external display should be lit on
Reversion of button.lid_init_state=method;doing so can enter a regression loop, but facilitates users to work the reported regressions around with
Remove lid_init_state=method mode;Fixes: ecb10b694b72 (ACPI / button: Remove lid_init_state=method mode)
The ->sync hook allows all of the relevant event queues to be flushed;to prevent events from being missed due to race conditions
This patch makes it deprecated;lid_init__state=open is more useful than this mode
have a separate patch to make lid_init_state=method deprecated  ;lid_init_state=method is buggy
Fix an issue in button.lid_init_state=ignore mode;
This patch adds a mechanism to insert lid events as a compensation for the platform triggered ones to form a complete event switches  ;in order to make sure that the platform triggered events can always be reliably delivered to the userspace
it should not send the complement switch event for the unreliable initial lid state notification;However this mechanism is not suitable for lid_init_state=open/method
implements this mechanism  ;only
Use key event type to implement ACPI lid events;Another approach
While using KEY event type, there is no such problem;no such problem
Remove pointer to old lid_sysfs on unbind;ACPI / button
When we removed the procfs dir on error or if the driver is unbound;the two variables acpi_lid_dir and acpi_button_dir were not reset
Correct a wrong macro usage;This patch simplies the code by merging some redundant code
this patch stops sending the initial lid state to the userspace;to avoid sending the wrong lid state to the userspace to trigger such kind of wrong suspending
Remove FSF mailing addresses;
There is no need to carry potentially outdated Free Software Foundation mailing address in file headers;since the COPYING file includes it
"Mark ACPI buttons (other than the lid) as ""suspended"" during system suspend and report wakeup events on button events";To prevent propagating those events up the stack
Add ACPI Button event via netlink routine;-
removed ACPI Button event which originally was sent to userspace via /proc/acpi/event;Remove the old /proc/acpi/event interface
This caused ACPI shutdown regression on gentoo;VirtualBox
add ACPI Button event back via netlink routine;Now ACPI events are sent to userspace via netlink
fix button driver compile error when CONFIG_PM_SLEEP is undefined;CONFIG_PM_SLEEP is undefined
compile error;CONFIG_PM_SLEEP is undefined
Fix enabling button GPEs twice;Fix
Button GPEs have been enabled in the acpi_wake_device_init() during boot;the button driver enables them for the second time
remove the GPE enabling code from the button driver;to avoid the problem
Clean up inclusions of ACPI header files;ACPI
Replace direct inclusions of <acpi/acpi.h>, <acpi/acpi_bus.h> and <acpi/acpi_drivers.h> with <linux/acpi.h> inclusions and remove some inclusions of those files that aren't necessary;incorrect, not necessary
