Decision;Rationale
remove slob.c;
Remove the SLOB implementation;
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes
For most allocations, this works well, as the vast majority of callers are not expecting to use more memory than what they asked for;The vast majority of callers are not expecting to use more memory than what they asked for
it wants to minimize the number of calls to krealloc(), so it just uses ksize() plus some additional bytes, forcing the realloc into the next bucket size  ;so it can learn how large it is now
Use all the space available in the chosen bucket immediately;to avoid needing to reallocate later
kmalloc(size) might give us more room than requested;might give us more room than requested
Put skb_shared_info exactly at the end of allocated zone;to allow max possible filling before reallocation
"the ""how much was actually allocated?"" question is answered after the allocation";the compiler hinting is not in an easy place to make the association any more
This mismatch between the compiler's view of the buffer length and the code's intention about how much it is going to actually use has already caused problems;caused problems
"reordering the use of the ""actual size"" information";fix this
"Code can ask ""how large an allocation would I get for a given size?""";instead
Introduce kmalloc_size_roundup();"serve this function so we can start replacing the ""anticipatory resizing"" uses of ksize()"
Remove export symbol and move declaration to mm/slab.h  ;we don't want to grow its callers
unify NUMA and UMA version of tracepoints;mm/slab_common
cleanup kmalloc_track_caller();
Make kmalloc_track_caller() wrapper of kmalloc_node_track_caller();-
Remove CONFIG_NUMA ifdefs for common kmalloc functions;Now that slab_alloc_node() is available for SLAB when CONFIG_NUMA=n
Slab caches marked with SLAB_ACCOUNT force accounting for every allocation from this cache  ;even if __GFP_ACCOUNT flag is not passed
increase the minimum slab alignment to 16;When CONFIG_KASAN_HW_TAGS is enabled
This happens even if MTE is not supported in hardware or disabled via kasan=off;which creates an unnecessary memory overhead in those cases
waiting for quiescence after a full Android boot;with a kernel built with CONFIG_KASAN_HW_TAGS
list_lru does not need the capability of tracking every memcg on every superblock;For these systems with huge container counts
Introduce kmem_cache_alloc_lru to allocate objects and its list_lru;to allocate objects
Remove unnecessary page_mapcount_reset() function call;unnecessary
Use unused field for units;instead
use struct folio instead of struct page;Where non-slab page can appear
don't introduce wrappers for PageSlobFree in mm/slab.h;"just for the single callers being wrappers in mm/slob.c

Decision: fix NULL pointer deference"
By using the slab type instead of the page type  ;we make it obvious that this can only be called for slabs
;
Don't build mm_dump_obj() on CONFIG_PRINTK=n kernels;CONFIG_PRINTK=n
mem_dump_obj() messages will be suppressed;kernels built with CONFIG_PRINTK=n
This patch adds the slab name to trace_kmem_cache_free();to trace_kmem_cache_free
kmem_cache_free;We can use it to understand what the RCU core is going to free
Add mem_dump_obj() to print source of memory block;to print source of memory block
There are kernel facilities such as per-CPU reference counts that give error messages in generic handlers or callbacks  ;messages are unenlightening
this is not a problem when creating a new use of this facility  ;the bug is almost certainly in the code implementing that new use
"This pointer can reference the middle of the block as well as the beginning of the block, as needed by things like RCU callback functions and timer handlers that might not know where the beginning of the memory block is
";as needed by things like RCU callback functions and timer handlers that might not know where the beginning of the memory block is
These functions and handlers can use mem_dump_obj();to print out better hints as to where the problem might lie
The information printed can depend on kernel configuration;depend on kernel configuration
the allocation return address can be printed only for slab and slub  ;only when the necessary debug has been enabled
build with CONFIG_DEBUG_SLAB=y and either use sizes with ample space to the next power of two or use the SLAB_STORE_USER when creating the kmem_cache structure;For slab
Use CONFIG_STACKTRACE for slub  ;to enable printing of the allocation-time stack trace.
extract might_alloc() debug check;
have some use eventually for annotations in drivers/gpu;I might
Updates gfpflags_allow_blocking();There's a ton of callers all over the place for that already.
Slab pages will be shared between multiple cgroups;global and node counters will reflect the total number of slab pages
The size of slab memory shouldn't exceed 4Gb on 32-bit machines;it will fit into atomic_long_t we use for vmstats
I want to use this in a memory allocation tracker in drm for stuff that's tied to the lifetime of a drm_device, not the underlying struct device;slab does this already
CONFIG_SLUB_DEBUG or CONFIG_SLOB, and blocks stop being aligned  ;blocks stop being aligned
make the kmalloc() alignment to size explicitly guaranteed for power-of-two sizes under all configurations;provide to mm users what they need without difficult workarounds or own reimplementations
patch ensures alignment on all arches and cache sizes;Still
CONFIG_SLUB_DEBUG and boot parameter for the particular kmalloc cache;
improve memory accounting;improve
Modifying a counter on page allocation and freeing should be acceptable even for the small system scenarios SLOB is intended for;SLOB is intended for
it might look like a memory leak  ;As they also don't appear in /proc/slabinfo
"SLAB doesn't actually use page allocator directly
";no change there
Make working with compound pages easier;
add three helpers, convert the appropriate places;these three patches
to find out the size of a potentially huge page;It's unnecessarily hard
union of slab_list and lru;slab_list and lru are the same bits
verify that this change is safe to do by examining the object file produced from slob.c before and after this patch is applied;safe to do
configure and build (select SLOB allocator);SLOB allocator
build;
Use slab_list list_head instead of the lru list_head for maintaining lists of slabs  ;maintain
Add a return parameter to slob_page_alloc();to signal that the list was modified
Add a return parameter to slob_page_alloc()  ;to signal that the allocation used up the whole page and that the page was removed from the free list
remove an unnecessary check for __GFP_ZERO;unnecessary
Remove the unnecessary NULL pointer check;unnecessary
Add SPDX GPL-2.0 license identifier to files with no license;License cleanup
;
to be applied to the file;a file by file comparison of the scanner
Make and config files were included as candidates if they contained >5 lines of source;File already had some variant of a license header in it (even if <5 lines)
All documentation files were explicitly excluded;explicitly excluded
the top level COPYING file license applied;both scanners couldn't find any license traces, file was considered to have no license information
For non */uapi/* files;that summary was
Kate also obtained a third independent scan of the 4.13 code base from FOSSology, and compared selected files where the other two scanners disagreed against that SPDX file;to see if there was new insights
Thomas wrote a script to parse the csv files and add the proper SPDX tag to the file  ;in the format that the file expected
Greg ran the script using the .csv files to generate the patches;to detect more types of files automatically and to distinguish between header and source .c files
Rework FS_RECLAIM annotation;
reducing the 'irq' states;allows reducing the 'irq' states and will reduce the amount of __bfs() lookups we do
And by moving this annotation out of the lockdep code;it becomes easier for the mm people to extend
"reported chasing a bug
";their assumption that SLAB_DESTROY_BY_RCU provided an existence guarantee
SLAB_DESTROY_BY_RCU only prevents freeing of an entire slab of blocks;Instead
renames SLAB_DESTROY_BY_RCU to SLAB_TYPESAFE_BY_RCU;to avoid future instances of this sort of confusion
call synchronize_sched() just once;it's enough to call it just once - after setting cpu_partial for all caches and before shrinking them
move it out of the slab_mutex  ;which we have to hold for iterating over the slab cache list
