Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha;similarity_rationales;contradiction_rationales
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Similar;0.80831378698349;0.6109313368797302;
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;Similar;0.8661272525787354;0.6857527494430542;
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;Similar;0.8507837653160095;0.5197359323501587;
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Fix NPE in <file_name>  ;Fix;Similar;0.8186846971511841;0.8382233381271362;
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Add <file_name> name and fix <file_name> error  ;error;Similar;0.8388804793357849;0.7812723517417908;
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;add maven-compiler-plugin to <file_name>;to use Maven compiler plugin;Similar;0.8040412664413452;0.4512050449848175;
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;fix typo:<iden> ( <pr_link> );typo;Similar;0.8173708915710449;0.7910392880439758;
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Make code of process callback of method cleaner in <file_name> (<pr_link>);cleaner;Similar;0.8174636960029602;0.6601856350898743;
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Similar;0.8331027030944824;0.5041261911392212;
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;Similar;0.8829028606414795;0.626643180847168;
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;Similar;0.8151060938835144;0.5776128768920898;
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;support handle of exception from <iden> or <iden> ( <pr_link> ) <enter> fix <pr_link>;handle of exception from <iden> or <iden> <enter> fix <pr_link>;Similar;0.8251091241836548;0.6027729511260986;
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Add <file_name> name and fix <file_name> error  ;error;Similar;0.8392517566680908;0.7846628427505493;
