Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha;similarity_rationales;contradiction_rationales
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix conditions that lead to auto-configure <iden> <enter>;See <pr_link>;Similar;0.8823097348213196;1.0000001192092896;
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix typos in the documentation: though -> through;Closes <pr_link>;Similar;0.8614712953567505;0.7611262798309326;
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Update the reference documentation to include details of <iden>;Closes <pr_link>;Similar;0.8063264489173889;0.7611262798309326;
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix doc formatting;Closes <issue_link>;Similar;0.8328131437301636;0.7246291637420654;
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix datasource metrics doc;The maximum and minimum number of connections are not metrics so these are not exposed. Fix the doc that stated the contrary.;Similar;0.8201218843460083;0.21265381574630737;
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Refine validator and `<iden>` validator configuration  ;This commit ensures that a primary JSR 303 and `<iden>` will be exposed if the auto-configuration kicks in. As `<iden>` exposes 3 contracts (JSR-303 `<iden>` and `<iden>` as well as the `<iden>` validator one), this makes sure that those types can be injected by type. `<iden>` exposes 3 contracts and were only checking for the absence of a `javax.validation.<iden>` to auto-configure a `<iden>`. If no standard JSR validator exists but a <iden>s `<iden>` exists and is primary, we shouldnt flag the auto-configured one as `<iden>`. Previous iterations on this feature have made sure that well auto-configure at most one `javax.validation.<iden>` so not flagging it `<iden>` is no problem. This commit also restores and adds tests that validate `<file_name>` will configure a JSR validator even if a <iden> is present. This effectively fixes `<issue_link>` in a different way. Closes `<issue_link>` Closes `<issue_link>`;Similar;0.8629426956176758;0.21723371744155884;
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix  <file_name>  javadoc;Fix;Similar;0.8122382760047913;0.711220383644104;
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix exec-maven-plugin configuration issue;fixes <issue_link>;Similar;0.8166942596435547;0.8297727108001709;
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix typo a -> an  ;Fix typo;Similar;0.9256234169006348;0.7376742959022522;
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Similar;0.8432666063308716;0.5348097681999207;
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix link formatting in custom <iden> section  ;See <pr_link>;Similar;0.8493553996086121;1.0000001192092896;
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix tests;Fix;Similar;0.816850483417511;0.711220383644104;
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix profile precedence when active and include provided  ;If profiles were activated via the environment using the active and include profile property, profiles specified via the active property would take precedence. This commit restores that behavior.;Similar;0.841015100479126;0.46639469265937805;
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Add <iden> for <iden>  ;<iden> is exposed via server.servletPath.;Similar;0.840055525302887;0.6866741180419922;
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix test;Fix;Similar;0.8150994777679443;0.711220383644104;
Fix conditions that lead to auto-configure <iden> <enter>;See <pr_link>;Fix typos in the documentation: though -> through;Closes <pr_link>;Similar;0.8431202173233032;0.7611262798309326;
Fix conditions that lead to auto-configure <iden> <enter>;See <pr_link>;Update the reference documentation to include details of <iden>;Closes <pr_link>;Similar;0.8316801190376282;0.7611262798309326;
Fix conditions that lead to auto-configure <iden> <enter>;See <pr_link>;Refine validator and `<iden>` validator configuration  ;This commit ensures that a primary JSR 303 and `<iden>` will be exposed if the auto-configuration kicks in. As `<iden>` exposes 3 contracts (JSR-303 `<iden>` and `<iden>` as well as the `<iden>` validator one), this makes sure that those types can be injected by type. `<iden>` exposes 3 contracts and were only checking for the absence of a `javax.validation.<iden>` to auto-configure a `<iden>`. If no standard JSR validator exists but a <iden>s `<iden>` exists and is primary, we shouldnt flag the auto-configured one as `<iden>`. Previous iterations on this feature have made sure that well auto-configure at most one `javax.validation.<iden>` so not flagging it `<iden>` is no problem. This commit also restores and adds tests that validate `<file_name>` will configure a JSR validator even if a <iden> is present. This effectively fixes `<issue_link>` in a different way. Closes `<issue_link>` Closes `<issue_link>`;Similar;0.8559709787368774;0.21723371744155884;
Fix conditions that lead to auto-configure <iden> <enter>;See <pr_link>;Allow binding number to <iden>  <enter>  ;Closes <issue_link>  ;Similar;0.8049190044403076;0.7246291637420654;
Fix conditions that lead to auto-configure <iden> <enter>;See <pr_link>;Improve <iden> documentation for reactive applications;Closes <issue_link>;Similar;0.8075404167175293;0.7246291637420654;
Fix conditions that lead to auto-configure <iden> <enter>;See <pr_link>;Improve links to <iden> plugins documentation;Closes <pr_link>;Similar;0.8313294649124146;0.7611262798309326;
Fix conditions that lead to auto-configure <iden> <enter>;See <pr_link>;Fix exec-maven-plugin configuration issue;fixes <issue_link>;Similar;0.8441449999809265;0.8297727108001709;
Fix conditions that lead to auto-configure <iden> <enter>;See <pr_link>;Fix typo a -> an  ;Fix typo;Similar;0.8159717321395874;0.7376742959022522;
Fix conditions that lead to auto-configure <iden> <enter>;See <pr_link>;Improve error handling in <iden> upgrade checks;See <pr_link>;Similar;0.8153269290924072;1.0000001192092896;
Fix conditions that lead to auto-configure <iden> <enter>;See <pr_link>;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Similar;0.8059371113777161;0.5348097681999207;
Fix conditions that lead to auto-configure <iden> <enter>;See <pr_link>;Fix link formatting in custom <iden> section  ;See <pr_link>;Similar;0.8312183022499084;1.0000001192092896;
Fix conditions that lead to auto-configure <iden> <enter>;See <pr_link>;Fix profile precedence when active and include provided  ;If profiles were activated via the environment using the active and include profile property, profiles specified via the active property would take precedence. This commit restores that behavior.;Similar;0.8274078965187073;0.46639469265937805;
Fix undertow access_log file name;Undertow <version> changed the default access log file suffix from .log to just log. Thus we need to adapt the file name pattern to include the missing dot.;Change LoggingSystemTests to use real temp folder, Update <file_name> to use a <iden> rule, Fixes <issue_link>;real temp folder, a <iden> rule, <issue_link>;Similar;0.802092432975769;0.506706953048706;
Fix undertow access_log file name;Undertow <version> changed the default access log file suffix from .log to just log. Thus we need to adapt the file name pattern to include the missing dot.;Fix <file_name> handling of profiles activated by a file;Previously, <file_name> used a <iden> with no PathTransformer. This would result in an NPE within Maven, compounded by the NPE not being included in the failure message, hindering diagnosis. This commit updates <file_name> to configure its <iden> with a PathTransformer and improves the failure message for better problem diagnosis.;Similar;0.829013466835022;0.6694256663322449;
Fix undertow access_log file name;Undertow <version> changed the default access log file suffix from .log to just log. Thus we need to adapt the file name pattern to include the missing dot.;Fix  <file_name>  javadoc;Fix;Similar;0.801600456237793;0.25482043623924255;
Fix undertow access_log file name;Undertow <version> changed the default access log file suffix from .log to just log. Thus we need to adapt the file name pattern to include the missing dot.;Extract auto-configuration from <file_name>;specific auto-configuration, allowing <iden> to be used without <file_name> if required;Similar;0.8263121247291565;0.5534115433692932;
Fix typos in the documentation: though -> through;Closes <pr_link>;Update the reference documentation to include details of <iden>;Closes <pr_link>;Similar;0.8065702319145203;1.0;
Fix typos in the documentation: though -> through;Closes <pr_link>;Refine validator and `<iden>` validator configuration  ;This commit ensures that a primary JSR 303 and `<iden>` will be exposed if the auto-configuration kicks in. As `<iden>` exposes 3 contracts (JSR-303 `<iden>` and `<iden>` as well as the `<iden>` validator one), this makes sure that those types can be injected by type. `<iden>` exposes 3 contracts and were only checking for the absence of a `javax.validation.<iden>` to auto-configure a `<iden>`. If no standard JSR validator exists but a <iden>s `<iden>` exists and is primary, we shouldnt flag the auto-configured one as `<iden>`. Previous iterations on this feature have made sure that well auto-configure at most one `javax.validation.<iden>` so not flagging it `<iden>` is no problem. This commit also restores and adds tests that validate `<file_name>` will configure a JSR validator even if a <iden> is present. This effectively fixes `<issue_link>` in a different way. Closes `<issue_link>` Closes `<issue_link>`;Similar;0.822526752948761;0.2349085807800293;
Fix typos in the documentation: though -> through;Closes <pr_link>;Fix exec-maven-plugin configuration issue;fixes <issue_link>;Similar;0.8118366003036499;0.7406702041625977;
Fix typos in the documentation: though -> through;Closes <pr_link>;Fix typo a -> an  ;Fix typo;Similar;0.836378812789917;0.6321917772293091;
Fix typos in the documentation: though -> through;Closes <pr_link>;Fix link formatting in custom <iden> section  ;See <pr_link>;Similar;0.8216959238052368;0.7611262798309326;
Fix typos in the documentation: though -> through;Closes <pr_link>;Fix tests;Fix;Similar;0.8265582323074341;0.6395651698112488;
Fix typos in the documentation: though -> through;Closes <pr_link>;Fix profile precedence when active and include provided  ;If profiles were activated via the environment using the active and include profile property, profiles specified via the active property would take precedence. This commit restores that behavior.;Similar;0.8146340250968933;0.4302554130554199;
Fix typos in the documentation: though -> through;Closes <pr_link>;Fix test;Fix;Similar;0.8060880303382874;0.6395651698112488;
Use try-with-resources in <file_name>;improved resource management and error handling;Move the ` <file_name> ` file from  <file_name> ` into ` <file_name>;since the IDE plugin supports both.;Similar;0.8361629247665405;0.5706376433372498;
Use try-with-resources in <file_name>;improved resource management and error handling;Fix <file_name> handling of profiles activated by a file;Previously, <file_name> used a <iden> with no PathTransformer. This would result in an NPE within Maven, compounded by the NPE not being included in the failure message, hindering diagnosis. This commit updates <file_name> to configure its <iden> with a PathTransformer and improves the failure message for better problem diagnosis.;Similar;0.8492869734764099;0.4399051368236542;
Use try-with-resources in <file_name>;improved resource management and error handling;Fix  <file_name>  javadoc;Fix;Similar;0.8216238617897034;0.6473473310470581;
Use try-with-resources in <file_name>;improved resource management and error handling;Extract auto-configuration from <file_name>;specific auto-configuration, allowing <iden> to be used without <file_name> if required;Similar;0.883068323135376;0.41559314727783203;
Use try-with-resources in <file_name>;improved resource management and error handling;Add group property to <file_name>;See <pr_link>;Similar;0.8619064092636108;0.5261297225952148;
Fix description of test file to be tests.groovy;Corrected the documentation to refer to file as tests.groovy, rather than test.groovy. Updated cope snippet as tests.groovy should expect Hello <iden>! rather than Hello <iden>. <br> Closes <pr_link>;Fix <file_name> handling of profiles activated by a file;Previously, <file_name> used a <iden> with no PathTransformer. This would result in an NPE within Maven, compounded by the NPE not being included in the failure message, hindering diagnosis. This commit updates <file_name> to configure its <iden> with a PathTransformer and improves the failure message for better problem diagnosis.;Similar;0.8055378198623657;0.7216248512268066;
Add <iden> response format details for health endpoint, including default status codes and sample responses;Document <iden> response format of health endpoint, See <pr_link>;Fix documentation for health endpoint security  ;Fixes <issue_link>;Similar;0.8327087163925171;0.627406120300293;
Remove unused <file_name> from spring-boot-sample-tomcat;Closes <pr_link>;Remove the spring-core dependency from the annotation processor;"cherry-picked from otherCommit_link; Fixes issue_link";Similar;0.8578930497169495;0.6267381906509399;
Remove unused <file_name> from spring-boot-sample-tomcat;Closes <pr_link>;Remove spring-data-commons  ;Remove direct reference to spring-data-commons, instead favoring transitive dependency;Similar;0.8377803564071655;0.6040508151054382;
Remove unused <file_name> from spring-boot-sample-tomcat;Closes <pr_link>;Remove undefined <iden> appender from basic log4j config <enter> Fixes <issue_link> ;Fixes <issue_link>;Similar;0.8113495111465454;0.7406702041625977;
