Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha;similarity_rationales
Use different notify handlers for lid and buttons  ;differentiate between lid and buttons;re-using the existing option;keeps things simple and it will make it much easier to add DMI quirks which can either disable the LID completely or set another non-default lid_init_state value, both of which are necessary on some devices;Contradicts;0.8645511865615845;0.36508381366729736
Use different notify handlers for lid and buttons  ;differentiate between lid and buttons;"The only solution is to add a DMI based blacklist and ignore the LID device on these tablets.
";There is nothing the ACPI button driver (or the gpio code) can do to fix this.;Contradicts;0.9147369265556335;0.27220314741134644
Use different notify handlers for lid and buttons  ;differentiate between lid and buttons;it is sufficient to set/unset the wakeup mask bits for them during system sleep transitions;"this means that the reference counting of ""wakeup"" GPEs doesnt really make sense";Contradicts;0.815011739730835;0.3686802089214325
Introduce acpi_lid_notify();lid handling in acpi_button_notify() is special;Drop no longer necessary Acer SW5-012 lid_init_state quirk;no longer necessary;Contradicts;0.851567804813385;0.3214991092681885
Introduce acpi_lid_notify();lid handling in acpi_button_notify() is special;"The only solution is to add a DMI based blacklist and ignore the LID device on these tablets.
";There is nothing the ACPI button driver (or the gpio code) can do to fix this.;Contradicts;0.8511714339256287;0.33490997552871704
Introduce acpi_lid_notify();lid handling in acpi_button_notify() is special;This patch makes it deprecated;lid_init__state=open is more useful than this mode;Contradicts;0.9546050429344176;0.5875755548477173
Driver core needs no inform from callee(bus driver) about the result of remove callback;increases separation of concerns;Remove the old GPE type handling entirely  ;Gets rid of various quirks, like the implicit disabling with GPE type setting;Contradicts;0.8569427132606506;0.4625479280948639
"Remove the "" MD60198"" part from the E2215T quirk";the MD60### part of the model number differs per country/batch while all of the E2215T and E2228T models have this issue;This commit adds a quirk for this;as no lid-switch function is better then the interrupt storm;Contradicts;0.8323667645454407;0.423761248588562
"Remove the "" MD60198"" part from the E2215T quirk";the MD60### part of the model number differs per country/batch while all of the E2215T and E2228T models have this issue;Remove the old GPE type handling entirely  ;Gets rid of various quirks, like the implicit disabling with GPE type setting;Contradicts;0.8411511778831482;0.5245858430862427
"Commit 78a5b53e9fb4 (""Input: soc_button_array - work around DSDTs which modify the irqflags"") adds a workaround for DSDTs with a _LID method which play tricks with the irqflags";assuming that the OS is using an irq-type of IRQ_TYPE_LEVEL_LOW;"Fixes: 17e5888e4e18 (""x86: Select HARDIRQS_SW_RESEND on x86"")";"(""x86: Select HARDIRQS_SW_RESEND on x86"")";Contradicts;0.8618293404579163;0.5882037878036499
"Commit 78a5b53e9fb4 (""Input: soc_button_array - work around DSDTs which modify the irqflags"") adds a workaround for DSDTs with a _LID method which play tricks with the irqflags";assuming that the OS is using an irq-type of IRQ_TYPE_LEVEL_LOW;"The only solution is to add a DMI based blacklist and ignore the LID device on these tablets.
";There is nothing the ACPI button driver (or the gpio code) can do to fix this.;Contradicts;0.8578787446022034;0.35351884365081787
"Commit 78a5b53e9fb4 (""Input: soc_button_array - work around DSDTs which modify the irqflags"") adds a workaround for DSDTs with a _LID method which play tricks with the irqflags";assuming that the OS is using an irq-type of IRQ_TYPE_LEVEL_LOW;Remove the old GPE type handling entirely  ;Gets rid of various quirks, like the implicit disabling with GPE type setting;Contradicts;0.8366401195526123;0.6626706719398499
we no longer need to disable the lid functionality on the Acer SW5-012;Now that this workaround is in place;"The only solution is to add a DMI based blacklist and ignore the LID device on these tablets.
";There is nothing the ACPI button driver (or the gpio code) can do to fix this.;Contradicts;0.9657790660858154;0.20240527391433716
Lets ensure that state updates happen even if userspace closed (or in the future inhibited) input device;state updates happen even if userspace closed (or in the future inhibited) input device;When we removed the procfs dir on error or if the driver is unbound;the two variables acpi_lid_dir and acpi_button_dir were not reset;Contradicts;0.872973620891571;0.5560500621795654
Lets ensure that state updates happen even if userspace closed (or in the future inhibited) input device;state updates happen even if userspace closed (or in the future inhibited) input device;this patch stops sending the initial lid state to the userspace;to avoid sending the wrong lid state to the userspace to trigger such kind of wrong suspending;Contradicts;0.8448073267936707;0.4802822768688202
Lets ensure that state updates happen even if userspace closed (or in the future inhibited) input device;state updates happen even if userspace closed (or in the future inhibited) input device;un-export ACPI_ERROR() -- use printk(KERN_ERR...);use printk(KERN_ERR...);Contradicts;0.844693660736084;0.5042665004730225
Replace the existing /* fall through */ comments and its variants with the new pseudo-keyword macro fallthrough;[1];re-using the existing option;keeps things simple and it will make it much easier to add DMI quirks which can either disable the LID completely or set another non-default lid_init_state value, both of which are necessary on some devices;Contradicts;0.941566288471222;0.08189212530851364
Replace the existing /* fall through */ comments and its variants with the new pseudo-keyword macro fallthrough;[1];"The only solution is to add a DMI based blacklist and ignore the LID device on these tablets.
";There is nothing the ACPI button driver (or the gpio code) can do to fix this.;Contradicts;0.8992103338241577;0.16930988430976868
"
The problem here is the accesses to the PBCG and HMCG
";"
these are the pinconf0 registers for the power";it is sufficient to set/unset the wakeup mask bits for them during system sleep transitions;"this means that the reference counting of ""wakeup"" GPEs doesnt really make sense";Contradicts;0.8881378173828125;0.3304371237754822
"
The problem here is the accesses to the PBCG and HMCG
";"
these are the pinconf0 registers for the power";Im fairly confident about the coverage of this conversion patch  ;Given the fact that I had only a couple of failures from tests on step 6;Contradicts;0.9643394947052002;0.2460852563381195
Setting lid_init_state to ACPI_BUTTON_LID_INIT_OPEN on the T200TA  ;fixes the unwanted behavior, adds a DMI based quirk;Fix an issue in button.lid_init_state=ignore mode;Reported-and-tested-by: Zhao Lijian <lijian.zhao@intel.com>;Contradicts;0.9343755841255188;0.5504752397537231
Setting lid_init_state to ACPI_BUTTON_LID_INIT_OPEN on the T200TA  ;fixes the unwanted behavior, adds a DMI based quirk;libinput (1.7.0+) can fix the state of the lid switch for us: you need to set the udev property LIBINPUT_ATTR_LID_SWITCH_RELIABILITY to write_open;can fix the state of the lid switch for us;Contradicts;0.8596915602684021;0.6872481107711792
 the lid_init_state selection needs to be set to ACPI_BUTTON_LID_INIT_OPEN  ;In order for the Linux LID code to work properly with this implementation;Fix an issue in button.lid_init_state=ignore mode;Reported-and-tested-by: Zhao Lijian <lijian.zhao@intel.com>;Contradicts;0.9090687036514282;0.45750662684440613
 the lid_init_state selection needs to be set to ACPI_BUTTON_LID_INIT_OPEN  ;In order for the Linux LID code to work properly with this implementation;"The only solution is to add a DMI based blacklist and ignore the LID device on these tablets.
";There is nothing the ACPI button driver (or the gpio code) can do to fix this.;Contradicts;0.9227952361106871;0.3172403872013092
"Add a new ""disabled"" value for the lid_init_state module option";can be used to disable LID support on devices where it is completely broken;"The only solution is to add a DMI based blacklist and ignore the LID device on these tablets.
";There is nothing the ACPI button driver (or the gpio code) can do to fix this.;Contradicts;0.809007465839386;0.4983609616756439
update Lid state unconditionally in the button driver .resume() callback  ;overlooked the resume case;only trigger acpi_pm_wakeup_event() in the acpi_button_notify() path and dont do that in the acpi_lid_initialize_state() path;To avoid the confusion;Contradicts;0.9652805924415588;0.4969711899757385
update Lid state unconditionally in the button driver .resume() callback  ;overlooked the resume case;it should not send the complement switch event for the unreliable initial lid state notification;However this mechanism is not suitable for lid_init_state=open/method;Contradicts;0.8344817161560059;0.5901334881782532
update Lid state unconditionally in the button driver .resume() callback  ;overlooked the resume case;this patch stops sending the initial lid state to the userspace;to avoid sending the wrong lid state to the userspace to trigger such kind of wrong suspending;Contradicts;0.9669692516326904;0.3994065523147583
update Lid state unconditionally in the button driver .resume() callback  ;overlooked the resume case;Use acpi_devices handle instead of drivers  ;-;Contradicts;0.902649223804474;0.3775092661380768
Fix an issue in button.lid_init_state=ignore mode;Reported-and-tested-by: Zhao Lijian <lijian.zhao@intel.com>;Remove the old GPE type handling entirely  ;Gets rid of various quirks, like the implicit disabling with GPE type setting;Contradicts;0.8075802326202393;0.3236753046512604
