Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha;similarity_rationales
Added a <file_name> rule for the line indentation  ;Indentation;Revert Revert Allow  <file_name>  instantiation. Hide some Apache implementation details.;This reverts commit  <otherCommit_link>;Contradicts;0.8332599401473999;0.6752484440803528
Added a <file_name> rule for the line indentation  ;Indentation;Reintroduced deprecated <file_name> constructor;deprecated;Contradicts;0.8955945372581482;0.7181606888771057
Add <iden> integration tests;integration;Move <file_name> into the main package, remove <iden> from core;This change means that only <iden> and <iden> are the types which are allowed for their respective objects by default. If you want serialization of any kind, you need to opt-in with either your own <file_name> or one of the provided ones;Contradicts;0.9580800533294678;0.3567047715187073
Migrate forced suspension mechanism from yield to <iden>;Since its possible for certain dispatchers to completely avoid yielding, and currently the immediate dispatchers exhibit this behavior, we need an alternate mechanism of forcing suspension or UndeclaredThrowableExceptions will still be seen.;Move <file_name> into the main package, remove <iden> from core;This change means that only <iden> and <iden> are the types which are allowed for their respective objects by default. If you want serialization of any kind, you need to opt-in with either your own <file_name> or one of the provided ones;Contradicts;0.9367420077323914;0.593686580657959
Expose static factory for <file_name> <enter> Also rework the internals of how an <file_name> gets instantiated and set as a tag on the <iden>;This will make a future change easier to land;Move <file_name> into the main package, remove <iden> from core;This change means that only <iden> and <iden> are the types which are allowed for their respective objects by default. If you want serialization of any kind, you need to opt-in with either your own <file_name> or one of the provided ones;Contradicts;0.912531852722168;0.25241512060165405
Expose static factory for <file_name> <enter> Also rework the internals of how an <file_name> gets instantiated and set as a tag on the <iden>;This will make a future change easier to land;Reintroduced deprecated <file_name> constructor;deprecated;Contradicts;0.9037084579467772;0.38543909788131714
Pull out <file_name> base class <enter>;This will allow us to support multiple forms of invocation beyond <iden> calls.;Reintroduced deprecated <file_name> constructor;deprecated;Contradicts;0.8573492169380188;0.2662356197834015
Remove old <iden> nonsense;As of API 26 the android.jar contains the classes checked by <iden> and used by <iden>.Java8. And we dont encourage throwing checked exceptions from the service method but instead routing them through your call adapter.;Rename <method_name> to onSuccess(), and failure() to <iden>();to onSuccess(), and failure(), <iden>;Contradicts;0.9338498711586;0.18204282224178314
Remove old <iden> nonsense;As of API 26 the android.jar contains the classes checked by <iden> and used by <iden>.Java8. And we dont encourage throwing checked exceptions from the service method but instead routing them through your call adapter.;Reintroduced deprecated <file_name> constructor;deprecated;Contradicts;0.954214334487915;0.06488077342510223
Combine <file_name> and <iden> into <method_name> <enter>  ;This is one class that handles all of the annotations and binding for a service method;Rename <method_name> to onSuccess(), and failure() to <iden>();to onSuccess(), and failure(), <iden>;Contradicts;0.8899573683738708;0.25989070534706116
Combine <file_name> and <iden> into <method_name> <enter>  ;This is one class that handles all of the annotations and binding for a service method;Reintroduced deprecated <file_name> constructor;deprecated;Contradicts;0.8225380778312683;0.21804645657539368
Combine <file_name> and <iden> into <method_name> <enter>  ;This is one class that handles all of the annotations and binding for a service method;rename <iden> ->  <file_name>  ;to harvest the names for new annotations;Contradicts;0.8175134062767029;0.5523516535758972
Rename <method_name> to onSuccess(), and failure() to <iden>();to onSuccess(), and failure(), <iden>;Reintroduced deprecated <file_name> constructor;deprecated;Contradicts;0.8055628538131714;0.8036526441574097
Refer to the latest OkHttp version;latest;Reintroduced deprecated <file_name> constructor;deprecated;Contradicts;0.882600724697113;0.5622377991676331
Update <file_name> to the latest version;the latest version;Reintroduced deprecated <file_name> constructor;deprecated;Contradicts;0.905970573425293;0.4720008075237274
Refactor <iden> tests to avoid the use of blocking operators  ;avoid the use of blocking operators;Reintroduced deprecated <file_name> constructor;deprecated;Contradicts;0.8142892718315125;0.693817138671875
