Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha;similarity_rationales
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.8184511065483093;0.3307259976863861
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;we dont encode seperate size and next fields into each slob block;"use the sign bit to distinguish between ""size"" or ""next""";Contradicts;0.9546252489089966;0.550234317779541
__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;Slob does not need any special definitions;since we introduce a fallback case;Contradicts;0.9623862504959106;0.38673120737075806
For most allocations, this works well, as the vast majority of callers are not expecting to use more memory than what they asked for;The vast majority of callers are not expecting to use more memory than what they asked for;I do not see it as an option;SLUB shrinker would be too costly to call since SLUB does not keep free slabs on a separate list;Contradicts;0.966339647769928;0.3904288709163666
For most allocations, this works well, as the vast majority of callers are not expecting to use more memory than what they asked for;The vast majority of callers are not expecting to use more memory than what they asked for;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.9795199632644652;0.3544168174266815
it wants to minimize the number of calls to krealloc(), so it just uses ksize() plus some additional bytes, forcing the realloc into the next bucket size  ;so it can learn how large it is now;Use all the space available in the chosen bucket immediately;to avoid needing to reallocate later;Contradicts;0.9056867957115172;0.43925222754478455
it wants to minimize the number of calls to krealloc(), so it just uses ksize() plus some additional bytes, forcing the realloc into the next bucket size  ;so it can learn how large it is now;I do not see it as an option;SLUB shrinker would be too costly to call since SLUB does not keep free slabs on a separate list;Contradicts;0.9757909178733826;0.18863071501255035
it wants to minimize the number of calls to krealloc(), so it just uses ksize() plus some additional bytes, forcing the realloc into the next bucket size  ;so it can learn how large it is now;"slob: fix bug - when slob allocates ""struct kmem_cache"", it does not force alignment";it does not force alignment;Contradicts;0.8599486351013184;0.4066273272037506
it wants to minimize the number of calls to krealloc(), so it just uses ksize() plus some additional bytes, forcing the realloc into the next bucket size  ;so it can learn how large it is now;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.9037435054779052;0.4111992418766022
it wants to minimize the number of calls to krealloc(), so it just uses ksize() plus some additional bytes, forcing the realloc into the next bucket size  ;so it can learn how large it is now;we dont encode seperate size and next fields into each slob block;"use the sign bit to distinguish between ""size"" or ""next""";Contradicts;0.8492074608802795;0.6179263591766357
it wants to minimize the number of calls to krealloc(), so it just uses ksize() plus some additional bytes, forcing the realloc into the next bucket size  ;so it can learn how large it is now;"
Use a destructor will BUG()
";"
Any attempt to";Contradicts;0.8476876616477966;0.620715856552124
it wants to minimize the number of calls to krealloc(), so it just uses ksize() plus some additional bytes, forcing the realloc into the next bucket size  ;so it can learn how large it is now;Slob does not need any special definitions;since we introduce a fallback case;Contradicts;0.9802173376083374;0.5195223093032837
Use all the space available in the chosen bucket immediately;to avoid needing to reallocate later;I do not see it as an option;SLUB shrinker would be too costly to call since SLUB does not keep free slabs on a separate list;Contradicts;0.9744083881378174;0.4854811728000641
Use all the space available in the chosen bucket immediately;to avoid needing to reallocate later;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.912096917629242;0.3100763261318207
kmalloc(size) might give us more room than requested;might give us more room than requested;I do not see it as an option;SLUB shrinker would be too costly to call since SLUB does not keep free slabs on a separate list;Contradicts;0.9772728085517884;0.251278817653656
kmalloc(size) might give us more room than requested;might give us more room than requested;We remove kmemtrace  ;kmemtrace has been superseded by kmem trace events and perf-kmem;Contradicts;0.8100513219833374;0.4381863474845886
kmalloc(size) might give us more room than requested;might give us more room than requested;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.9337910413742064;0.4110824167728424
kmalloc(size) might give us more room than requested;might give us more room than requested;Cleanup zeroing allocations;Slab allocators;Contradicts;0.907028317451477;0.39945483207702637
kmalloc(size) might give us more room than requested;might give us more room than requested;Slob does not need any special definitions;since we introduce a fallback case;Contradicts;0.8679873943328857;0.48807618021965027
Put skb_shared_info exactly at the end of allocated zone;to allow max possible filling before reallocation;I do not see it as an option;SLUB shrinker would be too costly to call since SLUB does not keep free slabs on a separate list;Contradicts;0.8502709865570068;0.210945725440979
Put skb_shared_info exactly at the end of allocated zone;to allow max possible filling before reallocation;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.92641019821167;0.3576965034008026
"the ""how much was actually allocated?"" question is answered after the allocation";the compiler hinting is not in an easy place to make the association any more;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.909446895122528;0.28461599349975586
"the ""how much was actually allocated?"" question is answered after the allocation";the compiler hinting is not in an easy place to make the association any more;Slob does not need any special definitions;since we introduce a fallback case;Contradicts;0.8094385862350464;0.40353554487228394
This mismatch between the compilers view of the buffer length and the codes intention about how much it is going to actually use has already caused problems;caused problems;patch ensures alignment on all arches and cache sizes;Still;Contradicts;0.933911383152008;0.5714247822761536
This mismatch between the compilers view of the buffer length and the codes intention about how much it is going to actually use has already caused problems;caused problems;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.9524972438812256;0.3554353713989258
"reordering the use of the ""actual size"" information";fix this;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.9083121418952942;0.4016026258468628
"Code can ask ""how large an allocation would I get for a given size?""";instead;I do not see it as an option;SLUB shrinker would be too costly to call since SLUB does not keep free slabs on a separate list;Contradicts;0.9846328496932985;0.09782098978757858
"Code can ask ""how large an allocation would I get for a given size?""";instead;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.8734322190284729;0.4168884754180908
"Code can ask ""how large an allocation would I get for a given size?""";instead;"
Use a destructor will BUG()
";"
Any attempt to";Contradicts;0.8188288807868958;0.872414231300354
"Code can ask ""how large an allocation would I get for a given size?""";instead;Slob does not need any special definitions;since we introduce a fallback case;Contradicts;0.9324833154678344;0.6700795888900757
Introduce kmalloc_size_roundup();"serve this function so we can start replacing the ""anticipatory resizing"" uses of ksize()";I do not see it as an option;SLUB shrinker would be too costly to call since SLUB does not keep free slabs on a separate list;Contradicts;0.8906416296958923;0.21561479568481445
