Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha;similarity_rationales
Fix conditions that lead to auto-configure <iden> <enter>;See <pr_link>;Ensure that <file_name> destroys underlying controller;Closes <issue_link>;Contradicts;0.8108505606651306;0.7246289253234863
The nested class should be public.;The nested private static class would cause an error at startup stating that it was not accessible when trying to bind the property from the environment.;Make fields private;where possible;Contradicts;0.93631249666214;-0.0022920100018382072
Fix typos in the documentation: though -> through;Closes <pr_link>;Remove unfixable <iden> ;unfixable;Contradicts;0.825188159942627;0.605431318283081
Fix description of test file to be tests.groovy;Corrected the documentation to refer to file as tests.groovy, rather than test.groovy. Updated cope snippet as tests.groovy should expect Hello <iden>! rather than Hello <iden>. <br> Closes <pr_link>;Remove unfixable <iden> ;unfixable;Contradicts;0.9209855198860168;0.15562616288661957
Add <iden> response format details for health endpoint, including default status codes and sample responses;Document <iden> response format of health endpoint, See <pr_link>;Remove unfixable <iden> ;unfixable;Contradicts;0.880591869354248;0.14315907657146454
Add <iden> slice test support;Add `<iden>` and related test auto-configuration to allow slice testing of  <file_name>  <iden> client applications. See  <pr_link>;Remove unfixable <iden> ;unfixable;Contradicts;0.903107523918152;0.012100402265787125
Update ` <file_name> ` so that the `<iden>` is not thrown for permission denied errors.;Fixes <issue_link>;Ensure that <file_name> destroys underlying controller;Closes <issue_link>;Contradicts;0.8764764666557312;0.7925821542739868
Update ` <file_name> ` so that the `<iden>` is not thrown for permission denied errors.;Fixes <issue_link>;Remove unfixable <iden> ;unfixable;Contradicts;0.824759304523468;0.5233895778656006
Update ` <file_name> ` so that the `<iden>` is not thrown for permission denied errors.;Fixes <issue_link>;Prepend without replacing in <file_name>  ;It was incorrect to simply replace existing instances because you cant tell from the instance which media types and java types it supports. This fix just prepends the custom converters so they get higher priority.;Contradicts;0.893921434879303;0.1750507950782776
Fix tests failing on Windows;tests failing on Windows;Remove unfixable <iden> ;unfixable;Contradicts;0.8766112923622131;0.35307979583740234
Make <iden> a default method;"Change ` <method_name> to have a default implementation that return `<iden>`; Fixes <issue_link>";Make <iden> optional for <iden>;This commit removes the required dependency on `<iden>` instances when creating `<iden>` beans, making it optional.;Contradicts;0.8104891180992126;0.4283222556114197
Add a rule to enforce <iden> 5 usage and conventions;Closes <issue_link>;Remove unfixable <iden> ;unfixable;Contradicts;0.8155087828636169;0.592372715473175
Log warning on slow host resolution, Update ` <file_name>` so that if the `<iden>` call takes more than 200ms a warning is logged, Closes `<issue_link>`;slow host resolution, more than 200ms, close issue;Ensure that <file_name> destroys underlying controller;Closes <issue_link>;Contradicts;0.8755148649215698;0.5806533098220825
