Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;<file_name> should be treated as immutable once shared;given that requirement, its safe for many threads to call the open() method concurrently to open their own connections;Similar;0.7069700956344604
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;fix small types in the changelog;small types;Similar;0.6002176403999329
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;Update README.md  ;<iden> moved to Github;Similar;0.6759796738624573
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;Support querying & setting transport lists on connections  ;The list is specified via a magic request property <iden> and can be queried via the request property <iden> ;Similar;0.6884249448776245
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;Fix nullability (override default parameter nullability set at package-info);response receives null explicitly from several catch clauses;Similar;0.648935854434967
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;snapshot() method removing entries that are being cached  ;because cleanFiles dont exist yet;Similar;0.5392705202102661
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;Fix mockwebserver jar download 404;404;Similar;0.6722398996353149
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;update proguard rules on README.md ( <pr_link> );-;Similar;0.6626266241073608
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;Remove obsolete <iden>;obsolete;Similar;0.5242477655410767
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;Update factories to be idiomatic;be idiomatic;Similar;0.544564962387085
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;Beef up <file_name>s toString;Previously it unconditionally showed tags even if empty and would not show headers;Similar;0.7496085166931152
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;Make error-prone validate missing override annotations;error-prone, missing override annotations;Similar;0.5702724456787109
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;fix README.md typo;README.md typo;Similar;0.7137920260429382
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;Fix single failing graal test ( <pr_link> );single failing;Similar;0.5740958452224731
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;Centralise logging behind JUL (<pr_link>) <enter> Use JUL, but wire up to the <method_name> <enter> Use `adb shell setprop log.tag.okhttp.Http2 <iden>` to enable logging for known levels;to enable logging for known levels;Similar;0.7068607807159424
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;init speedup  ;file_name, pr_link;Similar;0.5805140733718872
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;API for handling an unexpected SSE response;unexpected;Similar;0.566159188747406
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;Wrap <iden> addresses with [] and return / path URIs for proxy CONNECT;Fix MockWebserver for <iden> addresses;Similar;0.7398074269294739
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;Add a best practice restricted <iden> <file_name>  ;Restricted ciphers ;Similar;0.678551435470581
