Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha
Add missing <iden> wrappers as return type;missing;Added a <file_name> rule for the line indentation  ;Indentation;Similar;0.6278139352798462
Add missing <iden> wrappers as return type;missing;Adding GET support to <file_name>;support;Similar;0.6129245162010193
Add missing <iden> wrappers as return type;missing;Fix inconsistencies in javadocs  ;These changes were made with consistency in mind, in relation to the rest of the project;Similar;0.6220280528068542
Add missing <iden> wrappers as return type;missing;baseUrl should end with /;end with /;Similar;0.6596556901931763
Add missing <iden> wrappers as return type;missing;add paragraph clarifying logging;clarifying logging;Similar;0.5154154300689697
Add missing <iden> wrappers as return type;missing;Add response object to <file_name> success;Gives access to response headers while still converting response within retrofit;Similar;0.594090461730957
Add missing <iden> wrappers as return type;missing;Support <iden> / <iden> for @field;Supporting <iden> / <iden> for @field;Similar;0.5990536212921143
Add missing <iden> wrappers as return type;missing;Add <iden> wrapper validation  ;validation;Similar;0.6614072918891907
Add missing <iden> wrappers as return type;missing;Add <iden> integration tests;integration;Similar;0.5689905881881714
Add missing <iden> wrappers as return type;missing;Add coroutine support to <file_name> ;coroutine support;Similar;0.6206487417221069
Add missing <iden> wrappers as return type;missing;Migrate forced suspension mechanism from yield to <iden>;Since its possible for certain dispatchers to completely avoid yielding, and currently the immediate dispatchers exhibit this behavior, we need an alternate mechanism of forcing suspension or UndeclaredThrowableExceptions will still be seen.;Similar;0.7598366737365723
Add missing <iden> wrappers as return type;missing;Allow service interfaces to extend other interfaces  ;With a higher minSdkVersion, the bug which prevented this on <iden> no longer exists;Similar;0.5330925583839417
Add missing <iden> wrappers as return type;missing;Add more obviously missing @nullable annotations;missing;Similar;0.7936851978302002
Add missing <iden> wrappers as return type;missing;Add some missing @nullable annotations to <file_name> ;missing;Similar;0.8534389734268188
Add missing <iden> wrappers as return type;missing;Fatal errors should crash the dispatcher thread;Fatal errors should be propagated by the async observer instead of attempting to make its way back downstream.;Similar;0.5512629747390747
Add missing <iden> wrappers as return type;missing;Add some missing Nullable annotations;missing;Similar;0.8054558038711548
Add missing <iden> wrappers as return type;missing;Add some missing Nullable annotations;missing;Similar;0.8054558038711548
Add missing <iden> wrappers as return type;missing;Use a dummy value to further validation optional delegation;This ensures the value can only come from only one place;Similar;0.7368026971817017
Add missing <iden> wrappers as return type;missing;Expose static factory for <file_name> <enter> Also rework the internals of how an <file_name> gets instantiated and set as a tag on the <iden>;This will make a future change easier to land;Similar;0.5158989429473877
Add missing <iden> wrappers as return type;missing;Re-work unresolvable type detection in parameters  ;"In order to natively support Kotlins suspend modifier in the future, we need to allow wildcards to be used for the last parameter; As a result, we only validate the shape of a type once an annotation is detected.";Similar;0.7459313869476318
Add missing <iden> wrappers as return type;missing;Update to <iden> <version>;Use get instead of parse for <iden> and <iden> where valid input is always required;Similar;0.6558281183242798
Add missing <iden> wrappers as return type;missing;Consolidate exception formatters in one place  ;streamline implementation and improve maintenance;Similar;0.5962445735931396
Add missing <iden> wrappers as return type;missing;Pull out <file_name> base class <enter>;This will allow us to support multiple forms of invocation beyond <iden> calls.;Similar;0.6430860757827759
Add missing <iden> wrappers as return type;missing;Remove old <iden> nonsense;As of API 26 the android.jar contains the classes checked by <iden> and used by <iden>.Java8. And we dont encourage throwing checked exceptions from the service method but instead routing them through your call adapter.;Similar;0.6933205723762512
Add missing <iden> wrappers as return type;missing;Use HTTPS links in documentation where possible  ;where possible;Similar;0.5303260087966919
