Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Ensure checking customizer ordering;See <pr_link>;Similar;0.6951031684875488
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix conditions that lead to auto-configure <iden> <enter>;See <pr_link>;Similar;0.8823097348213196
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix undertow access_log file name;Undertow <version> changed the default access log file suffix from .log to just log. Thus we need to adapt the file name pattern to include the missing dot.;Similar;0.6990212202072144
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix typos in the documentation: though -> through;Closes <pr_link>;Similar;0.8614712953567505
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Use try-with-resources in <file_name>;improved resource management and error handling;Similar;0.7537744641304016
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix description of test file to be tests.groovy;Corrected the documentation to refer to file as tests.groovy, rather than test.groovy. Updated cope snippet as tests.groovy should expect Hello <iden>! rather than Hello <iden>. <br> Closes <pr_link>;Similar;0.7278232574462891
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Support escaped characters in <file_name>  ;This commit adds the ability to have escaped characters, like the quote, when using the <method_name>. Also adds a short test for escaped quotes.;Similar;0.6714622974395752
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Add <iden> response format details for health endpoint, including default status codes and sample responses;Document <iden> response format of health endpoint, See <pr_link>;Similar;0.5711378455162048
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Update the reference documentation to include details of <iden>;Closes <pr_link>;Similar;0.8063264489173889
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Add <iden> slice test support;Add `<iden>` and related test auto-configuration to allow slice testing of  <file_name>  <iden> client applications. See  <pr_link>;Similar;0.785133421421051
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Update ` <file_name> ` so that the `<iden>` is not thrown for permission denied errors.;Fixes <issue_link>;Similar;0.5754725337028503
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Move the ` <file_name> ` file from  <file_name> ` into ` <file_name>;since the IDE plugin supports both.;Similar;0.7340539693832397
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix tests failing on Windows;tests failing on Windows;Similar;0.5444055199623108
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Make <iden> a default method;"Change ` <method_name> to have a default implementation that return `<iden>`; Fixes <issue_link>";Similar;0.7970473170280457
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Update actuator security documentation;Update documentation to align with the new role based method.;Similar;0.740958571434021
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Add a rule to enforce <iden> 5 usage and conventions;Closes <issue_link>;Similar;0.5961403846740723
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix failing test;failing;Similar;0.7058894634246826
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Add initializer support  ;Add `<iden>` support to `<file_name>`;Similar;0.7407894730567932
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix merge conflict  ;Closes <issue_link>;Similar;0.7683247327804565
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Change LoggingSystemTests to use real temp folder, Update <file_name> to use a <iden> rule, Fixes <issue_link>;real temp folder, a <iden> rule, <issue_link>;Similar;0.7235413789749146
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix <file_name> outer class tangle;Fixes <issue_link>;Similar;0.7858379483222961
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix checkstyle errors;fix;Similar;0.7594888806343079
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix mapping of <iden>s idle-timeout and heartbeat-interval  ;Previous to this commit the connection idle timeout and heartbeat interval were mapped to seconds whereas <iden> expects ms for all duration types.;Similar;0.7498106956481934
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Document how to use <file_name> with reactive access <enter> Closes <issue_link>;to provide information on how to use <file_name> with reactive access and address the issue identified in <issue_link>;Similar;0.7351948618888855
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix encoding of @bean in reference documentation;Closes <issue_link>;Similar;0.677888035774231
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Polish Document how to add metadata for collection and enum default values;Closes <issue_link>;Similar;0.5789923071861267
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Polish Clarify edge case docs on <file_name>;Closes <pr_link>;Similar;0.6695294380187988
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix doc formatting;Closes <issue_link>;Similar;0.8328131437301636
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix health indicator auto-configuration order;The health auto-configuration `AutoconfigureOrder` entry was referring to the standard couchbase auto-configuration that was not responsible for configuring the `CouchbaseOperations` bean, causing the health indicator implementation to rely on the presence of such a bean.;Similar;0.7474774718284607
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix datasource metrics doc;The maximum and minimum number of connections are not metrics so these are not exposed. Fix the doc that stated the contrary.;Similar;0.8201218843460083
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Configure <iden> explicitly;simplifying the auto-configuration and let it us proxy-free configuration classes;Similar;0.7511248588562012
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Refine validator and `<iden>` validator configuration  ;This commit ensures that a primary JSR 303 and `<iden>` will be exposed if the auto-configuration kicks in. As `<iden>` exposes 3 contracts (JSR-303 `<iden>` and `<iden>` as well as the `<iden>` validator one), this makes sure that those types can be injected by type. `<iden>` exposes 3 contracts and were only checking for the absence of a `javax.validation.<iden>` to auto-configure a `<iden>`. If no standard JSR validator exists but a <iden>s `<iden>` exists and is primary, we shouldnt flag the auto-configured one as `<iden>`. Previous iterations on this feature have made sure that well auto-configure at most one `javax.validation.<iden>` so not flagging it `<iden>` is no problem. This commit also restores and adds tests that validate `<file_name>` will configure a JSR validator even if a <iden> is present. This effectively fixes `<issue_link>` in a different way. Closes `<issue_link>` Closes `<issue_link>`;Similar;0.8629426956176758
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Notify the use of logback specific system property;Users following the logback documentation can be confused at first so were not logging a warning when we found out that the logback specific property has been specified.;Similar;0.6935710906982422
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Add option to  <file_name>  devtools from fat jar;removes `org.springframework.boot:spring-boot-devtools` (if necessary) when repackaging the application;Similar;0.5888059735298157
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Define shell.ssh.port and shell.telnet port as integer properties  ;So that the generated meta-data exposes the proper type;Similar;0.5945443511009216
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Allow binding number to <iden>  <enter>  ;Closes <issue_link>  ;Similar;0.7962098717689514
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Improve <iden> documentation for reactive applications;Closes <issue_link>;Similar;0.7914267182350159
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix meta-data for spring.devtools.remote;See <issue_link>;Similar;0.5331226587295532
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Rename redis starter to <file_name> -boot-starter-data-redis;Closes <issue_link>;Similar;0.7224769592285156
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix build failure;Fix;Similar;0.6606131196022034
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Polish Auto-detect jOOQ dialect;Closes <pr_link>;Similar;0.5136274099349976
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;updates the How-To to mention that;as the <iden> auto-configuration requires `commons-pool2`;Similar;0.7802320122718811
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix broken build;broken;Similar;0.6333884000778198
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Try to make <file_name> less flakey;Closes <issue_link>;Similar;0.6037380695343018
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Test that <iden> works when thread is interrupted  ;Update RandomAccessDataFile to acquire the semaphore uninterruptibly to allow loading classes or resources on an interrupted thread;Similar;0.7386378645896912
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Avoid blocking on a <iden> indefinitely;Closes <issue_link>;Similar;0.5122990608215332
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Improve the diagnostics  ;to fail fast with an information exception message when we detect that the embedded servlet container factory beans class cannot be instantiated;Similar;0.7070173025131226
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Update view of bean types when an override is detected;Previously, when a bean was overridden and its type changes, \<file_name> could be left with a stale view of the beans type. This would lead to incorrect bean condition evaluation as conditions would match or not match based on the beans old type.;Similar;0.6219308972358704
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix <file_name> handling of profiles activated by a file;Previously, <file_name> used a <iden> with no PathTransformer. This would result in an NPE within Maven, compounded by the NPE not being included in the failure message, hindering diagnosis. This commit updates <file_name> to configure its <iden> with a PathTransformer and improves the failure message for better problem diagnosis.;Similar;0.7450519800186157
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Polish new layered jar support;new layered jar support;Similar;0.5172371864318848
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Avoid creating unnecessary garbage during <iden> normalization <enter> Closes <issue_link>;Closes <issue_link>;Similar;0.5472971796989441
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Ensure that AWTError from  <file_name> does not prevent app starting;Closes <issue_link>;Similar;0.5120410323143005
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Remove duplicate console appender from Actuator samples <file_name> config;Closes <issue_link>;Similar;0.643602728843689
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Update <file_name> config to look for minor version upgrades;look for minor version upgrades;Similar;0.6834917664527893
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Improve diagnostics when <file_name> type deduction fails;previously, this failure was only logged as a debug message, leaving the user with a misleading message suggesting that the @ConditionalOnBean or <iden> annotation was not configured correctly.;Similar;0.6539170742034912
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Remove non-existent starter from dependencies;non-existent;Similar;0.576714277267456
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;No-op <file_name> when <iden> is not present  ;Closes <issue_link>;Similar;0.6131846308708191
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Clean up logging dependencies and exclusions  ;Closes <issue_link>  ;Similar;0.5972771644592285
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Improve links to <iden> plugins documentation;Closes <pr_link>;Similar;0.7970129251480103
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix broken links in the documentation;broken links;Similar;0.6660141944885254
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Honour ext and classifier on @Grabbed dependencies;We currently honour type, but ignore ext. <iden> doesnt make a distinction between the two so a Grab that specifies both type and ext but with different values is considered to be an error.;Similar;0.7258306741714478
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix  <file_name>  javadoc;Fix;Similar;0.8122382760047913
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Update documentation for new <iden> support;new <iden> support;Similar;0.7613534927368164
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix exec-maven-plugin configuration issue;fixes <issue_link>;Similar;0.8166942596435547
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Improve <iden> support naming;support naming;Similar;0.7711008787155151
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Update Building reference documentation section;to make it work with `full` Maven profile.;Similar;0.6693598031997681
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Remove unfixable <iden> ;unfixable;Similar;0.6624118685722351
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix missing trailing / in resource paths  ;paths;Similar;0.6623960733413696
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Implement simpler exclusion logic for <iden>  ;Simplify the exclusion logic used in <iden> by implementing implicit exclusions rather than trying to detect transitive excludes.;Similar;0.6911017894744873
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Extract auto-configuration from <file_name>;specific auto-configuration, allowing <iden> to be used without <file_name> if required;Similar;0.7591347098350525
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Apply consistent formatting, drop JDK 8 support, and cleanup repo locations to use spring.io.  ;Polish, consistent formatting, drop JDK 8 support, cleanup repo locations to use spring.io.  ;Similar;0.5686758160591125
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Make <iden> optional for <iden>;This commit removes the required dependency on `<iden>` instances when creating `<iden>` beans, making it optional.;Similar;0.64576256275177
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Set <iden> in default <iden>  ;Only affects the default <iden> (so when users are not overriding the default global user details).;Similar;0.790804922580719
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Blitz some more special characters from the metric names  ;When MVC path matchers are used as metric keys, they can still contain invalid characters and patterns (like asterisks). This change removes some more special characters and also tidies up the names a bit so no key part starts or ends with - (which is ugly);Similar;0.5341005921363831
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Add /error to ignored paths for security autoconfig;Protecting /error doesnt make a great deal of sense and if it is protected you dont get the ErrorPageFilter for the attempt at loading it, so Tomcat renders its own HTML error page;Similar;0.6105459332466125
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix broken test (use web app context)  ;broken test;Similar;0.6095929741859436
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix typo a -> an  ;Fix typo;Similar;0.9256234169006348
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix checkstyle header violation  ;See <issue_link>;Similar;0.7415444254875183
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Make file detection more resilient across restarts;Retain file snapshot state across devtools restarts to help prevent detection failures;Similar;0.6104366779327393
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix package name for boot-loader-tools  ;Issue: #53129653;Similar;0.7088382244110107
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Improve error handling in <iden> upgrade checks;See <pr_link>;Similar;0.7619597911834717
