Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Similar;0.80831378698349
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;Similar;0.7467324733734131
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Fix Dubbo-3990 <issue_link> ( <pr_link> );Fix;Similar;0.7217285633087158
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Remove redundant judgment ( <pr_link> );redundant;Similar;0.7201610803604126
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Change to catch throwable, handle NoClassDefFoundError  ;Fix export provider error;Similar;0.5283839106559753
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;add <iden> for dynamically created class;dynamically created;Similar;0.7063217759132385
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;fix test case DUBBO-135  ;test case glitch fix;Similar;0.5909831523895264
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;Similar;0.8661272525787354
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;reduce the level of request data in timeout log ( <pr_link> ) <enter>  ;to control the size of log;Similar;0.7206160426139832
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;add switch of generic invocation with class info  ;fix;Similar;0.7282388210296631
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Fix Not Properly Closed Resources ( <pr_link> );Not Properly Closed;Similar;0.5597755908966064
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Reduce memory allocation during address change notification;reduce allocation during export and refer at start up;Similar;0.6358585953712463
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;Similar;0.8507837653160095
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Revert [Dubbo-5813]prevent <iden> method of <iden> being invoked twice when using Spring ( <pr_link> ) ( <pr_link> )  ;This reverts commit <otherCommit_link>;Similar;0.5418276786804199
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;add comment for <file_name>;see <issue_link>;Similar;0.7637858986854553
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;add start status for <iden> server  ;-;Similar;0.7003735303878784
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;add gpg signing plugin for protobuf compiler ;for protobuf compiler;Similar;0.678935170173645
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Shorten the life cycle of <iden>;to get a better gc effect ( <pr_link> );Similar;0.5236821174621582
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;implements future and keep  <file_name>  backward compatibility.;future and backward compatibility.;Similar;0.6673449277877808
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;revert (<pr_link>);performance tuning;Similar;0.6552703976631165
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Save <file_name> allocation;Performance tuning;Similar;0.7634921669960022
