commit ID;text;predicted_decision;predicted_rationale
C_kwDOACN7MtoAKDE2ZjcwZmVhYWJlOWZkZTBhZjcwM2YyOTkxZDQ0YTc1ODlmMGI2ZTM;ACPI: button: trigger wakeup key events;1;1
C_kwDOACN7MtoAKDE2ZjcwZmVhYWJlOWZkZTBhZjcwM2YyOTkxZDQ0YTc1ODlmMGI2ZTM;"Andorid can wakeup from various wakeup sources, but only several wakeup
sources can wake up screen with right events(POWER, WAKEUP) from input
device";0;1
C_kwDOACN7MtoAKDE2ZjcwZmVhYWJlOWZkZTBhZjcwM2YyOTkxZDQ0YTc1ODlmMGI2ZTM;"Regarding pressing acpi power button, it can resume system and
ACPI_BITMASK_WAKE_STATUS and ACPI_BITMASK_POWER_BUTTON_STATUS are set in
pm1a_sts, but kernel does not report any key event to user space during
resuming by default";0;0
C_kwDOACN7MtoAKDE2ZjcwZmVhYWJlOWZkZTBhZjcwM2YyOTkxZDQ0YTc1ODlmMGI2ZTM;So, send wakeup key event to user space during resume from power button.;1;0
C_kwDOACN7MtoAKGU0ZTYyZDVmZDhlY2IwZWE0MTc0YWZkYTY1NDQzMjkyN2QyNDhhOGE;ACPI: button: Use different notify handlers for lid and buttons;1;1
C_kwDOACN7MtoAKGU0ZTYyZDVmZDhlY2IwZWE0MTc0YWZkYTY1NDQzMjkyN2QyNDhhOGE;"Since the lid handling in acpi_button_notify() is special, introduce
acpi_lid_notify() specifically for handling lid notifications.";1;1
C_kwDOACN7MtoAKDBkNTExNTdkZmFhYzA1ZWE2NjYxNmQ4YTI1MGRjZTA0YmVmNDlhNGY;ACPI: button: Eliminate the driver notify callback;1;0
C_kwDOACN7MtoAKDBkNTExNTdkZmFhYzA1ZWE2NjYxNmQ4YTI1MGRjZTA0YmVmNDlhNGY;"Rework the ACPI button driver to install notify handlers or fixed
event handlers for the devices it binds to by itself, reduce the
indentation level in its notify handler routine and drop its
notify callback";1;1
C_kwDOACN7MtoAKDBkNTExNTdkZmFhYzA1ZWE2NjYxNmQ4YTI1MGRjZTA0YmVmNDlhNGY;"This will allow acpi_device_install_notify_handler() and
acpi_device_remove_notify_handler() to be simplified going forward
and it will allow the driver to use different notify handlers for the
lid and for the power and sleep buttons.";1;0
C_kwDOACN7MtoAKDRmZDU1NTY2MDhiZmE5YzJiZjI3NmZjMTE1ZWYwNDI4ODMzMWFkZWQ;ACPI: button: Add lid disable DMI quirk for Nextbook Ares 8A;1;0
C_kwDOACN7MtoAKDRmZDU1NTY2MDhiZmE5YzJiZjI3NmZjMTE1ZWYwNDI4ODMzMWFkZWQ;"The LID0 device on the Nextbook Ares 8A tablet always reports lid
closed causing userspace to suspend the device as soon as booting
is complete";0;0
C_kwDOACN7MtoAKDRmZDU1NTY2MDhiZmE5YzJiZjI3NmZjMTE1ZWYwNDI4ODMzMWFkZWQ;Add a DMI quirk to disable the broken lid functionality.;1;0
C_kwDOACN7MtoAKDZjMGViNWJhMzUwMGY2ZGEzNjczNTFmZjNjNDQ1MmMwMjljYjcyZmE;ACPI: make remove callback of ACPI driver void;1;0
C_kwDOACN7MtoAKDZjMGViNWJhMzUwMGY2ZGEzNjczNTFmZjNjNDQ1MmMwMjljYjcyZmE;For bus-based driver, device removal is implemented as;0;0
C_kwDOACN7MtoAKDZjMGViNWJhMzUwMGY2ZGEzNjczNTFmZjNjNDQ1MmMwMjljYjcyZmE;"1 device_remove()->
2   bus->remove()->
3     driver->remove()
Driver core needs no inform from callee(bus driver) about the
result of remove callback";1;1
C_kwDOACN7MtoAKDZjMGViNWJhMzUwMGY2ZGEzNjczNTFmZjNjNDQ1MmMwMjljYjcyZmE;"In that case, commit fc7a6209d571
(""bus: Make remove callback return void"") forces bus_type::remove
be void-returned";1;0
C_kwDOACN7MtoAKDZjMGViNWJhMzUwMGY2ZGEzNjczNTFmZjNjNDQ1MmMwMjljYjcyZmE;"Now we have the situation that both 1 & 2 of calling chain are
void-returned, so it does not make much sense for 3(driver->remove)
to return non-void to its caller";0;0
C_kwDOACN7MtoAKDZjMGViNWJhMzUwMGY2ZGEzNjczNTFmZjNjNDQ1MmMwMjljYjcyZmE;"So the basic idea behind this change is making remove() callback of
any bus-based driver to be void-returned";1;0
C_kwDOACN7MtoAKDZjMGViNWJhMzUwMGY2ZGEzNjczNTFmZjNjNDQ1MmMwMjljYjcyZmE;This change, for itself, is for device drivers based on acpi-bus.;0;0
MDY6Q29tbWl0MjMyNTI5ODoxYTIwZDQwOWM4NzQyNTUwODZlMmY0MmE3Mjk4MjZkNDkwMjk0Yzkx;ACPI: button: Add DMI quirk for Lenovo Yoga 9 (14INTL5);1;1
MDY6Q29tbWl0MjMyNTI5ODoxYTIwZDQwOWM4NzQyNTUwODZlMmY0MmE3Mjk4MjZkNDkwMjk0Yzkx;The Lenovo Yoga 9 (14INTL5)'s ACPI _LID is bugged;0;0
