commit ID;text;predicted_decision;predicted_rationale
C_kwDOACN7MtoAKDY2MzBlOTUwZDUzMmZmYWJjZTNhNGJkYmFjN2JlODQ0YmFkMTkzZmU;mm/slob: remove slob.c;1;1
C_kwDOACN7MtoAKDY2MzBlOTUwZDUzMmZmYWJjZTNhNGJkYmFjN2JlODQ0YmFkMTkzZmU;Remove the SLOB implementation;1;1
C_kwDOACN7MtoAKDY2MzBlOTUwZDUzMmZmYWJjZTNhNGJkYmFjN2JlODQ0YmFkMTkzZmU;RIP SLOB allocator (2006 - 2023);0;0
C_kwDOACN7MtoAKDA1YTk0MDY1NmUxZWIyMDI2ZDllZTMxMDE5ZDViNDdlOTU0NTEyNGQ;slab: Introduce kmalloc_size_roundup();1;0
C_kwDOACN7MtoAKDA1YTk0MDY1NmUxZWIyMDI2ZDllZTMxMDE5ZDViNDdlOTU0NTEyNGQ;"In the effort to help the compiler reason about buffer sizes, the
__alloc_size attribute was added to allocators";1;1
C_kwDOACN7MtoAKDA1YTk0MDY1NmUxZWIyMDI2ZDllZTMxMDE5ZDViNDdlOTU0NTEyNGQ;"This improves the scope
of the compiler's ability to apply CONFIG_UBSAN_BOUNDS and (in the near
future) CONFIG_FORTIFY_SOURCE";1;0
C_kwDOACN7MtoAKDA1YTk0MDY1NmUxZWIyMDI2ZDllZTMxMDE5ZDViNDdlOTU0NTEyNGQ;"For most allocations, this works well,
as the vast majority of callers are not expecting to use more memory
than what they asked for";1;1
C_kwDOACN7MtoAKDA1YTk0MDY1NmUxZWIyMDI2ZDllZTMxMDE5ZDViNDdlOTU0NTEyNGQ;"There is, however, one common exception to this: anticipatory resizing
of kmalloc allocations";0;1
C_kwDOACN7MtoAKDA1YTk0MDY1NmUxZWIyMDI2ZDllZTMxMDE5ZDViNDdlOTU0NTEyNGQ;"These cases all use ksize() to determine the
actual bucket size of a given allocation (e.g";1;0
C_kwDOACN7MtoAKDA1YTk0MDY1NmUxZWIyMDI2ZDllZTMxMDE5ZDViNDdlOTU0NTEyNGQ;"128 when 126 was asked
for)";0;1
C_kwDOACN7MtoAKDA1YTk0MDY1NmUxZWIyMDI2ZDllZTMxMDE5ZDViNDdlOTU0NTEyNGQ;This comes in two styles in the kernel;0;1
C_kwDOACN7MtoAKDA1YTk0MDY1NmUxZWIyMDI2ZDllZTMxMDE5ZDViNDdlOTU0NTEyNGQ;"1) An allocation has been determined to be too small, and needs to be
   resized";0;1
C_kwDOACN7MtoAKDA1YTk0MDY1NmUxZWIyMDI2ZDllZTMxMDE5ZDViNDdlOTU0NTEyNGQ;"Instead of the caller choosing its own next best size, it
   wants to minimize the number of calls to krealloc(), so it just uses
   ksize() plus some additional bytes, forcing the realloc into the next
   bucket size, from which it can learn how large it is now";1;1
C_kwDOACN7MtoAKDA1YTk0MDY1NmUxZWIyMDI2ZDllZTMxMDE5ZDViNDdlOTU0NTEyNGQ;For example;0;1
C_kwDOACN7MtoAKDA1YTk0MDY1NmUxZWIyMDI2ZDllZTMxMDE5ZDViNDdlOTU0NTEyNGQ;"2) The minimum size of an allocation is calculated, but since it may
   grow in the future, just use all the space available in the chosen
   bucket immediately, to avoid needing to reallocate later";1;1
C_kwDOACN7MtoAKDA1YTk0MDY1NmUxZWIyMDI2ZDllZTMxMDE5ZDViNDdlOTU0NTEyNGQ;"A good
   example of this is skbuff's allocators";0;1
C_kwDOACN7MtoAKDA1YTk0MDY1NmUxZWIyMDI2ZDllZTMxMDE5ZDViNDdlOTU0NTEyNGQ;	/* kmalloc(size) might give us more room than requested;1;1
C_kwDOACN7MtoAKDA1YTk0MDY1NmUxZWIyMDI2ZDllZTMxMDE5ZDViNDdlOTU0NTEyNGQ;"	 * Put skb_shared_info exactly at the end of allocated zone,
	 * to allow max possible filling before reallocation";1;1
C_kwDOACN7MtoAKDA1YTk0MDY1NmUxZWIyMDI2ZDllZTMxMDE5ZDViNDdlOTU0NTEyNGQ;"In both cases, the ""how much was actually allocated?"" question is answered
_after_ the allocation, where the compiler hinting is not in an easy place
to make the association any more";1;1
C_kwDOACN7MtoAKDA1YTk0MDY1NmUxZWIyMDI2ZDllZTMxMDE5ZDViNDdlOTU0NTEyNGQ;"This mismatch between the compiler's
view of the buffer length and the code's intention about how much it is
going to actually use has already caused problems[1]";1;1
C_kwDOACN7MtoAKDA1YTk0MDY1NmUxZWIyMDI2ZDllZTMxMDE5ZDViNDdlOTU0NTEyNGQ;"It is possible to
fix this by reordering the use of the ""actual size"" information";1;1
C_kwDOACN7MtoAKDA1YTk0MDY1NmUxZWIyMDI2ZDllZTMxMDE5ZDViNDdlOTU0NTEyNGQ;"We can serve the needs of users of ksize() and still have accurate buffer
length hinting for the compiler by doing the bucket size calculation
_before_ the allocation";0;0
