;Decision1;Rationale1;URL1;Decision2;Rationale2;URL2;Relationship;Alpha
0;replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;https://github.com/apache/dubbo/commit/c21cc05ec9ff4f96f34af9027714bb525cd0edf5;Fix Dubbo-3990 <issue_link> ( <pr_link> );Fix;https://github.com/apache/dubbo/commit/15d808446d4bebc3b87f986ccc657f9e5baff728;Contradicts;0.5040726065635681
1;replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;https://github.com/apache/dubbo/commit/c21cc05ec9ff4f96f34af9027714bb525cd0edf5;Save <file_name> allocation;Performance tuning;https://github.com/apache/dubbo/commit/b5a078f186fd2e7f27a3d8c2af1bce3ff2e88e80;Contradicts;0.5626276731491089
2;replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;https://github.com/apache/dubbo/commit/c21cc05ec9ff4f96f34af9027714bb525cd0edf5;Introduce  <file_name>  to distinguish from <iden>;distinguish from <iden>;https://github.com/apache/dubbo/commit/2245cf70bc89c229a387fd9aa59339bdb947f8d6;Contradicts;0.6888749599456787
3;replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;https://github.com/apache/dubbo/commit/c21cc05ec9ff4f96f34af9027714bb525cd0edf5;Ignore unit test <file_name> (no zk server);no zk server;https://github.com/apache/dubbo/commit/ee2aaf3ad323b7060760a70160b9299fe9820b28;Contradicts;0.7631999254226685
4;replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;https://github.com/apache/dubbo/commit/c21cc05ec9ff4f96f34af9027714bb525cd0edf5;dont set port attribute; <file_name>  is null;https://github.com/apache/dubbo/commit/9ae6ed76c9ed7f3e3cf7b9e5f3c79e8f1504b3a0;Contradicts;0.5641369223594666
5;replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;https://github.com/apache/dubbo/commit/c21cc05ec9ff4f96f34af9027714bb525cd0edf5;use revision in  <file_name>  ( <pr_link> );Revision use;https://github.com/apache/dubbo/commit/c98abb2f95d90bffb3ee40690c2a290f62905c63;Contradicts;0.5117369890213013
6;replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;https://github.com/apache/dubbo/commit/c21cc05ec9ff4f96f34af9027714bb525cd0edf5;fix publish null value when use consul config center  ;fix publish null value;https://github.com/apache/dubbo/commit/5230444d5f83e586ce759d15e02ee799cf6241e7;Contradicts;0.628835141658783
7;replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;https://github.com/apache/dubbo/commit/c21cc05ec9ff4f96f34af9027714bb525cd0edf5;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;https://github.com/apache/dubbo/commit/543a52abc0a86efad59f0f97f32de282321a4ab5;Contradicts;0.5636022686958313
8;replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;https://github.com/apache/dubbo/commit/c21cc05ec9ff4f96f34af9027714bb525cd0edf5;remove tomcat-embed-logging-juli ( <pr_link> );fixes <issue_link>;https://github.com/apache/dubbo/commit/e5fe041812285869d5ab73516dd424338473bcf2;Contradicts;0.7404307126998901
9;replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;https://github.com/apache/dubbo/commit/c21cc05ec9ff4f96f34af9027714bb525cd0edf5;fix qos configuration cannot work after added qos-enable style support ( <pr_link> ) <enter>  fixes <issue_link>;qos configuration cannot work after added qos-enable style support;https://github.com/apache/dubbo/commit/18773aa4d0925693839be7f53c0eee27697ebc1d;Contradicts;0.5921270251274109
10;Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;https://github.com/apache/dubbo/commit/317e62f73fd0a9bac4b34eb8b2c31bbae591ef91;Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;https://github.com/apache/dubbo/commit/71e04fb634bf76d47c9ae55637db72fd7de50076;Contradicts;0.500141978263855
11;Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;https://github.com/apache/dubbo/commit/317e62f73fd0a9bac4b34eb8b2c31bbae591ef91;Ignore unit test <file_name> (no zk server);no zk server;https://github.com/apache/dubbo/commit/ee2aaf3ad323b7060760a70160b9299fe9820b28;Contradicts;0.6512745022773743
12;Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;https://github.com/apache/dubbo/commit/317e62f73fd0a9bac4b34eb8b2c31bbae591ef91;fix publish null value when use consul config center  ;fix publish null value;https://github.com/apache/dubbo/commit/5230444d5f83e586ce759d15e02ee799cf6241e7;Contradicts;0.5077376961708069
13;Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;https://github.com/apache/dubbo/commit/317e62f73fd0a9bac4b34eb8b2c31bbae591ef91;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;https://github.com/apache/dubbo/commit/543a52abc0a86efad59f0f97f32de282321a4ab5;Contradicts;0.6994048357009888
14;Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;https://github.com/apache/dubbo/commit/317e62f73fd0a9bac4b34eb8b2c31bbae591ef91;Refactor: remove;and replace it with <method_name> ( <pr_link> );https://github.com/apache/dubbo/commit/fa157deadf65d00c9884d611430ec78e585840ff;Contradicts;0.5692172050476074
15;Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;https://github.com/apache/dubbo/commit/71e04fb634bf76d47c9ae55637db72fd7de50076;Fix Dubbo-3990 <issue_link> ( <pr_link> );Fix;https://github.com/apache/dubbo/commit/15d808446d4bebc3b87f986ccc657f9e5baff728;Contradicts;0.8084060549736023
16;Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;https://github.com/apache/dubbo/commit/71e04fb634bf76d47c9ae55637db72fd7de50076;Ignore unit test <file_name> (no zk server);no zk server;https://github.com/apache/dubbo/commit/ee2aaf3ad323b7060760a70160b9299fe9820b28;Contradicts;0.7689834833145142
17;Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;https://github.com/apache/dubbo/commit/71e04fb634bf76d47c9ae55637db72fd7de50076;dont set port attribute; <file_name>  is null;https://github.com/apache/dubbo/commit/9ae6ed76c9ed7f3e3cf7b9e5f3c79e8f1504b3a0;Contradicts;0.5588220953941345
18;Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;https://github.com/apache/dubbo/commit/71e04fb634bf76d47c9ae55637db72fd7de50076;fix publish null value when use consul config center  ;fix publish null value;https://github.com/apache/dubbo/commit/5230444d5f83e586ce759d15e02ee799cf6241e7;Contradicts;0.608629584312439
19;Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;https://github.com/apache/dubbo/commit/71e04fb634bf76d47c9ae55637db72fd7de50076;Correct <file_name> version  ;Correct;https://github.com/apache/dubbo/commit/0d00ef25a230f0f252045fa700ec007fb4c52c6b;Contradicts;0.5147377848625183
20;Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;https://github.com/apache/dubbo/commit/71e04fb634bf76d47c9ae55637db72fd7de50076;remove tomcat-embed-logging-juli ( <pr_link> );fixes <issue_link>;https://github.com/apache/dubbo/commit/e5fe041812285869d5ab73516dd424338473bcf2;Contradicts;0.5622124671936035
21;Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;https://github.com/apache/dubbo/commit/71e04fb634bf76d47c9ae55637db72fd7de50076;Modify <file_name> <enter> <url>;to indicate the revision of the <file_name> and inclusion of <url>;https://github.com/apache/dubbo/commit/1352d4688d17c003434a5200db8cfd9693d61a41;Contradicts;0.5196601152420044
22;Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;https://github.com/apache/dubbo/commit/71e04fb634bf76d47c9ae55637db72fd7de50076;Refactor: remove;and replace it with <method_name> ( <pr_link> );https://github.com/apache/dubbo/commit/fa157deadf65d00c9884d611430ec78e585840ff;Contradicts;0.8991764783859253
23;Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;https://github.com/apache/dubbo/commit/71e04fb634bf76d47c9ae55637db72fd7de50076;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";https://github.com/apache/dubbo/commit/f490df87de45b57be8c224581a8a1a7dd9a20946;Contradicts;0.5820300579071045
24;Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;https://github.com/apache/dubbo/commit/71e04fb634bf76d47c9ae55637db72fd7de50076;Merge pull request  ;fix QoS port can only be configured by identity property problem;https://github.com/apache/dubbo/commit/e51c52f1fdda187e033328f79ff0538ecf9c4972;Contradicts;0.5210570096969604
