;Decision1;Rationale1;URL1;Decision2;Rationale2;URL2;Relationship;Alpha;similarity_rationales;contradiction_rationales
0;replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;https://github.com/apache/dubbo/commit/c21cc05ec9ff4f96f34af9027714bb525cd0edf5;Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;https://github.com/apache/dubbo/commit/317e62f73fd0a9bac4b34eb8b2c31bbae591ef91;Similar;0.80831378698349;0.6109313368797302;
1;replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;https://github.com/apache/dubbo/commit/c21cc05ec9ff4f96f34af9027714bb525cd0edf5;"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;https://github.com/apache/dubbo/commit/e35084015b6af5b39fe8dca279202e81d59ce082;Similar;0.8661272525787354;0.6857527494430542;
2;replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;https://github.com/apache/dubbo/commit/c21cc05ec9ff4f96f34af9027714bb525cd0edf5;fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;https://github.com/apache/dubbo/commit/85ad18fe22c447568f1c9bfb1c58d645c3dd7b9a;Similar;0.8507837653160095;0.5197359323501587;
3;replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;https://github.com/apache/dubbo/commit/c21cc05ec9ff4f96f34af9027714bb525cd0edf5;Fix NPE in <file_name>  ;Fix;https://github.com/apache/dubbo/commit/bdfc5007fa5cad80d22b5c0422e55c1fcb745dc4;Similar;0.8186846971511841;0.8382233381271362;
4;replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;https://github.com/apache/dubbo/commit/c21cc05ec9ff4f96f34af9027714bb525cd0edf5;Add <file_name> name and fix <file_name> error  ;error;https://github.com/apache/dubbo/commit/0e133c59ef53c3a92030881045b23e460e93ad1f;Similar;0.8388804793357849;0.7812723517417908;
5;replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;https://github.com/apache/dubbo/commit/c21cc05ec9ff4f96f34af9027714bb525cd0edf5;add maven-compiler-plugin to <file_name>;to use Maven compiler plugin;https://github.com/apache/dubbo/commit/7c85e785b57d5d25707894d5874cbef9879e88cc;Similar;0.8040412664413452;0.4512050449848175;
6;replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;https://github.com/apache/dubbo/commit/c21cc05ec9ff4f96f34af9027714bb525cd0edf5;fix typo:<iden> ( <pr_link> );typo;https://github.com/apache/dubbo/commit/3308a197751eeb97baddf157f53813a3447d159f;Similar;0.8173708915710449;0.7910392880439758;
7;replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;https://github.com/apache/dubbo/commit/c21cc05ec9ff4f96f34af9027714bb525cd0edf5;Make code of process callback of method cleaner in <file_name> (<pr_link>);cleaner;https://github.com/apache/dubbo/commit/b0064d78a3b929eb3b25e0de9055412cb61f48ce;Similar;0.8174636960029602;0.6601856350898743;
8;replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;https://github.com/apache/dubbo/commit/c21cc05ec9ff4f96f34af9027714bb525cd0edf5;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;https://github.com/apache/dubbo/commit/543a52abc0a86efad59f0f97f32de282321a4ab5;Similar;0.8331027030944824;0.5041261911392212;
9;Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;https://github.com/apache/dubbo/commit/317e62f73fd0a9bac4b34eb8b2c31bbae591ef91;"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;https://github.com/apache/dubbo/commit/e35084015b6af5b39fe8dca279202e81d59ce082;Similar;0.8829028606414795;0.626643180847168;
