;Decision1;Rationale1;URL1;Decision2;Rationale2;URL2;Relationship;Alpha;similarity_rationales
0;Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;https://github.com/apache/dubbo/commit/71e04fb634bf76d47c9ae55637db72fd7de50076;Fix Dubbo-3990 <issue_link> ( <pr_link> );Fix;https://github.com/apache/dubbo/commit/15d808446d4bebc3b87f986ccc657f9e5baff728;Contradicts;0.8084060549736023;0.5974264740943909
1;Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;https://github.com/apache/dubbo/commit/71e04fb634bf76d47c9ae55637db72fd7de50076;Refactor: remove;and replace it with <method_name> ( <pr_link> );https://github.com/apache/dubbo/commit/fa157deadf65d00c9884d611430ec78e585840ff;Contradicts;0.8991764783859253;0.6970428228378296
2;add <iden> for dynamically created class;dynamically created;https://github.com/apache/dubbo/commit/841f6c2612d049ac0aa8bcbb6a00dad8d77a6fca;Refactor: remove;and replace it with <method_name> ( <pr_link> );https://github.com/apache/dubbo/commit/fa157deadf65d00c9884d611430ec78e585840ff;Contradicts;0.8413644433021545;0.5398381352424622
3;add <iden> for dynamically created class;dynamically created;https://github.com/apache/dubbo/commit/841f6c2612d049ac0aa8bcbb6a00dad8d77a6fca;rename package name from <iden> to impl;-;https://github.com/apache/dubbo/commit/0d1ef9b411ea06e6b8c30439a96e0290b0b9dbf6;Contradicts;0.964984655380249;0.7704286575317383
4;"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;https://github.com/apache/dubbo/commit/e35084015b6af5b39fe8dca279202e81d59ce082;Ignore unit test <file_name> (no zk server);no zk server;https://github.com/apache/dubbo/commit/ee2aaf3ad323b7060760a70160b9299fe9820b28;Contradicts;0.9614311456680298;0.2488809823989868
5;"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;https://github.com/apache/dubbo/commit/e35084015b6af5b39fe8dca279202e81d59ce082;Refactor: remove;and replace it with <method_name> ( <pr_link> );https://github.com/apache/dubbo/commit/fa157deadf65d00c9884d611430ec78e585840ff;Contradicts;0.9146355390548706;0.6813156604766846
6;add switch of generic invocation with class info  ;fix;https://github.com/apache/dubbo/commit/3b03c3f29807b654b12af5376ecedd494be12acb;Refactor: remove;and replace it with <method_name> ( <pr_link> );https://github.com/apache/dubbo/commit/fa157deadf65d00c9884d611430ec78e585840ff;Contradicts;0.9165763854980468;0.654775857925415
7;add switch of generic invocation with class info  ;fix;https://github.com/apache/dubbo/commit/3b03c3f29807b654b12af5376ecedd494be12acb;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";https://github.com/apache/dubbo/commit/f490df87de45b57be8c224581a8a1a7dd9a20946;Contradicts;0.813592255115509;0.6677268147468567
8;add comment for <file_name>;see <issue_link>;https://github.com/apache/dubbo/commit/3bc4508d09756a40c85ddf0c62b94aaf5d957d58;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";https://github.com/apache/dubbo/commit/f490df87de45b57be8c224581a8a1a7dd9a20946;Contradicts;0.9962360262870787;0.5270093083381653
9;add start status for <iden> server  ;-;https://github.com/apache/dubbo/commit/efb8e304c77be92d1af4f90689cdab625fc15a99;Refactor: remove;and replace it with <method_name> ( <pr_link> );https://github.com/apache/dubbo/commit/fa157deadf65d00c9884d611430ec78e585840ff;Contradicts;0.8858646154403687;0.5989702939987183
10;add start status for <iden> server  ;-;https://github.com/apache/dubbo/commit/efb8e304c77be92d1af4f90689cdab625fc15a99;Close all servers/ports after tests finish  ;Ensure proper cleanup;https://github.com/apache/dubbo/commit/16f7a1efe95abed080081fbdbcf18bc9ec472b1b;Contradicts;0.8400682210922241;0.4728875756263733
11;add gpg signing plugin for protobuf compiler ;for protobuf compiler;https://github.com/apache/dubbo/commit/ca8bd0f87e8d3c4f88486f1a5063c7a2d78c27d8;Refactor: remove;and replace it with <method_name> ( <pr_link> );https://github.com/apache/dubbo/commit/fa157deadf65d00c9884d611430ec78e585840ff;Contradicts;0.9625242948532104;0.6004143953323364
12;add gpg signing plugin for protobuf compiler ;for protobuf compiler;https://github.com/apache/dubbo/commit/ca8bd0f87e8d3c4f88486f1a5063c7a2d78c27d8;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";https://github.com/apache/dubbo/commit/f490df87de45b57be8c224581a8a1a7dd9a20946;Contradicts;0.8069577813148499;0.3106857240200043
13;implements future and keep  <file_name>  backward compatibility.;future and backward compatibility.;https://github.com/apache/dubbo/commit/ed8a36bf695537040acd4bd5ed17bebab3ff5a92;Ignore unit test <file_name> (no zk server);no zk server;https://github.com/apache/dubbo/commit/ee2aaf3ad323b7060760a70160b9299fe9820b28;Contradicts;0.8508493304252625;0.2708331942558288
