;Decision;Rationale;url
0;Fixed typo;;https://github.com/junit-team/junit4/commit/6b97cfa77503a00416f401ad47f375f087e8c3cb
1;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2
2;Wrap the invocation of <iden>() within a try-catch block  ;Exceptions from <iden>() were causing unrooted tests;https://github.com/junit-team/junit4/commit/a90b496a6595856066504baf4f737fb853a6e45d
3;Fix dead link to the ant task in <file_name> (<pr_link>);"The link is dead; task has been moved to another location";https://github.com/junit-team/junit4/commit/24dfdd762e753c83babca3768d4b508cf5c6a86c
4;Fix many warnings (Eclipse <version>/Juno based);Enh: add new 'staticondemandthreshold' setting to eclipse project jdt.ui preference settings file;https://github.com/junit-team/junit4/commit/0733bbffdadf05a6ebe0c38942904071a4060af4
5;changed the <iden>() method to accept a <iden> instead of an explicit <iden>;made some documentation changes;https://github.com/junit-team/junit4/commit/6b943e564adcc9a7106e54c24eb5d022bed1462f
6;Updated URL to <iden>'s code style repository. Document indent size. Updating code style as per <pr_link> ;;https://github.com/junit-team/junit4/commit/392c673b5f35c2c72f74a15b24afff338ba4e3a7
7;Remove redundant field <iden> ;redundant;https://github.com/junit-team/junit4/commit/3189af007b26d74ca459f823d57ef77b9c1697b8
8;Implemented the changes proposed by davidhart82;proposed by davidhart82;https://github.com/junit-team/junit4/commit/ebb9d7f536a5b1be8364c6cb7367cac8c3849caa
9;Fixes imports;;https://github.com/junit-team/junit4/commit/dda4d08fc64933a8e4af33b745bd8219682b7bcb
10;Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;https://github.com/junit-team/junit4/commit/2b6fa701e84625c511b03079296774cc0904ef1a
11;`<file_name>` should be in junit*.zip  ;;https://github.com/junit-team/junit4/commit/8760e505d64d69534073f28bdf47886d20dbca4e
12;Updated <file_name>;;https://github.com/junit-team/junit4/commit/7e77e49c40afb951ae5a5cbdf75ebb4a478e2bb7
13;Better validation in <file_name> ;Improve validation;https://github.com/junit-team/junit4/commit/50b9c949876189d8c4871471ec346988e4ccae06
14;A <file_name> can be explicitly passed to a <iden> class that needs one in its constructor.;This eliminates the ugly global constant <file_name> in <file_name>, and breaks the cyclic dependency between runners and requests;https://github.com/junit-team/junit4/commit/d148bce8682505082a3cc634acbd36ac13a10c9a
15;Invalid assumptions, failed tests, and ignored tests now all print similarly;;https://github.com/junit-team/junit4/commit/a916d4133c7e394130d7953da427aae9917ab92c
16;Remove unnecessary comments;unnecessary;https://github.com/junit-team/junit4/commit/5af049cac0c976c586d955607fa459aacb778d3c
17;New <iden> implementation makes <file_name> crazy simple;;https://github.com/junit-team/junit4/commit/5e4f8e7fb82919d992887fca1741bb04ef1c8f4a
18;<file_name> handles filtering and sorting for all runners, now including <file_name>;handles filtering and sorting for all runners;https://github.com/junit-team/junit4/commit/42beed3ad166a9cceefc59f6c79a16844cae0d02
19;Ignored tests should be shown differently in stack trace section of report;ignored;https://github.com/junit-team/junit4/commit/8a8008c96936d468a2f579bcea9a71e965558d57
20;Moved <file_name> into proper package;proper;https://github.com/junit-team/junit4/commit/9a5dfd996ab7007994fcf60752441835dbdbb5d0
21;No matching parameters is now an assumption failure, not an assertion failure;an assumption failure;https://github.com/junit-team/junit4/commit/81ef67251efba98fd6bb1065e9ab97c102dbcc24
22;Now includes filtering;;https://github.com/junit-team/junit4/commit/897fa2227e26f221e5efa4f95a805f7ff1ccac5f
23;Pull <iden> up into <file_name>;reorganization of code;https://github.com/junit-team/junit4/commit/a6368e40e787e7a23c9f1e58d6a47bf9fa2d0a2c
24;Fixed a bug in <file_name> classes with constructor parameters  ;where the method parameters and constructor parameters were switched;https://github.com/junit-team/junit4/commit/4cb9a65f450efa5f2a42128856c7b56e6d283386
25;Removed  <file_name> , replaced with  <file_name> , which moved to model package with  <file_name> ;moved to model package;https://github.com/junit-team/junit4/commit/4d9c88e37dfed614a1bd1ae2ca2ecc86122aa9f1
26;Renamed link classes  ;Absolute actions are verbs, ActionModifiers are modifying phrases, Moved isShadowedBy(List) to <file_name>;https://github.com/junit-team/junit4/commit/44e7458b19d5cd1900a765a440c96e85b81d25fc
27;Created a separate <file_name> directory for new <file_name> scripts, including FTP upload;Organizing and structuring directories for new scripts;https://github.com/junit-team/junit4/commit/24eacde6262fbb3ce096fe59e8df93907b7622ae
28;Updated README  ;about Enclosed;https://github.com/junit-team/junit4/commit/57f06901cde6ec806d4f4381670466ab5fbac300
29;Deprecate rule  <file_name>  ( <pr_link> )  ;The method Assert.assertThrows provides a nicer way for verifying exceptions. In addition the use of  <file_name>  is error-prone when used with other rules like TestWatcher because the order of rules is important in that case.;https://github.com/junit-team/junit4/commit/5785d9df8fe25f68567272850cd65b4dc07da617
30;Disable parts of doclint for the site's javadoc;That commit is missing to apply the doclint rules to site generation. Hence the site goal fails because of doclint issues. Now doclint is disabled for all groups but accessibility and reference for the site generation.;https://github.com/junit-team/junit4/commit/16a2b51b9d9425cd7dacad85e2df97985996ca8d
31;Adding additional javadoc context for deprecated <method_name>, Adding <file_name> entry for pholser, Starting <version> release notes;for deprecated <method_name>, for pholser, starting release notes;https://github.com/junit-team/junit4/commit/89ffd7eda43f939f7dc210cfe21a196067ab08d6
32;Use Field#getType();;https://github.com/junit-team/junit4/commit/01716157f2683f5610d721929a687e7dc3aee558
33;Move emptySuite method to <file_name>;;https://github.com/junit-team/junit4/commit/58723f03198f62f079cd242f7110a94713a5a90b
34;beef up <file_name> with checkThat and checkPasses  ;Advance version;https://github.com/junit-team/junit4/commit/50b77b1f3108aa77af0906162d552e513936c322
35;Added suggestions by dsaff, Removed the Markdown syntax, changed import order, removed confusing <iden> section;;https://github.com/junit-team/junit4/commit/ab1eb66505631ec2ad8010cc071e0f625b2ad95d
36;Added <iden> check for MultiPointsMethod;Fix for issue <issue_link>;https://github.com/junit-team/junit4/commit/48aabe1b16bd288f74ac4ff92e3a38792533be39
37;ExpectedException allows multiple exceptions;multiple exceptions;https://github.com/junit-team/junit4/commit/2e9a239f419fa60779b5f1ab191561108e1fe3d4
38;<method_name> creates any type;none;https://github.com/junit-team/junit4/commit/c9e0f1a3a519bdab2d71b48635a9cc7df3cff3fa
39;Fix regression in <method_name> for paths with slashes;In JUnit <version>, <iden>(String) was changed to no longer support paths with a file separator. This has been fixed.;https://github.com/junit-team/junit4/commit/c85c6147ada5ad1afdd3be10769670d309730132
40;Added <file_name> <iden>;;https://github.com/junit-team/junit4/commit/507e7b1799801409104fa5054b3bc6ac3fe82e7d
41;;;https://github.com/junit-team/junit4/commit/ff2ff9176dfb18887a8e6e463e49b00c6f3acc5f
42;Updated to <version> final;;https://github.com/junit-team/junit4/commit/469dcc78a7610916ffa29e2cefc21f80430df8c0
43;minor changes in test;;https://github.com/junit-team/junit4/commit/445ea85dd748e4e83cf7be5940b41df95b3ffa8d
44;minor refactoring;;https://github.com/junit-team/junit4/commit/fd1ef3ca8069bd149ca63c9660587918aa28c7cd
45;added the since <version> where appropriate;;https://github.com/junit-team/junit4/commit/f5e7e1ff180bb17e4f9df702a038e06a974f78f6
46;adding annotation validators functionality;validators;https://github.com/junit-team/junit4/commit/48af7e797dbefa1fc47e80394c7f74ef87c3c7ab
47;Added more Javadoc to <file_name> for messages and when they are displayed;Put versiontag back into <method_name>;https://github.com/junit-team/junit4/commit/591fcae09c6470a03ade7d608773f8f633409bc2
48;Added two simple tests for boolean <iden>;to test for boolean values;https://github.com/junit-team/junit4/commit/02371d1154f29f894cd2c7f83ce6743f4abbe76a
49;Only use a property where multiple entries need syncing  ;Using properties to define a shared version across multiple dependencies causes less issues when you have multiple dependencies that need to be kept in sync;https://github.com/junit-team/junit4/commit/e15b287ccec2a1f4866a8bd1cd2a313a6163163d
50;Fix distribution management;distribution management;https://github.com/junit-team/junit4/commit/a664c207facb1cddcd5ab130fc14edbae3f33d30
51;<iden> added;file_name;https://github.com/junit-team/junit4/commit/26fa0a4207e21f058d220c84f8195ee25943400c
52;No  <file_name>  class, interceptors turned on by default;interceptors turned on by default;https://github.com/junit-team/junit4/commit/e6769d4009db8030661815965e2e22829a4619ff
