;Decision1;Rationale1;URL1;Decision2;Rationale2;URL2;Relationship;Alpha
0;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Removed  <file_name> , replaced with  <file_name> , which moved to model package with  <file_name> ;moved to model package;https://github.com/junit-team/junit4/commit/4d9c88e37dfed614a1bd1ae2ca2ecc86122aa9f1;Contradicts;0.965401828289032
1;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Brought in old <file_name> for compatibility. Renamed new <file_name> to <method_name>  ;for compatibility;https://github.com/junit-team/junit4/commit/078e45bd31a9920e00633ad6ce658e22529304f2;Contradicts;0.8084200620651245
2;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Fixes <issue_link>;Fix <version> release notes, make sure markdown errors halt <file_name>;https://github.com/junit-team/junit4/commit/ce0195c3d81d32bc2fd4d7a0c15aa78aaaa47605;Contradicts;0.6401094794273376
3;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Adding bogus markdown;should be removed later;https://github.com/junit-team/junit4/commit/ce034f7167462706062dfc010fde052a89c4eb6d;Contradicts;0.5874349474906921
4;Wrap the invocation of <iden>() within a try-catch block  ;Exceptions from <iden>() were causing unrooted tests;https://github.com/junit-team/junit4/commit/a90b496a6595856066504baf4f737fb853a6e45d;Removed  <file_name> , replaced with  <file_name> , which moved to model package with  <file_name> ;moved to model package;https://github.com/junit-team/junit4/commit/4d9c88e37dfed614a1bd1ae2ca2ecc86122aa9f1;Contradicts;0.9724460244178772
5;Wrap the invocation of <iden>() within a try-catch block  ;Exceptions from <iden>() were causing unrooted tests;https://github.com/junit-team/junit4/commit/a90b496a6595856066504baf4f737fb853a6e45d;Brought in old <file_name> for compatibility. Renamed new <file_name> to <method_name>  ;for compatibility;https://github.com/junit-team/junit4/commit/078e45bd31a9920e00633ad6ce658e22529304f2;Contradicts;0.7730948328971863
6;Fix dead link to the ant task in <file_name> (<pr_link>);"The link is dead; task has been moved to another location";https://github.com/junit-team/junit4/commit/24dfdd762e753c83babca3768d4b508cf5c6a86c;Removed  <file_name> , replaced with  <file_name> , which moved to model package with  <file_name> ;moved to model package;https://github.com/junit-team/junit4/commit/4d9c88e37dfed614a1bd1ae2ca2ecc86122aa9f1;Contradicts;0.7997395396232605
7;Fix dead link to the ant task in <file_name> (<pr_link>);"The link is dead; task has been moved to another location";https://github.com/junit-team/junit4/commit/24dfdd762e753c83babca3768d4b508cf5c6a86c;Brought in old <file_name> for compatibility. Renamed new <file_name> to <method_name>  ;for compatibility;https://github.com/junit-team/junit4/commit/078e45bd31a9920e00633ad6ce658e22529304f2;Contradicts;0.6637119650840759
8;Fix many warnings (Eclipse <version>/Juno based);Enh: add new staticondemandthreshold setting to eclipse project jdt.ui preference settings file;https://github.com/junit-team/junit4/commit/0733bbffdadf05a6ebe0c38942904071a4060af4;Removed  <file_name> , replaced with  <file_name> , which moved to model package with  <file_name> ;moved to model package;https://github.com/junit-team/junit4/commit/4d9c88e37dfed614a1bd1ae2ca2ecc86122aa9f1;Contradicts;0.990884006023407
9;Fix many warnings (Eclipse <version>/Juno based);Enh: add new staticondemandthreshold setting to eclipse project jdt.ui preference settings file;https://github.com/junit-team/junit4/commit/0733bbffdadf05a6ebe0c38942904071a4060af4;Adding bogus markdown;should be removed later;https://github.com/junit-team/junit4/commit/ce034f7167462706062dfc010fde052a89c4eb6d;Contradicts;0.7584356665611267
