;Decision1;Rationale1;URL1;Decision2;Rationale2;URL2;Relationship;Alpha
0;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Wrap the invocation of <iden>() within a try-catch block  ;Exceptions from <iden>() were causing unrooted tests;https://github.com/junit-team/junit4/commit/a90b496a6595856066504baf4f737fb853a6e45d;Similar;0.6771162152290344
1;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Fix dead link to the ant task in <file_name> (<pr_link>);"The link is dead; task has been moved to another location";https://github.com/junit-team/junit4/commit/24dfdd762e753c83babca3768d4b508cf5c6a86c;Similar;0.5939651727676392
2;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Fix many warnings (Eclipse <version>/Juno based);Enh: add new staticondemandthreshold setting to eclipse project jdt.ui preference settings file;https://github.com/junit-team/junit4/commit/0733bbffdadf05a6ebe0c38942904071a4060af4;Similar;0.5750546455383301
3;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;changed the <iden>() method to accept a <iden> instead of an explicit <iden>;made some documentation changes;https://github.com/junit-team/junit4/commit/6b943e564adcc9a7106e54c24eb5d022bed1462f;Similar;0.7120740413665771
4;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Remove redundant field <iden> ;redundant;https://github.com/junit-team/junit4/commit/3189af007b26d74ca459f823d57ef77b9c1697b8;Similar;0.6691869497299194
5;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Implemented the changes proposed by davidhart82;proposed by davidhart82;https://github.com/junit-team/junit4/commit/ebb9d7f536a5b1be8364c6cb7367cac8c3849caa;Similar;0.7102205753326416
6;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Restore backward compatibility with sub class of <file_name> that override <iden> method and Add <file_name> to <file_name> suite;To ensure backward compatibility with subclasses and include <file_name> in the <file_name> suite;https://github.com/junit-team/junit4/commit/2b6fa701e84625c511b03079296774cc0904ef1a;Similar;0.7535548806190491
7;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Better validation in <file_name> ;Improve validation;https://github.com/junit-team/junit4/commit/50b9c949876189d8c4871471ec346988e4ccae06;Similar;0.8318653106689453
8;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;A <file_name> can be explicitly passed to a <iden> class that needs one in its constructor.;This eliminates the ugly global constant <file_name> in <file_name>, and breaks the cyclic dependency between runners and requests;https://github.com/junit-team/junit4/commit/d148bce8682505082a3cc634acbd36ac13a10c9a;Similar;0.7258545160293579
9;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Remove unnecessary comments;unnecessary;https://github.com/junit-team/junit4/commit/5af049cac0c976c586d955607fa459aacb778d3c;Similar;0.5230448842048645
10;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Ignored tests should be shown differently in stack trace section of report;ignored;https://github.com/junit-team/junit4/commit/8a8008c96936d468a2f579bcea9a71e965558d57;Similar;0.5355536937713623
11;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Moved <file_name> into proper package;proper;https://github.com/junit-team/junit4/commit/9a5dfd996ab7007994fcf60752441835dbdbb5d0;Similar;0.7942199110984802
12;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Pull <iden> up into <file_name>;reorganization of code;https://github.com/junit-team/junit4/commit/a6368e40e787e7a23c9f1e58d6a47bf9fa2d0a2c;Similar;0.82390296459198
13;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Fixed a bug in <file_name> classes with constructor parameters  ;where the method parameters and constructor parameters were switched;https://github.com/junit-team/junit4/commit/4cb9a65f450efa5f2a42128856c7b56e6d283386;Similar;0.7393395304679871
14;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Removed  <file_name> , replaced with  <file_name> , which moved to model package with  <file_name> ;moved to model package;https://github.com/junit-team/junit4/commit/4d9c88e37dfed614a1bd1ae2ca2ecc86122aa9f1;Similar;0.6994011402130127
15;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Renamed link classes  ;Absolute actions are verbs, ActionModifiers are modifying phrases, Moved isShadowedBy(List) to <file_name>;https://github.com/junit-team/junit4/commit/44e7458b19d5cd1900a765a440c96e85b81d25fc;Similar;0.7329246401786804
16;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Created a separate <file_name> directory for new <file_name> scripts, including FTP upload;Organizing and structuring directories for new scripts;https://github.com/junit-team/junit4/commit/24eacde6262fbb3ce096fe59e8df93907b7622ae;Similar;0.5786425471305847
