index;Decision;Rationale;URL;web_url
0;trigger wakeup key events;ACPI: button;https://api.github.com/repos/torvalds/linux/git/commits/16f70feaabe9fde0af703f2991d44a7589f0b6e3;https://github.com/torvalds/linux/commit/16f70feaabe9fde0af703f2991d44a7589f0b6e3
1;Use different notify handlers for lid and buttons  ;differentiate between lid and buttons;https://api.github.com/repos/torvalds/linux/git/commits/e4e62d5fd8ecb0ea4174afda654432927d248a8a;https://github.com/torvalds/linux/commit/e4e62d5fd8ecb0ea4174afda654432927d248a8a
2;Introduce acpi_lid_notify();lid handling in acpi_button_notify() is special;https://api.github.com/repos/torvalds/linux/git/commits/e4e62d5fd8ecb0ea4174afda654432927d248a8a;https://github.com/torvalds/linux/commit/e4e62d5fd8ecb0ea4174afda654432927d248a8a
4;Driver core needs no inform from callee(bus driver) about the result of remove callback;increases separation of concerns;https://api.github.com/repos/torvalds/linux/git/commits/6c0eb5ba3500f6da367351ff3c4452c029cb72fa;https://github.com/torvalds/linux/commit/6c0eb5ba3500f6da367351ff3c4452c029cb72fa
6;fix some coding style issues;fix some coding style issues;https://api.github.com/repos/torvalds/linux/git/commits/effbe6404e6c1cccaa351a50f1d431f83b34d9a5;https://github.com/torvalds/linux/commit/effbe6404e6c1cccaa351a50f1d431f83b34d9a5
7;Fix some coding style issues reported by checkpatch.pl;including the following types;https://api.github.com/repos/torvalds/linux/git/commits/effbe6404e6c1cccaa351a50f1d431f83b34d9a5;https://github.com/torvalds/linux/commit/effbe6404e6c1cccaa351a50f1d431f83b34d9a5
8;code indent should use tabs where possible;to maintain consistency and follow coding standards;https://api.github.com/repos/torvalds/linux/git/commits/effbe6404e6c1cccaa351a50f1d431f83b34d9a5;https://github.com/torvalds/linux/commit/effbe6404e6c1cccaa351a50f1d431f83b34d9a5
9;Clean up printing messages;ACPI button;https://api.github.com/repos/torvalds/linux/git/commits/411e3216d4ee7e3c25c365b0d09e18f7798d705a;https://github.com/torvalds/linux/commit/411e3216d4ee7e3c25c365b0d09e18f7798d705a
10;replace the direct printk() invocations with pr_info() and drop the unneeded PREFIX symbol definition from battery.c;changes the excessive log level for some of them too;https://api.github.com/repos/torvalds/linux/git/commits/411e3216d4ee7e3c25c365b0d09e18f7798d705a;https://github.com/torvalds/linux/commit/411e3216d4ee7e3c25c365b0d09e18f7798d705a
12;"Remove the "" MD60198"" part from the E2215T quirk";the MD60### part of the model number differs per country/batch while all of the E2215T and E2228T models have this issue;https://api.github.com/repos/torvalds/linux/git/commits/7daaa06357bf7f1874b62bb1ea9d66a51d4e567e;https://github.com/torvalds/linux/commit/7daaa06357bf7f1874b62bb1ea9d66a51d4e567e
13;Drop no longer necessary Acer SW5-012 lid_init_state quirk;no longer necessary;https://api.github.com/repos/torvalds/linux/git/commits/136a4dfe87cd34db2153330aa84dbbc210eb36b6;https://github.com/torvalds/linux/commit/136a4dfe87cd34db2153330aa84dbbc210eb36b6
14;"Commit 78a5b53e9fb4 (""Input: soc_button_array - work around DSDTs which modify the irqflags"") adds a workaround for DSDTs with a _LID method which play tricks with the irqflags";assuming that the OS is using an irq-type of IRQ_TYPE_LEVEL_LOW;https://api.github.com/repos/torvalds/linux/git/commits/136a4dfe87cd34db2153330aa84dbbc210eb36b6;https://github.com/torvalds/linux/commit/136a4dfe87cd34db2153330aa84dbbc210eb36b6
15;we no longer need to disable the lid functionality on the Acer SW5-012;Now that this workaround is in place;https://api.github.com/repos/torvalds/linux/git/commits/136a4dfe87cd34db2153330aa84dbbc210eb36b6;https://github.com/torvalds/linux/commit/136a4dfe87cd34db2153330aa84dbbc210eb36b6
16;fix handling lid state changes when input device closed;-;https://api.github.com/repos/torvalds/linux/git/commits/21988a8e51479ceffe7b0568b170effabb708dfe;https://github.com/torvalds/linux/commit/21988a8e51479ceffe7b0568b170effabb708dfe
17;Let's ensure that state updates happen even if userspace closed (or in the future inhibited) input device;state updates happen even if userspace closed (or in the future inhibited) input device;https://api.github.com/repos/torvalds/linux/git/commits/21988a8e51479ceffe7b0568b170effabb708dfe;https://github.com/torvalds/linux/commit/21988a8e51479ceffe7b0568b170effabb708dfe
