;Decision1;Rationale1;URL1;Decision2;Rationale2;URL2;Relationship;Alpha
0;trigger wakeup key events;ACPI: button;https://github.com/torvalds/linux/commit/16f70feaabe9fde0af703f2991d44a7589f0b6e3;add #ifdefs to prevent them from being built in that case  ;several suspend/resume functions in ACPI drivers are not used for CONFIG_PM_SLEEP unset;https://github.com/torvalds/linux/commit/9069240480e24a2d6ce23404c9ad6cabf59b7258;Contradicts;0.5111292600631714
1;trigger wakeup key events;ACPI: button;https://github.com/torvalds/linux/commit/16f70feaabe9fde0af703f2991d44a7589f0b6e3;it is sufficient to set/unset the wakeup mask bits for them during system sleep transitions;"this means that the reference counting of ""wakeup"" GPEs doesnt really make sense";https://github.com/torvalds/linux/commit/cb1cb1780f2025a7d612de09131bf6530f80fb1a;Contradicts;0.681071937084198
2;trigger wakeup key events;ACPI: button;https://github.com/torvalds/linux/commit/16f70feaabe9fde0af703f2991d44a7589f0b6e3;Remove the old GPE type handling entirely  ;Gets rid of various quirks, like the implicit disabling with GPE type setting;https://github.com/torvalds/linux/commit/9630bdd9b15d2f489c646d8bc04b60e53eb5ec78;Contradicts;0.5258775949478149
3;trigger wakeup key events;ACPI: button;https://github.com/torvalds/linux/commit/16f70feaabe9fde0af703f2991d44a7589f0b6e3;un-export ACPI_ERROR() -- use printk(KERN_ERR...);use printk(KERN_ERR...);https://github.com/torvalds/linux/commit/6468463abd7051fcc29f3ee7c931f9bbbb26f5a4;Contradicts;0.6029117107391357
4;Use different notify handlers for lid and buttons  ;differentiate between lid and buttons;https://github.com/torvalds/linux/commit/e4e62d5fd8ecb0ea4174afda654432927d248a8a;Driver core needs no inform from callee(bus driver) about the result of remove callback;increases separation of concerns;https://github.com/torvalds/linux/commit/6c0eb5ba3500f6da367351ff3c4452c029cb72fa;Contradicts;0.565901517868042
5;Use different notify handlers for lid and buttons  ;differentiate between lid and buttons;https://github.com/torvalds/linux/commit/e4e62d5fd8ecb0ea4174afda654432927d248a8a;re-using the existing option;keeps things simple and it will make it much easier to add DMI quirks which can either disable the LID completely or set another non-default lid_init_state value, both of which are necessary on some devices;https://github.com/torvalds/linux/commit/593681e2c75f59f23cf6f6cefc4f00cae2a4522b;Contradicts;0.8645511865615845
6;Use different notify handlers for lid and buttons  ;differentiate between lid and buttons;https://github.com/torvalds/linux/commit/e4e62d5fd8ecb0ea4174afda654432927d248a8a;"The only solution is to add a DMI based blacklist and ignore the LID device on these tablets.
";There is nothing the ACPI button driver (or the gpio code) can do to fix this.;https://github.com/torvalds/linux/commit/9e811e19a7aca16d40e1ce0c68e9bbffea1b9810;Contradicts;0.9147369265556335
7;Use different notify handlers for lid and buttons  ;differentiate between lid and buttons;https://github.com/torvalds/linux/commit/e4e62d5fd8ecb0ea4174afda654432927d248a8a;This patch makes it deprecated;lid_init__state=open is more useful than this mode;https://github.com/torvalds/linux/commit/ecb10b694b72ca5ea51b3c90a71ff2a11963425a;Contradicts;0.5157364010810852
8;Use different notify handlers for lid and buttons  ;differentiate between lid and buttons;https://github.com/torvalds/linux/commit/e4e62d5fd8ecb0ea4174afda654432927d248a8a;it is sufficient to set/unset the wakeup mask bits for them during system sleep transitions;"this means that the reference counting of ""wakeup"" GPEs doesnt really make sense";https://github.com/torvalds/linux/commit/cb1cb1780f2025a7d612de09131bf6530f80fb1a;Contradicts;0.815011739730835
9;Use different notify handlers for lid and buttons  ;differentiate between lid and buttons;https://github.com/torvalds/linux/commit/e4e62d5fd8ecb0ea4174afda654432927d248a8a;Remove the old GPE type handling entirely  ;Gets rid of various quirks, like the implicit disabling with GPE type setting;https://github.com/torvalds/linux/commit/9630bdd9b15d2f489c646d8bc04b60e53eb5ec78;Contradicts;0.5263650417327881
10;Use different notify handlers for lid and buttons  ;differentiate between lid and buttons;https://github.com/torvalds/linux/commit/e4e62d5fd8ecb0ea4174afda654432927d248a8a;Remove button->device pointer;button;https://github.com/torvalds/linux/commit/106c19e7b978e1b84ea5cabbd470a0ddced577c8;Contradicts;0.6563263535499573
11;Use different notify handlers for lid and buttons  ;differentiate between lid and buttons;https://github.com/torvalds/linux/commit/e4e62d5fd8ecb0ea4174afda654432927d248a8a;"proc_fops is declared as ""const""";should give some thoughts;https://github.com/torvalds/linux/commit/99b76233803beab302123d243eea9e41149804f3;Contradicts;0.5562366843223572
12;Use different notify handlers for lid and buttons  ;differentiate between lid and buttons;https://github.com/torvalds/linux/commit/e4e62d5fd8ecb0ea4174afda654432927d248a8a;dont want such modular code;definitely;https://github.com/torvalds/linux/commit/99b76233803beab302123d243eea9e41149804f3;Contradicts;0.5002537965774536
13;Use different notify handlers for lid and buttons  ;differentiate between lid and buttons;https://github.com/torvalds/linux/commit/e4e62d5fd8ecb0ea4174afda654432927d248a8a;un-export ACPI_ERROR() -- use printk(KERN_ERR...);use printk(KERN_ERR...);https://github.com/torvalds/linux/commit/6468463abd7051fcc29f3ee7c931f9bbbb26f5a4;Contradicts;0.6530077457427979
14;Introduce acpi_lid_notify();lid handling in acpi_button_notify() is special;https://github.com/torvalds/linux/commit/e4e62d5fd8ecb0ea4174afda654432927d248a8a;Driver core needs no inform from callee(bus driver) about the result of remove callback;increases separation of concerns;https://github.com/torvalds/linux/commit/6c0eb5ba3500f6da367351ff3c4452c029cb72fa;Contradicts;0.5137696862220764
