;Decision1;Rationale1;URL1;Decision2;Rationale2;URL2;Relationship;Alpha;similarity_rationales
0;Use different notify handlers for lid and buttons  ;differentiate between lid and buttons;https://github.com/torvalds/linux/commit/e4e62d5fd8ecb0ea4174afda654432927d248a8a;re-using the existing option;keeps things simple and it will make it much easier to add DMI quirks which can either disable the LID completely or set another non-default lid_init_state value, both of which are necessary on some devices;https://github.com/torvalds/linux/commit/593681e2c75f59f23cf6f6cefc4f00cae2a4522b;Contradicts;0.8645511865615845;0.3650838136672973
1;Use different notify handlers for lid and buttons  ;differentiate between lid and buttons;https://github.com/torvalds/linux/commit/e4e62d5fd8ecb0ea4174afda654432927d248a8a;"The only solution is to add a DMI based blacklist and ignore the LID device on these tablets.
";There is nothing the ACPI button driver (or the gpio code) can do to fix this.;https://github.com/torvalds/linux/commit/9e811e19a7aca16d40e1ce0c68e9bbffea1b9810;Contradicts;0.9147369265556335;0.2722031474113464
2;Use different notify handlers for lid and buttons  ;differentiate between lid and buttons;https://github.com/torvalds/linux/commit/e4e62d5fd8ecb0ea4174afda654432927d248a8a;it is sufficient to set/unset the wakeup mask bits for them during system sleep transitions;"this means that the reference counting of ""wakeup"" GPEs doesnt really make sense";https://github.com/torvalds/linux/commit/cb1cb1780f2025a7d612de09131bf6530f80fb1a;Contradicts;0.815011739730835;0.3686802089214325
3;Introduce acpi_lid_notify();lid handling in acpi_button_notify() is special;https://github.com/torvalds/linux/commit/e4e62d5fd8ecb0ea4174afda654432927d248a8a;Drop no longer necessary Acer SW5-012 lid_init_state quirk;no longer necessary;https://github.com/torvalds/linux/commit/136a4dfe87cd34db2153330aa84dbbc210eb36b6;Contradicts;0.851567804813385;0.3214991092681885
4;Introduce acpi_lid_notify();lid handling in acpi_button_notify() is special;https://github.com/torvalds/linux/commit/e4e62d5fd8ecb0ea4174afda654432927d248a8a;"The only solution is to add a DMI based blacklist and ignore the LID device on these tablets.
";There is nothing the ACPI button driver (or the gpio code) can do to fix this.;https://github.com/torvalds/linux/commit/9e811e19a7aca16d40e1ce0c68e9bbffea1b9810;Contradicts;0.8511714339256287;0.334909975528717
5;Introduce acpi_lid_notify();lid handling in acpi_button_notify() is special;https://github.com/torvalds/linux/commit/e4e62d5fd8ecb0ea4174afda654432927d248a8a;This patch makes it deprecated;lid_init__state=open is more useful than this mode;https://github.com/torvalds/linux/commit/ecb10b694b72ca5ea51b3c90a71ff2a11963425a;Contradicts;0.9546050429344176;0.5875755548477173
6;Driver core needs no inform from callee(bus driver) about the result of remove callback;increases separation of concerns;https://github.com/torvalds/linux/commit/6c0eb5ba3500f6da367351ff3c4452c029cb72fa;Remove the old GPE type handling entirely  ;Gets rid of various quirks, like the implicit disabling with GPE type setting;https://github.com/torvalds/linux/commit/9630bdd9b15d2f489c646d8bc04b60e53eb5ec78;Contradicts;0.8569427132606506;0.4625479280948639
7;"Remove the "" MD60198"" part from the E2215T quirk";the MD60### part of the model number differs per country/batch while all of the E2215T and E2228T models have this issue;https://github.com/torvalds/linux/commit/7daaa06357bf7f1874b62bb1ea9d66a51d4e567e;This commit adds a quirk for this;as no lid-switch function is better then the interrupt storm;https://github.com/torvalds/linux/commit/90ed9c639c1b53556f87b1c5031c7e4c57285a92;Contradicts;0.8323667645454407;0.423761248588562
8;"Remove the "" MD60198"" part from the E2215T quirk";the MD60### part of the model number differs per country/batch while all of the E2215T and E2228T models have this issue;https://github.com/torvalds/linux/commit/7daaa06357bf7f1874b62bb1ea9d66a51d4e567e;Remove the old GPE type handling entirely  ;Gets rid of various quirks, like the implicit disabling with GPE type setting;https://github.com/torvalds/linux/commit/9630bdd9b15d2f489c646d8bc04b60e53eb5ec78;Contradicts;0.8411511778831482;0.5245858430862427
9;"Commit 78a5b53e9fb4 (""Input: soc_button_array - work around DSDTs which modify the irqflags"") adds a workaround for DSDTs with a _LID method which play tricks with the irqflags";assuming that the OS is using an irq-type of IRQ_TYPE_LEVEL_LOW;https://github.com/torvalds/linux/commit/136a4dfe87cd34db2153330aa84dbbc210eb36b6;"Fixes: 17e5888e4e18 (""x86: Select HARDIRQS_SW_RESEND on x86"")";"(""x86: Select HARDIRQS_SW_RESEND on x86"")";https://github.com/torvalds/linux/commit/2b6022a32e1c6e740a5929951d9d8cbed3b162b1;Contradicts;0.8618293404579163;0.5882037878036499
10;"Commit 78a5b53e9fb4 (""Input: soc_button_array - work around DSDTs which modify the irqflags"") adds a workaround for DSDTs with a _LID method which play tricks with the irqflags";assuming that the OS is using an irq-type of IRQ_TYPE_LEVEL_LOW;https://github.com/torvalds/linux/commit/136a4dfe87cd34db2153330aa84dbbc210eb36b6;"The only solution is to add a DMI based blacklist and ignore the LID device on these tablets.
";There is nothing the ACPI button driver (or the gpio code) can do to fix this.;https://github.com/torvalds/linux/commit/9e811e19a7aca16d40e1ce0c68e9bbffea1b9810;Contradicts;0.8578787446022034;0.3535188436508178
11;"Commit 78a5b53e9fb4 (""Input: soc_button_array - work around DSDTs which modify the irqflags"") adds a workaround for DSDTs with a _LID method which play tricks with the irqflags";assuming that the OS is using an irq-type of IRQ_TYPE_LEVEL_LOW;https://github.com/torvalds/linux/commit/136a4dfe87cd34db2153330aa84dbbc210eb36b6;Remove the old GPE type handling entirely  ;Gets rid of various quirks, like the implicit disabling with GPE type setting;https://github.com/torvalds/linux/commit/9630bdd9b15d2f489c646d8bc04b60e53eb5ec78;Contradicts;0.8366401195526123;0.6626706719398499
12;we no longer need to disable the lid functionality on the Acer SW5-012;Now that this workaround is in place;https://github.com/torvalds/linux/commit/136a4dfe87cd34db2153330aa84dbbc210eb36b6;"The only solution is to add a DMI based blacklist and ignore the LID device on these tablets.
";There is nothing the ACPI button driver (or the gpio code) can do to fix this.;https://github.com/torvalds/linux/commit/9e811e19a7aca16d40e1ce0c68e9bbffea1b9810;Contradicts;0.9657790660858154;0.2024052739143371
13;Lets ensure that state updates happen even if userspace closed (or in the future inhibited) input device;state updates happen even if userspace closed (or in the future inhibited) input device;https://github.com/torvalds/linux/commit/21988a8e51479ceffe7b0568b170effabb708dfe;When we removed the procfs dir on error or if the driver is unbound;the two variables acpi_lid_dir and acpi_button_dir were not reset;https://github.com/torvalds/linux/commit/e370cc8640305aa2fa42b852cccd89e80c28d9a0;Contradicts;0.872973620891571;0.5560500621795654
14;Lets ensure that state updates happen even if userspace closed (or in the future inhibited) input device;state updates happen even if userspace closed (or in the future inhibited) input device;https://github.com/torvalds/linux/commit/21988a8e51479ceffe7b0568b170effabb708dfe;this patch stops sending the initial lid state to the userspace;to avoid sending the wrong lid state to the userspace to trigger such kind of wrong suspending;https://github.com/torvalds/linux/commit/c2dd420034f24f356b86f90222ef19148b82a5c1;Contradicts;0.8448073267936707;0.4802822768688202
15;Lets ensure that state updates happen even if userspace closed (or in the future inhibited) input device;state updates happen even if userspace closed (or in the future inhibited) input device;https://github.com/torvalds/linux/commit/21988a8e51479ceffe7b0568b170effabb708dfe;un-export ACPI_ERROR() -- use printk(KERN_ERR...);use printk(KERN_ERR...);https://github.com/torvalds/linux/commit/6468463abd7051fcc29f3ee7c931f9bbbb26f5a4;Contradicts;0.844693660736084;0.5042665004730225
16;Replace the existing /* fall through */ comments and its variants with the new pseudo-keyword macro fallthrough;[1];https://github.com/torvalds/linux/commit/57d2dd4bd18b1378b3bc0b6b2b8b858deb6c2fa7;re-using the existing option;keeps things simple and it will make it much easier to add DMI quirks which can either disable the LID completely or set another non-default lid_init_state value, both of which are necessary on some devices;https://github.com/torvalds/linux/commit/593681e2c75f59f23cf6f6cefc4f00cae2a4522b;Contradicts;0.941566288471222;0.0818921253085136
17;Replace the existing /* fall through */ comments and its variants with the new pseudo-keyword macro fallthrough;[1];https://github.com/torvalds/linux/commit/57d2dd4bd18b1378b3bc0b6b2b8b858deb6c2fa7;"The only solution is to add a DMI based blacklist and ignore the LID device on these tablets.
";There is nothing the ACPI button driver (or the gpio code) can do to fix this.;https://github.com/torvalds/linux/commit/9e811e19a7aca16d40e1ce0c68e9bbffea1b9810;Contradicts;0.8992103338241577;0.1693098843097686
