;Decision1;Rationale1;URL1;Decision2;Rationale2;URL2;Relationship;Alpha
0;trigger wakeup key events;ACPI: button;https://github.com/torvalds/linux/commit/16f70feaabe9fde0af703f2991d44a7589f0b6e3;Introduce acpi_lid_notify();lid handling in acpi_button_notify() is special;https://github.com/torvalds/linux/commit/e4e62d5fd8ecb0ea4174afda654432927d248a8a;Similar;0.648673415184021
1;trigger wakeup key events;ACPI: button;https://github.com/torvalds/linux/commit/16f70feaabe9fde0af703f2991d44a7589f0b6e3;fix some coding style issues;fix some coding style issues;https://github.com/torvalds/linux/commit/effbe6404e6c1cccaa351a50f1d431f83b34d9a5;Similar;0.552395224571228
2;trigger wakeup key events;ACPI: button;https://github.com/torvalds/linux/commit/16f70feaabe9fde0af703f2991d44a7589f0b6e3;code indent should use tabs where possible;to maintain consistency and follow coding standards;https://github.com/torvalds/linux/commit/effbe6404e6c1cccaa351a50f1d431f83b34d9a5;Similar;0.5545645952224731
3;trigger wakeup key events;ACPI: button;https://github.com/torvalds/linux/commit/16f70feaabe9fde0af703f2991d44a7589f0b6e3;fix handling lid state changes when input device closed;-;https://github.com/torvalds/linux/commit/21988a8e51479ceffe7b0568b170effabb708dfe;Similar;0.5422711372375488
4;trigger wakeup key events;ACPI: button;https://github.com/torvalds/linux/commit/16f70feaabe9fde0af703f2991d44a7589f0b6e3;Lets ensure that state updates happen even if userspace closed (or in the future inhibited) input device;state updates happen even if userspace closed (or in the future inhibited) input device;https://github.com/torvalds/linux/commit/21988a8e51479ceffe7b0568b170effabb708dfe;Similar;0.5032614469528198
5;trigger wakeup key events;ACPI: button;https://github.com/torvalds/linux/commit/16f70feaabe9fde0af703f2991d44a7589f0b6e3;"
The problem here is the accesses to the PBCG and HMCG
";"
these are the pinconf0 registers for the power";https://github.com/torvalds/linux/commit/90ed9c639c1b53556f87b1c5031c7e4c57285a92;Similar;0.538925051689148
6;trigger wakeup key events;ACPI: button;https://github.com/torvalds/linux/commit/16f70feaabe9fde0af703f2991d44a7589f0b6e3;adds the BYT_TRIG_LVL flag to this;so now it is turned into a level interrupt which fires both when low and high, iow it simply always fires leading to an interrupt storm, the tablet immediately waking up from suspend again, etc;https://github.com/torvalds/linux/commit/90ed9c639c1b53556f87b1c5031c7e4c57285a92;Similar;0.6188116073608398
7;trigger wakeup key events;ACPI: button;https://github.com/torvalds/linux/commit/16f70feaabe9fde0af703f2991d44a7589f0b6e3;This commit adds a quirk for this;as no lid-switch function is better then the interrupt storm;https://github.com/torvalds/linux/commit/90ed9c639c1b53556f87b1c5031c7e4c57285a92;Similar;0.743364155292511
8;trigger wakeup key events;ACPI: button;https://github.com/torvalds/linux/commit/16f70feaabe9fde0af703f2991d44a7589f0b6e3;Setting lid_init_state to ACPI_BUTTON_LID_INIT_OPEN on the T200TA  ;fixes the unwanted behavior, adds a DMI based quirk;https://github.com/torvalds/linux/commit/00e250367cc6c4ab80fea6ec605d464e624bd520;Similar;0.5260249376296997
9;trigger wakeup key events;ACPI: button;https://github.com/torvalds/linux/commit/16f70feaabe9fde0af703f2991d44a7589f0b6e3; the lid_init_state selection needs to be set to ACPI_BUTTON_LID_INIT_OPEN  ;In order for the Linux LID code to work properly with this implementation;https://github.com/torvalds/linux/commit/932e1ba486117de2fcea3df27ad8218ad6c11470;Similar;0.6569445133209229
