level_0;index;message_preprocessed;Decision;Rationale;URL;web_url
0;0;mm: reduce noise in show_mem for lowmem allocations;reduce noise in show_mem for lowmem allocations;lowmem allocations;https://api.github.com/repos/torvalds/linux/git/commits/974f4367dd315acc15ad4a6453f8304aea60dfbd;https://github.com/torvalds/linux/commit/974f4367dd315acc15ad4a6453f8304aea60dfbd
1;3;"This is an attempt to reduce the ballast that doesn't provide any relevant
information for those allocation failures investigation";Reduce the ballast;Doesn't provide any relevant information;https://api.github.com/repos/torvalds/linux/git/commits/974f4367dd315acc15ad4a6453f8304aea60dfbd;https://github.com/torvalds/linux/commit/974f4367dd315acc15ad4a6453f8304aea60dfbd
3;8;"Munlock code is no longer a problem since [3] and there shouldn't be any
blocking operation before the memory is unmapped by exit_mmap so the oom
reaper invocation can be dropped";the oom reaper invocation can be dropped;Munlock code is no longer a problem and there shouldn't be any blocking operation before the memory is unmapped by exit_mmap;https://api.github.com/repos/torvalds/linux/git/commits/bf3980c85212fc71512d27a46f5aab66f46ca284;https://github.com/torvalds/linux/commit/bf3980c85212fc71512d27a46f5aab66f46ca284
4;10;"Remove the oom_reaper from exit_mmap which will make the code easier to
read";Remove the oom_reaper from exit_mmap;make the code easier to read;https://api.github.com/repos/torvalds/linux/git/commits/bf3980c85212fc71512d27a46f5aab66f46ca284;https://github.com/torvalds/linux/commit/bf3980c85212fc71512d27a46f5aab66f46ca284
5;11;" This is really unlikely to make any observable difference although
some microbenchmarks could benefit from one less branch that needs to be
evaluated even though it almost never is true.";This is really unlikely to make any observable difference;some microbenchmarks could benefit from one less branch that needs to be evaluated even though it almost never is true;https://api.github.com/repos/torvalds/linux/git/commits/bf3980c85212fc71512d27a46f5aab66f46ca284;https://github.com/torvalds/linux/commit/bf3980c85212fc71512d27a46f5aab66f46ca284
6;12;mm/oom_kill.c: fix vm_oom_kill_table[] ifdeffery;fix vm_oom_kill_table[];ifdeffery;https://api.github.com/repos/torvalds/linux/git/commits/a19cad0691597eb79c123b8a19a9faba5ab7d90e;https://github.com/torvalds/linux/commit/a19cad0691597eb79c123b8a19a9faba5ab7d90e
7;15;" Which removes the need for munlock_vma_pages_all()
on mlocked vmas when munmapping or exiting: eliminating the catastrophic
contention on i_mmap_rwsem, and the need for page lock on the pages";removes the need for munlock_vma_pages_all();eliminating the catastrophic contention on i_mmap_rwsem, and the need for page lock on the pages;https://api.github.com/repos/torvalds/linux/git/commits/a213e5cf71cbcea4b23caedcb8fe6629a333b275;https://github.com/torvalds/linux/commit/a213e5cf71cbcea4b23caedcb8fe6629a333b275
8;16;"There is still a need to update locked_vm accounting according to the
munmapped vmas when munmapping: do that in detach_vmas_to_be_unmapped()";update locked_vm accounting according to the munmapped vmas when munmapping;There is still a need to perform this action;https://api.github.com/repos/torvalds/linux/git/commits/a213e5cf71cbcea4b23caedcb8fe6629a333b275;https://github.com/torvalds/linux/commit/a213e5cf71cbcea4b23caedcb8fe6629a333b275
9;17;exit_mmap() does not need locked_vm updates, so delete unlock_range();delete unlock_range();exit_mmap() does not need locked_vm updates;https://api.github.com/repos/torvalds/linux/git/commits/a213e5cf71cbcea4b23caedcb8fe6629a333b275;https://github.com/torvalds/linux/commit/a213e5cf71cbcea4b23caedcb8fe6629a333b275
10;18;"And wasn't I the one who forbade the OOM reaper to attack mlocked vmas,
because of the uncertainty in blocking on all those page locks?
No fear of that now, so permit the OOM reaper on mlocked vmas.";Permit the OOM reaper on mlocked vmas;No fear of blocking on all those page locks anymore;https://api.github.com/repos/torvalds/linux/git/commits/a213e5cf71cbcea4b23caedcb8fe6629a333b275;https://github.com/torvalds/linux/commit/a213e5cf71cbcea4b23caedcb8fe6629a333b275
