;Decision1;Rationale1;URL1;Decision2;Rationale2;URL2;Relationship;Alpha
0;speed up select_bad_process() loop;mm, oom;https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;Only oom kill exiting tasks with attached memory;oom;https://github.com/torvalds/linux/commit/81236810226f71bd9ff77321c8e8276dae7efc61;Contradicts;0.5990683436393738
1;speed up select_bad_process() loop;mm, oom;https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;__oom_kill_task() will simply be a no-op in such circumstances;mm can become detached later since task_lock() is not held;https://github.com/torvalds/linux/commit/81236810226f71bd9ff77321c8e8276dae7efc61;Contradicts;0.5752081274986267
2;speed up select_bad_process() loop;mm, oom;https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;There is no need to call for int_sqrt;if argument is 0;https://github.com/torvalds/linux/commit/a12888f772dab4bf5e6f73668dc4f5f6026a7014;Contradicts;0.6709030866622925
3;speed up select_bad_process() loop;mm, oom;https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;oom_kill_process() needs to check that p is unkillable;needs to check that p is unkillable;https://github.com/torvalds/linux/commit/f88ccad5886d5a864b8b0d48c666ee9998dec53f;Contradicts;0.5062636733055115
4;speed up select_bad_process() loop;mm, oom;https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;Killing such a task should be acceptable;it is highly unlikely it has done anything useful because it cannot modify any memory before it calls exec;https://github.com/torvalds/linux/commit/97fd49c2355ffdede6526afc0c72bc314d05f42a;Contradicts;0.6405929923057556
5;speed up select_bad_process() loop;mm, oom;https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;This patch causes SysRq+F to always kill an eligible thread;This patch can be used to force a kill even if another oom killed thread has failed to exit.;https://github.com/torvalds/linux/commit/08ab9b10d43aca091fdff58b69fc1ec89c5b8a83;Contradicts;0.5546959638595581
6;speed up select_bad_process() loop;mm, oom;https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;Remove mm->oom_disable_count entirely;its unnecessary and currently buggy;https://github.com/torvalds/linux/commit/c9f01245b6a7d77d17deaa71af10f6aca14fa24e;Contradicts;0.6090050935745239
7;speed up select_bad_process() loop;mm, oom;https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;fix constraint deadlock;constraint deadlock;https://github.com/torvalds/linux/commit/2b45ab3398a0ba119b1f672c7c56fd5a431b7f0a;Contradicts;0.7066870927810669
8;speed up select_bad_process() loop;mm, oom;https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;kill those individual threads;When finding other threads that share an mm with that task;https://github.com/torvalds/linux/commit/650a7c974f1b91de9732c0f720e792837f8abfd6;Contradicts;0.6512245535850525
9;speed up select_bad_process() loop;mm, oom;https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;"OOM killer gives ""BUG: scheduling while atomic"" and the machine hangs";there isnt enough memory, badness() needs to do its PF_SWAPOFF return after the task_unlock;https://github.com/torvalds/linux/commit/7ba3485947ee7bc89a17f86250fe9b692a615dff;Contradicts;0.5625301003456116
