;Decision1;Rationale1;URL1;Decision2;Rationale2;URL2;Relationship;Alpha;similarity_rationales
0;"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;This patch doesnt change this behavior;because we are not ready to allow those allocation requests to fail yet (and maybe we will face the reality that we will never manage to safely fail these request);https://github.com/torvalds/linux/commit/3da88fb3bacfaa33ff9d13730d17110bb2d9604d;Contradicts;0.994510531425476;0.3513171672821045
1;"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;move the __GFP_FS check down to out_of_memory and prevent OOM victim selection there;prevent OOM victim selection;https://github.com/torvalds/linux/commit/3da88fb3bacfaa33ff9d13730d17110bb2d9604d;Contradicts;0.9556928277015686;0.6442734003067017
2;"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;Change the code to ignore the PF_EXITING tasks without ->mm.;PF_EXITING tasks without ->mm should not be expected to free more memory.;https://github.com/torvalds/linux/commit/b52279406e77be711c068f9a8e970ea6471e089c;Contradicts;0.9155578017234802;0.533965528011322
3;"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;remove redundant task_in_mem_cgroup() check;redundant;https://github.com/torvalds/linux/commit/6ba749ee78ef42ffdf4b95c042fc574a37d229d9;Contradicts;0.917155921459198;0.5130186080932617
4;"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;Remove the unnecessary return value, rename, unexport and collapse __thaw_process() into it;unnecessary return value;https://github.com/torvalds/linux/commit/a5be2d0d1a8746e7be5210e3d6b904455000443c;Contradicts;0.9238361716270448;0.5783705115318298
5;"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;Remove mm->oom_disable_count entirely;its unnecessary and currently buggy;https://github.com/torvalds/linux/commit/c9f01245b6a7d77d17deaa71af10f6aca14fa24e;Contradicts;0.9981389045715332;0.4873455166816711
6;"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;Remove the count;Its better to remove the count;https://github.com/torvalds/linux/commit/c9f01245b6a7d77d17deaa71af10f6aca14fa24e;Contradicts;0.9986255168914796;0.7172040939331055
7;"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;Lets get rid of the signal_struct counter;We do not need it anymore;https://github.com/torvalds/linux/commit/862e3073b3eed13f17bd6be6ca6052db15c0b728;Contradicts;0.9806713461875916;0.5560683012008667
8;"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;This patch removes the cpuset_zone_allowed() call;to force the caller to explicitly choose between the hardwall and the softwall case;https://github.com/torvalds/linux/commit/02a0e53d8227aff5e62e0433f82c12c1c2805fd6;Contradicts;0.9362782835960388;0.5510857701301575
9;"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;"OOM killer gives ""BUG: scheduling while atomic"" and the machine hangs";there isnt enough memory, badness() needs to do its PF_SWAPOFF return after the task_unlock;https://github.com/torvalds/linux/commit/7ba3485947ee7bc89a17f86250fe9b692a615dff;Contradicts;0.9122530221939088;0.5657375454902649
10;"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;CONFIG_MMU=n doesnt have oom reaper so lets stick to the original ALLOC_NO_WATERMARKS approach;CONFIG_MMU=n doesnt have oom reaper;https://github.com/torvalds/linux/commit/cd04ae1e2dc8e3651b8c427ec1b9500c6eed7b90;Contradicts;0.9121739268302916;0.5375957489013672
11;"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;Get rid of this hardcoded behavior;push the allocation mask down the show_mem path and use it instead of cpuset_current_mems_allowed;https://github.com/torvalds/linux/commit/9af744d743170b5f5ef70031dea8d772d166ab28;Contradicts;0.9694297909736632;0.7433531284332275
12;"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;Replace both locking schemes with a single global mutex serializing OOM kills regardless of context.;regardless of context;https://github.com/torvalds/linux/commit/dc56401fc9f25e8f93899991ec858c98a331d88c;Contradicts;0.9510989189147948;0.4435310065746307
13;"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;The flag is set in mark_oom_victim and never cleared;so it is stable in the exit_mmap path;https://github.com/torvalds/linux/commit/4837fe37adff1d159904f0c013471b1ecbcb455e;Contradicts;0.9982798099517822;0.5074784755706787
14;"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;Giving TIF_MEMDIE only to the main thread and the currently allocating task;To reduce the risk ;https://github.com/torvalds/linux/commit/cd04ae1e2dc8e3651b8c427ec1b9500c6eed7b90;Contradicts;0.9411827921867372;0.6612657904624939
15;"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;remove task_t, convert to struct task_struct;cleanup, remove;https://github.com/torvalds/linux/commit/36c8b586896f60cb91a4fd526233190b34316baf;Contradicts;0.9311471581459044;0.6042991280555725
16;"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;cleanup: remove task_t and convert all the uses to struct task_struct;remove task_t and convert all the uses to struct task_struct;https://github.com/torvalds/linux/commit/36c8b586896f60cb91a4fd526233190b34316baf;Contradicts;0.95354425907135;0.6710247993469238
17;"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;None ;more pointed memcg page statistics for memcg-oom and take hierarchy into consideration;https://github.com/torvalds/linux/commit/58cf188ed649b6570dfdc9c62156cdf396c2e395;Contradicts;0.9218712449073792;0.501911997795105
