index;Decision;Rationale;URL;url
2;__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;https://api.github.com/repos/torvalds/linux/git/commits/05a940656e1eb2026d9ee31019d5b47e9545124d;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d
3;For most allocations, this works well, as the vast majority of callers are not expecting to use more memory than what they asked for;The vast majority of callers are not expecting to use more memory than what they asked for;https://api.github.com/repos/torvalds/linux/git/commits/05a940656e1eb2026d9ee31019d5b47e9545124d;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d
4;it wants to minimize the number of calls to krealloc(), so it just uses ksize() plus some additional bytes, forcing the realloc into the next bucket size  ;so it can learn how large it is now;https://api.github.com/repos/torvalds/linux/git/commits/05a940656e1eb2026d9ee31019d5b47e9545124d;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d
5;Use all the space available in the chosen bucket immediately;to avoid needing to reallocate later;https://api.github.com/repos/torvalds/linux/git/commits/05a940656e1eb2026d9ee31019d5b47e9545124d;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d
6;kmalloc(size) might give us more room than requested;might give us more room than requested;https://api.github.com/repos/torvalds/linux/git/commits/05a940656e1eb2026d9ee31019d5b47e9545124d;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d
7;Put skb_shared_info exactly at the end of allocated zone;to allow max possible filling before reallocation;https://api.github.com/repos/torvalds/linux/git/commits/05a940656e1eb2026d9ee31019d5b47e9545124d;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d
8;"the ""how much was actually allocated?"" question is answered after the allocation";the compiler hinting is not in an easy place to make the association any more;https://api.github.com/repos/torvalds/linux/git/commits/05a940656e1eb2026d9ee31019d5b47e9545124d;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d
9;This mismatch between the compiler's view of the buffer length and the code's intention about how much it is going to actually use has already caused problems;caused problems;https://api.github.com/repos/torvalds/linux/git/commits/05a940656e1eb2026d9ee31019d5b47e9545124d;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d
10;"reordering the use of the ""actual size"" information";fix this;https://api.github.com/repos/torvalds/linux/git/commits/05a940656e1eb2026d9ee31019d5b47e9545124d;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d
11;"Code can ask ""how large an allocation would I get for a given size?""";instead;https://api.github.com/repos/torvalds/linux/git/commits/05a940656e1eb2026d9ee31019d5b47e9545124d;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d
12;Introduce kmalloc_size_roundup();"serve this function so we can start replacing the ""anticipatory resizing"" uses of ksize()";https://api.github.com/repos/torvalds/linux/git/commits/05a940656e1eb2026d9ee31019d5b47e9545124d;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d
13;Remove export symbol and move declaration to mm/slab.h  ;we don't want to grow its callers;https://api.github.com/repos/torvalds/linux/git/commits/8dfa9d554061873f96335730fb1d403698b2b1b4;https://github.com/torvalds/linux/commit/8dfa9d554061873f96335730fb1d403698b2b1b4
14;unify NUMA and UMA version of tracepoints;mm/slab_common;https://api.github.com/repos/torvalds/linux/git/commits/11e9734bcb6a7361943f993eba4e97f5812120d8;https://github.com/torvalds/linux/commit/11e9734bcb6a7361943f993eba4e97f5812120d8
16;Make kmalloc_track_caller() wrapper of kmalloc_node_track_caller();-;https://api.github.com/repos/torvalds/linux/git/commits/c45248db04f8e3aca4798d67a394fb9cc2168118;https://github.com/torvalds/linux/commit/c45248db04f8e3aca4798d67a394fb9cc2168118
17;Remove CONFIG_NUMA ifdefs for common kmalloc functions;Now that slab_alloc_node() is available for SLAB when CONFIG_NUMA=n;https://api.github.com/repos/torvalds/linux/git/commits/f78a03f6e28be0283f73d3c18b54837b638a8ccf;https://github.com/torvalds/linux/commit/f78a03f6e28be0283f73d3c18b54837b638a8ccf
18;Slab caches marked with SLAB_ACCOUNT force accounting for every allocation from this cache  ;even if __GFP_ACCOUNT flag is not passed;https://api.github.com/repos/torvalds/linux/git/commits/b347aa7b57477f71c740e2bbc6d1078a7109ba23;https://github.com/torvalds/linux/commit/b347aa7b57477f71c740e2bbc6d1078a7109ba23
19;increase the minimum slab alignment to 16;When CONFIG_KASAN_HW_TAGS is enabled;https://api.github.com/repos/torvalds/linux/git/commits/d949a8155d139aa890795b802004a196b7f00598;https://github.com/torvalds/linux/commit/d949a8155d139aa890795b802004a196b7f00598
20;This happens even if MTE is not supported in hardware or disabled via kasan=off;which creates an unnecessary memory overhead in those cases;https://api.github.com/repos/torvalds/linux/git/commits/d949a8155d139aa890795b802004a196b7f00598;https://github.com/torvalds/linux/commit/d949a8155d139aa890795b802004a196b7f00598
21;waiting for quiescence after a full Android boot;with a kernel built with CONFIG_KASAN_HW_TAGS;https://api.github.com/repos/torvalds/linux/git/commits/d949a8155d139aa890795b802004a196b7f00598;https://github.com/torvalds/linux/commit/d949a8155d139aa890795b802004a196b7f00598
