;Decision1;Rationale1;URL1;Decision2;Rationale2;URL2;Relationship;Alpha
0;__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d;Use all the space available in the chosen bucket immediately;to avoid needing to reallocate later;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d;Similar;0.53487229347229
1;__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d;kmalloc(size) might give us more room than requested;might give us more room than requested;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d;Similar;0.6418723464012146
2;__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d;Put skb_shared_info exactly at the end of allocated zone;to allow max possible filling before reallocation;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d;Similar;0.5135068297386169
3;__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d;"the ""how much was actually allocated?"" question is answered after the allocation";the compiler hinting is not in an easy place to make the association any more;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d;Similar;0.5518302917480469
4;__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d;"reordering the use of the ""actual size"" information";fix this;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d;Similar;0.7456427812576294
5;__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d;"Code can ask ""how large an allocation would I get for a given size?""";instead;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d;Similar;0.7900899648666382
6;__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d;Introduce kmalloc_size_roundup();"serve this function so we can start replacing the ""anticipatory resizing"" uses of ksize()";https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d;Similar;0.8149130344390869
7;__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d;Remove export symbol and move declaration to mm/slab.h  ;we dont want to grow its callers;https://github.com/torvalds/linux/commit/8dfa9d554061873f96335730fb1d403698b2b1b4;Similar;0.5278264284133911
8;__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d;unify NUMA and UMA version of tracepoints;mm/slab_common;https://github.com/torvalds/linux/commit/11e9734bcb6a7361943f993eba4e97f5812120d8;Similar;0.6375168561935425
9;__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d;Make kmalloc_track_caller() wrapper of kmalloc_node_track_caller();-;https://github.com/torvalds/linux/commit/c45248db04f8e3aca4798d67a394fb9cc2168118;Similar;0.6348006129264832
10;__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d;Slab caches marked with SLAB_ACCOUNT force accounting for every allocation from this cache  ;even if __GFP_ACCOUNT flag is not passed;https://github.com/torvalds/linux/commit/b347aa7b57477f71c740e2bbc6d1078a7109ba23;Similar;0.5794300436973572
11;__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d;Introduce kmem_cache_alloc_lru to allocate objects and its list_lru;to allocate objects;https://github.com/torvalds/linux/commit/88f2ef73fd66491a2f9a82373d22ca6540f23c62;Similar;0.7645056843757629
12;__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d;use struct folio instead of struct page;Where non-slab page can appear;https://github.com/torvalds/linux/commit/50757018b4c9b02dbf7fcc0514e0fc45b8689c62;Similar;0.5969138145446777
13;__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d;By using the slab type instead of the page type  ;we make it obvious that this can only be called for slabs;https://github.com/torvalds/linux/commit/7213230af5e1e83ff010b3448260b9d3f95dd036;Similar;0.5309123992919922
14;__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d;Add mem_dump_obj() to print source of memory block;to print source of memory block;https://github.com/torvalds/linux/commit/8e7f37f2aaa56b723a24f6872817cf9c6410b613;Similar;0.6775524020195007
15;__alloc_size attribute was added to allocators;In the effort to help the compiler reason about buffer sizes;https://github.com/torvalds/linux/commit/05a940656e1eb2026d9ee31019d5b47e9545124d;There are kernel facilities such as per-CPU reference counts that give error messages in generic handlers or callbacks  ;messages are unenlightening;https://github.com/torvalds/linux/commit/8e7f37f2aaa56b723a24f6872817cf9c6410b613;Similar;0.5332908034324646
