url;new_message1;Decision;Rationale
https://github.com/square/okhttp/commit/2fd0da8bc4a9c9d61b93af83b87383eacba850a3;Update concurrency.md ( <pr_link> ) ;Update concurrency.md;
https://github.com/square/okhttp/commit/c310d27440bd58c23a8cb7795fe1e9514488c962;workaround broken system  <file_name>  behaviour ;Workaround broken system behavior;
https://github.com/square/okhttp/commit/f87d32984dd9b1f5a7092b52dbecbafd784bd764;README: <iden> changes for OkHttp <version> ;<iden> changes for OkHttp <version>;
https://github.com/square/okhttp/commit/2d75be404a6c5371faded5dcdcadd26f64199e0a;Convert  <file_name>  to Kotlin ( <pr_link> )  <enter> * Convert  <file_name>  to Kotlin <enter> * Idiomatic Kotlin <enter> * Revert back to if condition ;Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin
https://github.com/square/okhttp/commit/6b17f9edf338173c6491cc30feeb6e4ff539be9d;Doc:  <file_name>  should be treated as immutable once shared  <enter> ...given that requirement, it's safe for many threads to call the open() method concurrently to open their own connections. <enter>  <pr_link> ;<file_name> should be treated as immutable once shared;given that requirement, it's safe for many threads to call the open() method concurrently to open their own connections
https://github.com/square/okhttp/commit/c8c790a6c8862778cbf8f140b19944732316f0e7;fix small types in the changelog ;fix small types in the changelog;small types
https://github.com/square/okhttp/commit/6a79c3223c5ff2d556bbab8eb9909fffc4ca4387;Update README.md -> <iden> moved to Github ;Update README.md  ;<iden> moved to Github
https://github.com/square/okhttp/commit/4910039a572abc6d20cac48eb2c5e92591520537;Support querying & setting transport lists on connections.  <enter> The list is specified via a magic request property '<iden>' and can be queried via the request property '<iden>'. <enter> System wide defaults / switches don't need any changes to okhttp. They can be set as options on the OkHttpClient used by the platform UrlStreamHandlers. ;Support querying & setting transport lists on connections  ;The list is specified via a magic request property '<iden>' and can be queried via the request property '<iden>' 
https://github.com/square/okhttp/commit/d4a9cf4772ae9d8991e58d934dea433798c9b8eb;`response` receives null explicitly from several catch clauses => Fix nullability (override default parameter nullability set at package-info). ( <pr_link> ) ;Fix nullability (override default parameter nullability set at package-info);response receives null explicitly from several catch clauses
https://github.com/square/okhttp/commit/c6c7ce7dadf2ccaa04122f57a278a4a96d1f5c50; <file_name>  snapshot() method removing entries that are being cached (<pr_link> ) <enter> Fixed a bug I found. When using  <file_name> , <iden>() method of <iden>> returned by snapshot() method iterates through lruEntries, however if entry is not completed yet, it is removed (together with dirtyFiles) as cleanFiles don't exist yet - during saving response to disk. This caused sometimes file not being cached at all. ;snapshot() method removing entries that are being cached  ;because cleanFiles don't exist yet
https://github.com/square/okhttp/commit/dabbd56572089cfef00d358edcc87b3f5c73e580;Update README.md ( <pr_link> ) ;Update README.md  ;
https://github.com/square/okhttp/commit/35b031fb63534b9664e622ca4ecf5b19536f63a8;Fix mockwebserver jar download 404 ;Fix mockwebserver jar download 404;404
https://github.com/square/okhttp/commit/1801d0cb2c7132a97c3e9c011a8546f883dfcf12;update proguard rules on README.md ( <pr_link> ) ;update proguard rules on README.md ( <pr_link> );-
https://github.com/square/okhttp/commit/5569a0d20f4669ddde8227d8777de54ddf373181;Remove obsolete <iden> ;Remove obsolete <iden>;obsolete
https://github.com/square/okhttp/commit/c7d508b79c9e201c91ec23f5eec47c18be206567;Add support for connect start/end events. ( <pr_link> ) ;Add support for connect start/end events;
https://github.com/square/okhttp/commit/0827fc62da61fce5cf7bedb088575fe41573b39d;Update  <file_name>  factories to be idiomatic <iden> ;Update factories to be idiomatic;be idiomatic
https://github.com/square/okhttp/commit/a0a3ef543cd5bf199878e14e34b2167e6cf9c575;Beef up  <file_name> 's toString  <enter> Previously it unconditionally showed tags even if empty and would not show headers. ;Beef up <file_name>'s toString;Previously it unconditionally showed tags even if empty and would not show headers
https://github.com/square/okhttp/commit/0e9a5c8054f8ae9b2bc4c41f32790fb52fd73944;Make error-prone validate missing override annotations ;Make error-prone validate missing override annotations;error-prone, missing override annotations
https://github.com/square/okhttp/commit/09f424f12e48e2640915bf61c86a9ecd928e459e;fix README.md typo ( <pr_link> ) ;fix README.md typo;README.md typo
https://github.com/square/okhttp/commit/a334f6f14f40f1586ae309277033c5b1ea53a749;Fix single failing graal test ( <pr_link> ) ;Fix single failing graal test ( <pr_link> );single failing
https://github.com/square/okhttp/commit/5c10006e0a0299ff39ad2e5ee425057b20644afd;Centralise logging behind JUL ( <pr_link> )  <enter> Use JUL, but wire up to the  <method_name>  <enter> Use `adb shell setprop log.tag.okhttp.Http2 <iden>` to enable logging for known levels. ;Centralise logging behind JUL (<pr_link>) <enter> Use JUL, but wire up to the <method_name> <enter> Use `adb shell setprop log.tag.okhttp.Http2 <iden>` to enable logging for known levels;to enable logging for known levels
https://github.com/square/okhttp/commit/a2716d984bdf0930657aebb08c2b12c565130de3;Fix master build ( <pr_link> ) ;Fix master build;
https://github.com/square/okhttp/commit/4b204037e6415a486df4eadb0c659c666e6b9aba;Remove overlapping  <file_name>  ;Remove overlapping \<file_name\>  ;
https://github.com/square/okhttp/commit/70bf8e78b7dbf8ed08dfd93596ba6ebfca52d3a3; <file_name>  init speedup ( <pr_link> ) ;init speedup  ;file_name, pr_link
https://github.com/square/okhttp/commit/63ed542534eec2b1eb124531452a467b5541baa7;API for handling an unexpected SSE response ;API for handling an unexpected SSE response;unexpected
https://github.com/square/okhttp/commit/a01b5115985e555761fee9f9dafb9d7f14ad13cd;MockWebserver fix for <iden> addresses ( <pr_link> )  <enter> Wrap <iden> addresses with [] and return '/' path URIs for proxy CONNECT ;Wrap <iden> addresses with [] and return '/' path URIs for proxy CONNECT;Fix MockWebserver for <iden> addresses
https://github.com/square/okhttp/commit/69bdd6961ba294894620f850b6b01d7175ae8009;Restricted ciphers ( <pr_link> )  <enter> Add a 'best practice' restricted <iden>  <file_name>  ;Add a 'best practice' restricted <iden> <file_name>  ;Restricted ciphers 
https://github.com/square/okhttp/commit/18f3564a4f2b17c3067e7f02337e3909ba5cb3ba;Update  <file_name>  to temporarily ignore javadoc errors and compile tests but not run ( <pr_link> ) ;Update  <file_name>  to temporarily ignore javadoc errors and compile tests but not run ( <pr_link> );temporarily ignore javadoc errors and compile tests
https://github.com/square/okhttp/commit/0cf6f33c1fd1ff84970fa2400afb70a1ea176d5d;document buffer ( <pr_link> ) ;document buffer;
https://github.com/square/okhttp/commit/d6fd0d3832907ff36789b89450df09320081fc66;Fix travis build ;Fix travis build;Fix
https://github.com/square/okhttp/commit/cdc48ba8b0e4bdfccc208985bfef200220096d9d;IOException instead of <iden> in  <file_name>  API ( <pr_link> ) ;Use IOException instead of <iden>;more specific in <file_name> API
https://github.com/square/okhttp/commit/9e0b5b81b0ac25f59a25bd744dc788fe5c3e2971;Make  <file_name>  more capable. ;Make  <file_name>  more capable.;more capable
https://github.com/square/okhttp/commit/caec3c711887b16852c9a4b1bd6d795f3f1b9ca4;fix  <file_name>  for Java 9 ;fix <file_name> for Java 9;Java 9
https://github.com/square/okhttp/commit/c63be3ee65184d119d5145e77986298287118c3a;document support for SNI ;document support for SNI;support for SNI
https://github.com/square/okhttp/commit/08e23fcd02ccbd453b2037128b66f57bc7c8f1d2;Add a canceled event to  <file_name>  ;Add a canceled event to <file_name>;
https://github.com/square/okhttp/commit/5ba145aa6c737878281c3fc655657002320b71c0;Limit recovery attempts for REFUSED_STREAM errors  <enter> We limit per-connection retries but not per-call retries, so this was creating large numbers of connections each of which called the server and accepted yet another REFUSED_STREAM. <enter> Instead we fail sooner with a <iden>. <enter> This shows that the  <file_name>  interface is still somewhat inadequate to support all of the use cases we have. ;Limit recovery attempts for REFUSED_STREAM errors;We limit per-connection retries but not per-call retries, so this was creating large numbers of connections each of which called the server and accepted yet another REFUSED_STREAM.
https://github.com/square/okhttp/commit/82f773376e19bb7e10916627349fad06e45f90cb;Add HTTP/2 and <iden><version> columns to our security providers doc ;Add HTTP/2 and <iden><version> columns to our security providers doc ;to enhance our security documentation
https://github.com/square/okhttp/commit/7c4c8c724dd8e05c4907c46309d0290dc44764fb;Use  <file_name> 's built-in <iden> style  <enter> The boilerplate to set this up is unfortunate. ;Use  <file_name> 's built-in <iden> style  <enter>  ;The boilerplate to set this up is unfortunate
https://github.com/square/okhttp/commit/96e596117e25d108bf9b96ad2899d3610f9915a0;Use our test rule instead of the Maven Surefire listener  <enter> Closes :  <issue_link> ;Use our test rule instead of the Maven Surefire listener  ;to Close the issue indicated by the link
https://github.com/square/okhttp/commit/b5efb41a636154cb8bbc7c5ea3c8244090692d28;Degrade connections after a timeout  <enter> This is based roughly on the '<iden> Connections' proposal here  <issue_link>  <enter> I'm using 1000 ms instead of 500 ms. That's about the cost of a (slow) <iden> handshake, which is what callers would need to do if we degrade unnecessarily. ;Degrade connections after a timeout;This is based roughly on the '<iden> Connections' proposal here
https://github.com/square/okhttp/commit/620be4c97baf5d20cb21c55a11a6191b2511f1ce;Use <iden> in  <file_name> <enter> The utility here is negligible. We're sharing threads between HTTP, HTTP/2 and web sockets now. ;Use <iden> in <file_name>  ;The utility here is negligible. We're sharing threads between HTTP, HTTP/2 and web sockets now.
https://github.com/square/okhttp/commit/53e0f9e7fb39f7babd6388a7a56e9c7e827667e7;Adopt idiomatic <iden> in  <file_name>  ;Adopt idiomatic <iden> in <file_name>;idiomatic
https://github.com/square/okhttp/commit/e3e829d2060542d50f33d1a9864f7ace82c9db5c;<iden> change: Make  <file_name>  accessors final  <enter> If we want these to be vals to Kotlin, they can't be open. I think the motivation to make these non-final was pretty weak, and I don't mind breaking <iden> compatibility here. ;Make <file_name> accessors final  ;If we want these to be vals to Kotlin, they can't be open. I think the motivation to make these non-final was pretty weak, and I don't mind breaking <iden> compatibility here.
https://github.com/square/okhttp/commit/a1265b6140a8fe336602b969960d4048ebd1d3da;Fix a regression in combining cache headers  <enter> This was introduced with our migration to Kotlin. Iterating over the indices of the header names doesn't work because header names are not distinct. <enter>  Closes :  <issue_link> ;Fix a regression in combining cache headers;This was introduced with our migration to Kotlin. Iterating over the indices of the header names doesn't work because header names are not distinct.
https://github.com/square/okhttp/commit/99b83a3b20e6fe22b6ea587599fde1423056af2d;Include prerequisites in the releasing guide.  <enter> <url> ;Include prerequisites in the releasing guide.;to provide necessary information for users
https://github.com/square/okhttp/commit/bc6776c751b4cd93551a2a20f56429bb78296829;Convert  <file_name>  to Kotlin ( <pr_link> )  <enter> * Rename  <file_name>  to .kt <enter> * Convert  <file_name>  to Kotlin ;Convert <file_name> to Kotlin;"to Kotlin

Decision: Rename <file_name> to .kt"
https://github.com/square/okhttp/commit/7292e54a63733493553a98184080c90168370399;Update the changelog for <iden> <version> ;Update the changelog for <iden> <version>;
https://github.com/square/okhttp/commit/59e68cd2bcba789e7faca70f8910afd2edeed2be;Introduce  <method_name> <enter> This is the payoff that preceding changes have been working towards. This splits  <file_name>  into three parts: <enter>  -  <file_name> : strategy to allocate connections for exchanges  -  <file_name> : a single  <file_name>  pair  -  <file_name> : a sequence of exchanges for a <iden> <enter> The refactoring isn't totally complete, but this should be the last big one. <enter>  <issue_link> ;Introduce <method_name> ;This is the payoff that preceding changes have been working towards.
https://github.com/square/okhttp/commit/aac6c8da0720c53ccd8aa8385f8f250f78a7b61c;Introduce  <method_name>  responseFailed events  <enter> These replace <iden>() / <iden>() in some failure scenarios. They may also be issued in cases where no event was published previously. ;Introduce <method_name> responseFailed events;These replace <iden>() / <iden>() in some failure scenarios. They may also be issued in cases where no event was published previously.
https://github.com/square/okhttp/commit/2b5337d14ecce5f965ea0d0001f30565f0e1d4a0;Fix some maven problems that are blocking the <version> release ;Fix some maven problems that are blocking the <version> release;blocking the <version> release
https://github.com/square/okhttp/commit/137e7de0454f10160370f105ac7d9d2fc5403c84;"New API,  <method_name> <enter> Also rename  <method_name>  to <iden>(). 'Issued' is the word used by certificates; 'signed' is the word used by cryptographers. I prefer 'signed'. ";Rename <method_name> to <iden()>;I prefer 'signed'
https://github.com/square/okhttp/commit/db2ae92156242255a0d42caaf50c7801e79de917;Fixup  <file_name>  so that it's worthy of production use.  <enter> This changes the default from the insecure 1024-bit <iden> to a secure 256-bit <iden> key. It adds a new option to use <iden> keys for interoperating with older clients. ;Fixup <file_name> so that it's worthy of production use.;This changes the default from the insecure 1024-bit <iden> to a secure 256-bit <iden> key. It adds a new option to use <iden> keys for interoperating with older clients.
https://github.com/square/okhttp/commit/d908a676c25b6b3d547b45a9970f4bfb7a358010;Support client authentication in  <file_name> <enter> Also expose the handshake in the RecordedResponse. <enter>  <issue_link> ;Support client authentication in <file_name>;client authentication
https://github.com/square/okhttp/commit/ea014716fd2a8712ee39888725f91bed43148cd3;Remove <iden>-mode <iden> cipher suites  <enter> This removes the following cipher suites as supported-by-default: TLS_ECDHE_<iden>_WITH_AES_128_<iden>_SHA TLS_ECDHE_<iden>_WITH_AES_256_<iden>_SHA <enter> This tracks a similar change in Chromium 56:  <url>#remove_cbc-mode_ecdsa_ciphers_in_tls  <enter> OkHttp's updated cipher suites, plus comparisons to <iden>, <iden>, Chromium, Firefox, and Square's server-site configuration is here:  <url>  <enter>  Closes :  <issue_link> ;Remove <iden>-mode <iden> cipher suites;This removes the following cipher suites as supported-by-default
https://github.com/square/okhttp/commit/e7e22feb12244b455c8f4961d7eeab7cd21965fe;Fix Javadoc builds with the jsr305 dependency.  <enter> Because multiple modules share a package we need to share the dependency on everything in package-info.java. ;Fix Javadoc builds with the jsr305 dependency  ;Because multiple modules share a package we need to share the dependency on everything in package-info.java
https://github.com/square/okhttp/commit/ca76167504d5323f2a8c1011402907b9a755585c;Make the  <file_name>  a little better.  <enter> <iden> threads by their URLs. Don't follow all fragments of the same <iden>. ;Make the  <file_name>  a little better.  <enter> <iden> threads by their URLs. Don't follow all fragments of the same <iden>;"For better organization; to prevent following all fragments of the same <iden>"
https://github.com/square/okhttp/commit/5d43df973ae841ca05a63580c6a225ff251c410b;Fix an invalid HTML entity in the  <file_name>  Javadoc.  <enter> And-per-se-and ;Fix an invalid HTML entity in the <file_name> Javadoc  ;
https://github.com/square/okhttp/commit/fd509b937c4a5438fe02ddf06ade5ad56736af5d;Inject a leading . for better matching under  <file_name> <enter> Closes :  <issue_link> ;Inject a leading . for better matching under <file_name> <enter> Closes : <issue_link>;for better matching
https://github.com/square/okhttp/commit/5b8c043329b181d6d762d6192f3ded8abd84852e;Fix tests to share a common <iden>.  <enter> Also fix the memory limit, which may prevent Travis from failing our tests. ;Fix tests to share a common <iden>. Also fix the memory limit, which may prevent Travis from failing our tests.;share a common <iden>, memory limit, prevent Travis from failing our tests
https://github.com/square/okhttp/commit/15a5bc40a4520d935bbc02a3552f51dda77fcc9c;Collapse interceptors into a single chain.  <enter> Instead of having a chain of application interceptors and a separate chain of network interceptors, this makes a single heterogeneous chain. It makes the <iden> core and network caller into interceptors. ;Collapse interceptors into a single chain;Instead of having a chain of application interceptors and a separate chain of network interceptors, this makes a single heterogeneous chain. It makes the <iden> core and network caller into interceptors.
https://github.com/square/okhttp/commit/b8fd4e3de0098c44010800c8206000a21feeb252;Update readme and changelog for <version>. ;Update readme and changelog for <version>;<version>
https://github.com/square/okhttp/commit/18b2660873ed8f028ee72981c882ed676aa08030;New  <file_name>  class to normalize certificate chains.  <enter> The goal of this is to get the root <iden> certificate into the certificate chain, so that it can be considered by the certificate pinner. The work to integrate  <file_name>  with <iden> will come in a follow-up PR. <enter> See:  <issue_link> ;New <file_name> class to normalize certificate chains  ;The goal of this is to get the root <iden> certificate into the certificate chain, so that it can be considered by the certificate pinner
https://github.com/square/okhttp/commit/7826bcb2fb1facb697a4c512776756c05d8c9deb;Fix some get prefixes on  <file_name>  and  <method_name>  ;Fix some get prefixes on <file_name> and <method_name>;"-
None"
https://github.com/square/okhttp/commit/4262a05f8e858ac9c39599b2e1dfc53c03020cd2;Write some new connection pool tests.  <enter> These use the <iden> APIs. They're high-level so they won't break with the implementation rewrite. ;Write some new connection pool tests;These use the <iden> APIs. They're high-level so they won't break with the implementation rewrite.
https://github.com/square/okhttp/commit/cc216c6f731f4f08ac29e5619943f502c50bfafd;Add  <method_name> <enter> Might be useful to expose this bookkeeping to app developers. ;Add <method_name>;Might be useful to expose this bookkeeping to app developers
https://github.com/square/okhttp/commit/e36d7ecc26be18021da3555fc8b14381df7af34d;Fix flakiness in  <method_name> <enter> There's a race where the HTTP engine has been created, but not yet connected and the cancel isn't as immediate as it could be. Fix the test by making sure there's a response to be retrieved. <enter> With the upcoming connection pool changes we might make the implementation more robust. <enter>  Closes :  <issue_link> ;Fix flakiness in <method_name>  ;There's a race where the HTTP engine has been created, but not yet connected and the cancel isn't as immediate as it could be. Fix the test by making sure there's a response to be retrieved. With the upcoming connection pool changes we might make the implementation more robust.
https://github.com/square/okhttp/commit/868ee844458eda9ee7b1b6f9a5238b7c3f84c0e4;Drop our one remaining <iden> cipher suite.  <enter> Tracking <iden> and Firefox, which have also dropped this cipher suite. <enter> This is the only cipher suite change since the last update. See our cipher suites spreadsheet for a comparison:  <url>  <enter>  Closes <issue_link> ;Drop our one remaining <iden> cipher suite;Tracking <iden> and Firefox, which have also dropped this cipher suite
https://github.com/square/okhttp/commit/a560f721937f7f7299167a4d1c3f3ca87998635b;Expose internal APIs for pluggable file systems.  <enter> We aren't yet ready to make <iden> a public type, but I don't mind making it _almost_ available via an internal API for those brave enough to try that. <enter> Also migrate all of our tests to use the  <method_name>  It's simpler. <enter>  <issue_link> ;Expose internal APIs for pluggable file systems, Also migrate all of our tests to use the <method_name>  ;We aren't yet ready to make <iden> a public type, but I don't mind making it _almost_ available via an internal API for those brave enough to try that, It's simpler.
https://github.com/square/okhttp/commit/26401d816215e1050b8c1cc070ddc7f6210df523;Use Okio <version> final. ;Use Okio <version> final  ;
https://github.com/square/okhttp/commit/2ec2027fc00e24a83cd7bb7fef8b11e7c751bc13;Add missing copyright headers.  <enter> <issue_link> ;Add missing copyright headers  ;
https://github.com/square/okhttp/commit/7e28b1d6b6834879556b9c3caa62e49e428351cc;Change  <file_name>  to not implement java.net.ResponseCache.  <enter> This marks some methods as  @deprecated  and internal-only. Unfortunately we don't have a great mechanism to hide them from the documented <iden>. ;Change  <file_name>  to not implement java.net.ResponseCache;This marks some methods as  @deprecated and internal-only. Unfortunately we don't have a great mechanism to hide them from the documented <iden>.
https://github.com/square/okhttp/commit/770a1f954dfbd1b956ffceaf67c38f10a4de4401;Small cleanups.  <enter> Return the  <file_name>  on setters. Remove some completed TODOs in  <method_name>  Link to Okio in Javadoc. ;Small cleanups. Return the <file_name> on setters. Remove some completed TODOs in <method_name>. Link to Okio in Javadoc.;
https://github.com/square/okhttp/commit/d3c57bd4f38d5d3944da88266dd9b474a84d802b;" <file_name>  parsing.  <enter> This includes everything but character encoding. The implementation is built around one oversized method that runs top to bottom; I found this was easier to follow than the switch statement recommended by the <iden> standard. ";The implementation is built around one oversized method that runs top to bottom;I found this was easier to follow than the switch statement recommended by the <iden> standard
https://github.com/square/okhttp/commit/5b6f64a46220911466350202ae974f167497225a;Fix <iden> post retransmit in the new API.  <enter> We don't buffer response bodies in the new API. But we should retransmit POST bodies when a request fails. ;Fix <iden> post retransmit in the new API  ;We don't buffer response bodies in the new API. But we should retransmit POST bodies when a request fails.
https://github.com/square/okhttp/commit/2d47bc2631048fc713dbc7dbb6e7603619fce776;Add a test for corner-case behavior.  <enter> I'm looking to make HttpURLConnectionImpl delegate to Job, and that means writing tests for all the weird things it does above HttpEngine. ;Add a test for corner-case behavior;I'm looking to make HttpURLConnectionImpl delegate to Job, and that means writing tests for all the weird things it does above HttpEngine.
https://github.com/square/okhttp/commit/ff7946416d86aedcf154b868ba869241cd4816e9;Add some pings to force happens-before in <iden> tests.  <enter> Previously we were relying on accidents to get our tests to pass. There may still be some that require work, but this should fix the three tests that I saw fail. <enter>  <issue_link> ;Add some pings to force happens-before in <iden> tests;Previously we were relying on accidents to get our tests to pass
https://github.com/square/okhttp/commit/6c57d76915a7e79cc8b8f743ccd8ecc35889ce7c;Track  <file_name>  ownership.  <enter>  <file_name>  ownership is somewhat racy: when an HttpURLConnection reads the last byte of a connection, its ownership is released and given to the  <method_name>  ;Track <file_name> ownership  ;<file_name> ownership is somewhat racy: when an HttpURLConnection reads the last byte of a connection, its ownership is released and given to the <method_name>
https://github.com/square/okhttp/commit/6d8e198e2dd1ef808e81c57a9e88aa6218e0dbab;New mockwebserver docs. ;New mockwebserver docs;
https://github.com/square/okhttp/commit/97524fb5c9b94b1544a641f115318a41d976a801;Use <iden> in  <method_name>  ;Use <iden> in <method_name>  ;
https://github.com/square/okhttp/commit/dac5aed3d5f9307b9d1ab0a8c7840b232d053ef3;Move  <file_name>  pooling logic.  <enter> Previously we had this ugly, awkward release() method that attempted to manage  <file_name>  pooling, discarding streams for caching, and closing broken streams. <enter> Move  <file_name>  reuse to  <file_name> , with policy informed by  <method_name>  It specifies what to do when the  <file_name>  becomes idle: pool, close or hold. The  <file_name>  does what it's told. ;Move  <file_name>  pooling logic  ;"previously we had this ugly, awkward release() method that attempted to manage  <file_name>  pooling, discarding streams for caching, and closing broken streams; move  <file_name>  reuse to  <file_name>, with policy informed by  <method_name>  specifying what to do when the  <file_name>  becomes idle: pool, close or hold, so the  <file_name>  does what it's told."
https://github.com/square/okhttp/commit/5fe67f1bfc00a1c2027802515079137f6fd70bea;Implement moving bytes between OkBuffers.  <enter> This is more complicated than I'd anticipated. ;Implement moving bytes between OkBuffers  ;This is more complicated than I'd anticipated
https://github.com/square/okhttp/commit/46a0852c202acf68cd890867a35f8e51b81c2948;Don't attempt <iden> modes we know will fail.  <enter> <issue_link> ;Don't attempt <iden> modes we know will fail.;we know will fail
https://github.com/square/okhttp/commit/9eb276043fc14cda856671ccdba4065bba2a7bae;Small docs fixes. Remove <iden> 2 warnings. ;Remove <iden> 2 warnings;Small docs fixes
https://github.com/square/okhttp/commit/37c01895cca5ec2bec26a3d381611f0938acd6d0;"Define async APIs and switch  <file_name>  to use <iden> directly.  <enter> Using <iden> directly introduces some duplicated code with <iden>. It also breaks the  <file_name>  cache. I think this is the best route going forward; and eventually we could invert this relationship to have <iden> depending on  <file_name>  directly rather than vice versa. ";"Define async APIs and switch <file_name> to use <iden> directly. I think this is the best route going forward; and eventually we could invert this relationship to have <iden> depending on <file_name> directly rather than vice versa.";Using <iden> directly introduces some duplicated code with <iden>. It also breaks the <file_name> cache.
https://github.com/square/okhttp/commit/8f03548249d3292ab95fc5cf016b51133705e771;Fix checkstyle issues in new <iden> code. ;Fix checkstyle issues in new <iden> code;checkstyle issues
https://github.com/square/okhttp/commit/00a50d1919549b51d941aeb893b2a5ed465aa472;Teach  <file_name>  <iden>.  <enter> Kill  <file_name>  in the process. ;Kill <file_name> in the process  ;Teach <file_name> <iden>
