;Decision1;Rationale1;URL1;Decision2;Rationale2;URL2;Relationship;Alpha
0;Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;https://github.com/square/okhttp/commit/2d75be404a6c5371faded5dcdcadd26f64199e0a;Introduce <method_name> responseFailed events;These replace <iden>() / <iden>() in some failure scenarios. They may also be issued in cases where no event was published previously.;https://github.com/square/okhttp/commit/aac6c8da0720c53ccd8aa8385f8f250f78a7b61c;Contradicts;0.5183559060096741
1;Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;https://github.com/square/okhttp/commit/2d75be404a6c5371faded5dcdcadd26f64199e0a;Inject a leading . for better matching under <file_name> <enter> Closes : <issue_link>;for better matching;https://github.com/square/okhttp/commit/fd509b937c4a5438fe02ddf06ade5ad56736af5d;Contradicts;0.7254586815834045
2;<file_name> should be treated as immutable once shared;given that requirement, its safe for many threads to call the open() method concurrently to open their own connections;https://github.com/square/okhttp/commit/6b17f9edf338173c6491cc30feeb6e4ff539be9d;Inject a leading . for better matching under <file_name> <enter> Closes : <issue_link>;for better matching;https://github.com/square/okhttp/commit/fd509b937c4a5438fe02ddf06ade5ad56736af5d;Contradicts;0.5102536082267761
3;fix small types in the changelog;small types;https://github.com/square/okhttp/commit/c8c790a6c8862778cbf8f140b19944732316f0e7;Make error-prone validate missing override annotations;error-prone, missing override annotations;https://github.com/square/okhttp/commit/0e9a5c8054f8ae9b2bc4c41f32790fb52fd73944;Contradicts;0.5126569271087646
4;fix small types in the changelog;small types;https://github.com/square/okhttp/commit/c8c790a6c8862778cbf8f140b19944732316f0e7;Inject a leading . for better matching under <file_name> <enter> Closes : <issue_link>;for better matching;https://github.com/square/okhttp/commit/fd509b937c4a5438fe02ddf06ade5ad56736af5d;Contradicts;0.7372377514839172
5;Update README.md  ;<iden> moved to Github;https://github.com/square/okhttp/commit/6a79c3223c5ff2d556bbab8eb9909fffc4ca4387;Introduce <method_name> responseFailed events;These replace <iden>() / <iden>() in some failure scenarios. They may also be issued in cases where no event was published previously.;https://github.com/square/okhttp/commit/aac6c8da0720c53ccd8aa8385f8f250f78a7b61c;Contradicts;0.5895712971687317
6;Update README.md  ;<iden> moved to Github;https://github.com/square/okhttp/commit/6a79c3223c5ff2d556bbab8eb9909fffc4ca4387;Inject a leading . for better matching under <file_name> <enter> Closes : <issue_link>;for better matching;https://github.com/square/okhttp/commit/fd509b937c4a5438fe02ddf06ade5ad56736af5d;Contradicts;0.7257445454597473
7;Support querying & setting transport lists on connections  ;The list is specified via a magic request property <iden> and can be queried via the request property <iden> ;https://github.com/square/okhttp/commit/4910039a572abc6d20cac48eb2c5e92591520537;Inject a leading . for better matching under <file_name> <enter> Closes : <issue_link>;for better matching;https://github.com/square/okhttp/commit/fd509b937c4a5438fe02ddf06ade5ad56736af5d;Contradicts;0.7927927374839783
8;Fix nullability (override default parameter nullability set at package-info);response receives null explicitly from several catch clauses;https://github.com/square/okhttp/commit/d4a9cf4772ae9d8991e58d934dea433798c9b8eb;Make error-prone validate missing override annotations;error-prone, missing override annotations;https://github.com/square/okhttp/commit/0e9a5c8054f8ae9b2bc4c41f32790fb52fd73944;Contradicts;0.5419845581054688
9;Fix nullability (override default parameter nullability set at package-info);response receives null explicitly from several catch clauses;https://github.com/square/okhttp/commit/d4a9cf4772ae9d8991e58d934dea433798c9b8eb;Introduce <method_name> responseFailed events;These replace <iden>() / <iden>() in some failure scenarios. They may also be issued in cases where no event was published previously.;https://github.com/square/okhttp/commit/aac6c8da0720c53ccd8aa8385f8f250f78a7b61c;Contradicts;0.6095619797706604
