url;new_message1;Decision;Rationale
https://github.com/square/retrofit/commit/07548db79012d3ccacc5d883f3e71d24d0de359a;Add <iden> annotation. ;Add <iden> annotation.;
https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Add missing <iden> wrappers as return type ;Add missing <iden> wrappers as return type;missing
https://github.com/square/retrofit/commit/a63faf44e1b103a49d25a15c720fc5940ae9fc07;Fixed copy-paste errors. ;Fixed copy-paste errors  ;
https://github.com/square/retrofit/commit/52be441605e6fc469ec718b2da954ad553491746;Fix foo/bar/baz in @query documentation ;Fix foo/bar/baz in @query documentation;
https://github.com/square/retrofit/commit/8db48717825286e5d10a37a6600c34ba29b8822f;Added a  <file_name>  rule for the line indentation  <enter> Change-Id: I94d7404cb05c192021a6f737ffa6cf8c3fe9a3fa ;Added a <file_name> rule for the line indentation  ;Indentation
https://github.com/square/retrofit/commit/00a2db876fc5c0447a3617837894f30890cde367;Adding GET support to  <file_name>  ;Adding GET support to <file_name>;support
https://github.com/square/retrofit/commit/b3fcdca9939f376d9f825bb6ccaeeaa97c0f8325;Fix inconsistencies in javadocs.  <enter> These changes were made with consistency in mind, in relation to the rest of the project:  - Change self-closing <p/> tags to regular <p> tags.  - Add missing <p> tags. ;Fix inconsistencies in javadocs  ;These changes were made with consistency in mind, in relation to the rest of the project
https://github.com/square/retrofit/commit/e8e30931a53393becb20556f579685141e733a19;Add default constructor to  <file_name>  ;Add default constructor to <file_name>;
https://github.com/square/retrofit/commit/15f73966ee4e7d355cc0b9839f2103ae9684f72f;baseUrl should end with '/' ;baseUrl should end with '/';end with '/'
https://github.com/square/retrofit/commit/408a975f4c35438118f613bbeed912e1b0f71ec3;Update multipart documentation. ;Update multipart documentation;
https://github.com/square/retrofit/commit/17bc62131d9b7ee88277bbc63d2cdb94a25b4a75;add paragraph clarifying logging ;add paragraph clarifying logging;clarifying logging
https://github.com/square/retrofit/commit/329a9fda122f29a40f49482d421f260bf148ee83;Ability to add Http status code to  <method_name>  ( <pr_link> ) ;Ability to add Http status code to <method_name>;
https://github.com/square/retrofit/commit/a10def06d7a3ec75de30fee9c2dfd47837201eba;Add response object to  <file_name>  success.  <enter> Gives access to response headers while still converting response within retrofit. ;Add response object to <file_name> success;Gives access to response headers while still converting response within retrofit
https://github.com/square/retrofit/commit/0284a813dbd69be3f13fb60fe3be128379df7a64; <file_name> : Support <iden> / <iden> for @field ;Support <iden> / <iden> for @field;Supporting <iden> / <iden> for @field
https://github.com/square/retrofit/commit/88dff564e4e764a56730f1224c3d685e520e2aee;Add <iden> wrapper validation ;Add <iden> wrapper validation  ;validation
https://github.com/square/retrofit/commit/a3899f234e7b71fa49ff4a016c7826c59b6d6979;Fix  <file_name>  conditional ;Fix  <file_name>  conditional;
https://github.com/square/retrofit/commit/34f6a7fdc2f359d05a32f3262825563fc10929b4;Add <iden> integration tests ;Add <iden> integration tests;integration
https://github.com/square/retrofit/commit/a1897aebc2678d5ca1f3ae09416030673d415ab2;Small fixes from error-prone ;Small fixes  ;error-prone
https://github.com/square/retrofit/commit/1ec98c2364b497278c34f04a49236cde9de7b178;Add coroutine support to  <file_name>  ;Add coroutine support to <file_name> ;coroutine support
