;Decision1;Rationale1;URL1;Decision2;Rationale2;URL2;Relationship;Alpha;similarity_rationales
0;Added a <file_name> rule for the line indentation  ;Indentation;https://github.com/square/retrofit/commit/8db48717825286e5d10a37a6600c34ba29b8822f;Revert Revert Allow  <file_name>  instantiation. Hide some Apache implementation details.;This reverts commit  <otherCommit_link>;https://github.com/square/retrofit/commit/f87f9b3c032714980299d6da20b3ae87a8bb3109;Contradicts;0.8332599401473999;0.6752484440803528
1;Added a <file_name> rule for the line indentation  ;Indentation;https://github.com/square/retrofit/commit/8db48717825286e5d10a37a6600c34ba29b8822f;Reintroduced deprecated <file_name> constructor;deprecated;https://github.com/square/retrofit/commit/ed2e8a5b52e933034b74e5aa66bc42862bfd30de;Contradicts;0.8955945372581482;0.7181606888771057
2;Add <iden> integration tests;integration;https://github.com/square/retrofit/commit/34f6a7fdc2f359d05a32f3262825563fc10929b4;Move <file_name> into the main package, remove <iden> from core;This change means that only <iden> and <iden> are the types which are allowed for their respective objects by default. If you want serialization of any kind, you need to opt-in with either your own <file_name> or one of the provided ones;https://github.com/square/retrofit/commit/9b203b66891c1d363529a1b2b46c8968bf54d7cc;Contradicts;0.9580800533294678;0.3567047715187073
3;Migrate forced suspension mechanism from yield to <iden>;Since its possible for certain dispatchers to completely avoid yielding, and currently the immediate dispatchers exhibit this behavior, we need an alternate mechanism of forcing suspension or UndeclaredThrowableExceptions will still be seen.;https://github.com/square/retrofit/commit/9d683b75b111e60d30da8a03335d2ce71f5e8585;Move <file_name> into the main package, remove <iden> from core;This change means that only <iden> and <iden> are the types which are allowed for their respective objects by default. If you want serialization of any kind, you need to opt-in with either your own <file_name> or one of the provided ones;https://github.com/square/retrofit/commit/9b203b66891c1d363529a1b2b46c8968bf54d7cc;Contradicts;0.9367420077323914;0.593686580657959
4;Expose static factory for <file_name> <enter> Also rework the internals of how an <file_name> gets instantiated and set as a tag on the <iden>;This will make a future change easier to land;https://github.com/square/retrofit/commit/f939189f3b825beb66a499686b9f6ca0f3a70cc1;Move <file_name> into the main package, remove <iden> from core;This change means that only <iden> and <iden> are the types which are allowed for their respective objects by default. If you want serialization of any kind, you need to opt-in with either your own <file_name> or one of the provided ones;https://github.com/square/retrofit/commit/9b203b66891c1d363529a1b2b46c8968bf54d7cc;Contradicts;0.912531852722168;0.252415120601654
5;Expose static factory for <file_name> <enter> Also rework the internals of how an <file_name> gets instantiated and set as a tag on the <iden>;This will make a future change easier to land;https://github.com/square/retrofit/commit/f939189f3b825beb66a499686b9f6ca0f3a70cc1;Reintroduced deprecated <file_name> constructor;deprecated;https://github.com/square/retrofit/commit/ed2e8a5b52e933034b74e5aa66bc42862bfd30de;Contradicts;0.9037084579467772;0.3854390978813171
6;Pull out <file_name> base class <enter>;This will allow us to support multiple forms of invocation beyond <iden> calls.;https://github.com/square/retrofit/commit/0fff59140b5791ad0f1b1c7bf7826db2e00a73f1;Reintroduced deprecated <file_name> constructor;deprecated;https://github.com/square/retrofit/commit/ed2e8a5b52e933034b74e5aa66bc42862bfd30de;Contradicts;0.8573492169380188;0.2662356197834015
7;Remove old <iden> nonsense;As of API 26 the android.jar contains the classes checked by <iden> and used by <iden>.Java8. And we dont encourage throwing checked exceptions from the service method but instead routing them through your call adapter.;https://github.com/square/retrofit/commit/246bef5bf34c0598a91038b2e15bace7718408d4;Rename <method_name> to onSuccess(), and failure() to <iden>();to onSuccess(), and failure(), <iden>;https://github.com/square/retrofit/commit/cf392789e4d1a4e7b8e450ccd708f4ad128e3c1c;Contradicts;0.9338498711586;0.1820428222417831
8;Remove old <iden> nonsense;As of API 26 the android.jar contains the classes checked by <iden> and used by <iden>.Java8. And we dont encourage throwing checked exceptions from the service method but instead routing them through your call adapter.;https://github.com/square/retrofit/commit/246bef5bf34c0598a91038b2e15bace7718408d4;Reintroduced deprecated <file_name> constructor;deprecated;https://github.com/square/retrofit/commit/ed2e8a5b52e933034b74e5aa66bc42862bfd30de;Contradicts;0.954214334487915;0.0648807734251022
9;Combine <file_name> and <iden> into <method_name> <enter>  ;This is one class that handles all of the annotations and binding for a service method;https://github.com/square/retrofit/commit/6961f57ab97224073743b1f14a0395a493c52985;Rename <method_name> to onSuccess(), and failure() to <iden>();to onSuccess(), and failure(), <iden>;https://github.com/square/retrofit/commit/cf392789e4d1a4e7b8e450ccd708f4ad128e3c1c;Contradicts;0.8899573683738708;0.2598907053470611
10;Combine <file_name> and <iden> into <method_name> <enter>  ;This is one class that handles all of the annotations and binding for a service method;https://github.com/square/retrofit/commit/6961f57ab97224073743b1f14a0395a493c52985;Reintroduced deprecated <file_name> constructor;deprecated;https://github.com/square/retrofit/commit/ed2e8a5b52e933034b74e5aa66bc42862bfd30de;Contradicts;0.8225380778312683;0.2180464565753936
11;Combine <file_name> and <iden> into <method_name> <enter>  ;This is one class that handles all of the annotations and binding for a service method;https://github.com/square/retrofit/commit/6961f57ab97224073743b1f14a0395a493c52985;rename <iden> ->  <file_name>  ;to harvest the names for new annotations;https://github.com/square/retrofit/commit/f844530c11dca51bd8d96afc87b6e94d0a20917a;Contradicts;0.8175134062767029;0.5523516535758972
