;Decision1;Rationale1;URL1;Decision2;Rationale2;URL2;Relationship;Alpha
0;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Added a <file_name> rule for the line indentation  ;Indentation;https://github.com/square/retrofit/commit/8db48717825286e5d10a37a6600c34ba29b8822f;Similar;0.6278139352798462
1;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Adding GET support to <file_name>;support;https://github.com/square/retrofit/commit/00a2db876fc5c0447a3617837894f30890cde367;Similar;0.6129245162010193
2;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Fix inconsistencies in javadocs  ;These changes were made with consistency in mind, in relation to the rest of the project;https://github.com/square/retrofit/commit/b3fcdca9939f376d9f825bb6ccaeeaa97c0f8325;Similar;0.6220280528068542
3;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;baseUrl should end with /;end with /;https://github.com/square/retrofit/commit/15f73966ee4e7d355cc0b9839f2103ae9684f72f;Similar;0.6596556901931763
4;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;add paragraph clarifying logging;clarifying logging;https://github.com/square/retrofit/commit/17bc62131d9b7ee88277bbc63d2cdb94a25b4a75;Similar;0.5154154300689697
5;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Add response object to <file_name> success;Gives access to response headers while still converting response within retrofit;https://github.com/square/retrofit/commit/a10def06d7a3ec75de30fee9c2dfd47837201eba;Similar;0.594090461730957
6;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Support <iden> / <iden> for @field;Supporting <iden> / <iden> for @field;https://github.com/square/retrofit/commit/0284a813dbd69be3f13fb60fe3be128379df7a64;Similar;0.5990536212921143
7;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Add <iden> wrapper validation  ;validation;https://github.com/square/retrofit/commit/88dff564e4e764a56730f1224c3d685e520e2aee;Similar;0.6614072918891907
8;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Add <iden> integration tests;integration;https://github.com/square/retrofit/commit/34f6a7fdc2f359d05a32f3262825563fc10929b4;Similar;0.5689905881881714
9;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Add coroutine support to <file_name> ;coroutine support;https://github.com/square/retrofit/commit/1ec98c2364b497278c34f04a49236cde9de7b178;Similar;0.6206487417221069
10;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Migrate forced suspension mechanism from yield to <iden>;Since its possible for certain dispatchers to completely avoid yielding, and currently the immediate dispatchers exhibit this behavior, we need an alternate mechanism of forcing suspension or UndeclaredThrowableExceptions will still be seen.;https://github.com/square/retrofit/commit/9d683b75b111e60d30da8a03335d2ce71f5e8585;Similar;0.7598366737365723
11;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Allow service interfaces to extend other interfaces  ;With a higher minSdkVersion, the bug which prevented this on <iden> no longer exists;https://github.com/square/retrofit/commit/948a0db7ef1d46c66237ed2feb9f6f08ee159c68;Similar;0.5330925583839417
12;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Add more obviously missing @nullable annotations;missing;https://github.com/square/retrofit/commit/cb998173485b21af3c60abf3f64010b8a6b55559;Similar;0.7936851978302002
13;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Add some missing @nullable annotations to <file_name> ;missing;https://github.com/square/retrofit/commit/239cd2f227dc47d268bfec91b97f2dfd2958eee2;Similar;0.8534389734268188
14;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Fatal errors should crash the dispatcher thread;Fatal errors should be propagated by the async observer instead of attempting to make its way back downstream.;https://github.com/square/retrofit/commit/46cdff20b53a84e816d6022541347b3c06a5a52b;Similar;0.5512629747390747
15;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Add some missing Nullable annotations;missing;https://github.com/square/retrofit/commit/a604fe1181bda241d8f0a5e07c96d7c432b44dfb;Similar;0.8054558038711548
16;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Add some missing Nullable annotations;missing;https://github.com/square/retrofit/commit/f1524cd7c74dd3ca11154f6d3fcc0db5044d8a4e;Similar;0.8054558038711548
17;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Add some missing Nullable annotations;missing;https://github.com/square/retrofit/commit/a604fe1181bda241d8f0a5e07c96d7c432b44dfb;Similar;0.8054558038711548
18;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Add some missing Nullable annotations;missing;https://github.com/square/retrofit/commit/f1524cd7c74dd3ca11154f6d3fcc0db5044d8a4e;Similar;0.8054558038711548
19;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Use a dummy value to further validation optional delegation;This ensures the value can only come from only one place;https://github.com/square/retrofit/commit/1d64f9763e1f5aa3d049710df8366f425109672f;Similar;0.7368026971817017
20;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Expose static factory for <file_name> <enter> Also rework the internals of how an <file_name> gets instantiated and set as a tag on the <iden>;This will make a future change easier to land;https://github.com/square/retrofit/commit/f939189f3b825beb66a499686b9f6ca0f3a70cc1;Similar;0.5158989429473877
21;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Re-work unresolvable type detection in parameters  ;"In order to natively support Kotlins suspend modifier in the future, we need to allow wildcards to be used for the last parameter; As a result, we only validate the shape of a type once an annotation is detected.";https://github.com/square/retrofit/commit/c3633423b4a52566446bc6d540904f1f5f715205;Similar;0.7459313869476318
22;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Update to <iden> <version>;Use get instead of parse for <iden> and <iden> where valid input is always required;https://github.com/square/retrofit/commit/ce71d0527610689ea096c6f30f9ef6eac8266b1d;Similar;0.6558281183242798
23;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Consolidate exception formatters in one place  ;streamline implementation and improve maintenance;https://github.com/square/retrofit/commit/f3bf724467cbd07127d26953bfc6f7e9b724b6ba;Similar;0.5962445735931396
24;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Pull out <file_name> base class <enter>;This will allow us to support multiple forms of invocation beyond <iden> calls.;https://github.com/square/retrofit/commit/0fff59140b5791ad0f1b1c7bf7826db2e00a73f1;Similar;0.6430860757827759
25;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Remove old <iden> nonsense;As of API 26 the android.jar contains the classes checked by <iden> and used by <iden>.Java8. And we dont encourage throwing checked exceptions from the service method but instead routing them through your call adapter.;https://github.com/square/retrofit/commit/246bef5bf34c0598a91038b2e15bace7718408d4;Similar;0.6933205723762512
26;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Use HTTPS links in documentation where possible  ;where possible;https://github.com/square/retrofit/commit/c793de34b30cdd592dfa735bc0537400a7221164;Similar;0.5303260087966919
27;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Combine <file_name> and <iden> into <method_name> <enter>  ;This is one class that handles all of the annotations and binding for a service method;https://github.com/square/retrofit/commit/6961f57ab97224073743b1f14a0395a493c52985;Similar;0.6893134713172913
28;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Rename <method_name> to onSuccess(), and failure() to <iden>();to onSuccess(), and failure(), <iden>;https://github.com/square/retrofit/commit/cf392789e4d1a4e7b8e450ccd708f4ad128e3c1c;Similar;0.7755011916160583
29;Add missing <iden> wrappers as return type;missing;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Add JSR 305 nullability annotations;nullability annotations;https://github.com/square/retrofit/commit/3c963a4a470194961e98952b2b51b8b29901d9e5;Similar;0.6716731786727905
