url;new_message1;Decision;Rationale
https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Fix typo `<iden>` -> `<iden>`  <enter> See  <pr_link> ;Fix typo `<iden>` -> `<iden>`;See  <pr_link>
https://github.com/spring-projects/spring-boot/commit/b34e752db6d8bad7d040d19be545e3cfc57f3dcd;Ensure checking customizer ordering  <enter> See  <pr_link> ;Ensure checking customizer ordering;See <pr_link>
https://github.com/spring-projects/spring-boot/commit/c355b95f6c744191e9d90623281190b783542cc2;Fix conditions that lead to auto-configure <iden>  <enter> See  <pr_link> ;Fix conditions that lead to auto-configure <iden> <enter>;See <pr_link>
https://github.com/spring-projects/spring-boot/commit/2516dc033f909281702dfd2f99e8d0f05d59af8b;Fix documentation example  <enter> Previously, the nested private static class would cause an error at startup stating that it was not accessible when trying to bind the property from the environment. The nested class should be public. <enter>  Closes <pr_link> ;The nested class should be public.;The nested private static class would cause an error at startup stating that it was not accessible when trying to bind the property from the environment.
https://github.com/spring-projects/spring-boot/commit/0f9e8315bca4e3c8be824c2c1a1b7ec6defdc734;Replace use of deprecated Reactor <iden> in tests  <enter> Fixes <issue_link> ;Replace use of deprecated Reactor <iden> in tests;Fixes <issue_link>
https://github.com/spring-projects/spring-boot/commit/e233ea7f546fcbc5fccf972bc70c26373103444c;Fix undertow access_log file name  <enter> Undertow <version> changed the default access log file suffix from '.log' to just 'log'. Thus we need to adapt the file name pattern to include the missing dot. <enter>  Closes <pr_link> ;Fix undertow access_log file name;Undertow <version> changed the default access log file suffix from '.log' to just 'log'. Thus we need to adapt the file name pattern to include the missing dot.
https://github.com/spring-projects/spring-boot/commit/3b07e4e633ebcbdb0836ed7ad0b21fc8f0b42a9e;Fix typos in the documentation: though -> through  <enter> Closes <pr_link> ;Fix typos in the documentation: though -> through;Closes <pr_link>
https://github.com/spring-projects/spring-boot/commit/abcff3a3b382f227f257b750415975c6694d4cb2;Use try-with-resources in  <file_name> <enter> See  <pr_link> ;Use try-with-resources in <file_name>;improved resource management and error handling
https://github.com/spring-projects/spring-boot/commit/a8af25476577999c33c34f5971a03251658c340d;Fix description of test file to be tests.groovy  <enter> Corrected the documentation to refer to file as tests.groovy, rather than test.groovy. Updated cope snippet as tests.groovy should expect 'Hello <iden>!' rather than 'Hello <iden>'. <enter>  Closes <pr_link> ;Fix description of test file to be tests.groovy;Corrected the documentation to refer to file as tests.groovy, rather than test.groovy. Updated cope snippet as tests.groovy should expect 'Hello <iden>!' rather than 'Hello <iden>'. <br> Closes <pr_link>
https://github.com/spring-projects/spring-boot/commit/7daade21c4ef296499f11d0413c91d9e029bc576;Support escaped characters in  <file_name> <enter> This commit adds the ability to have escaped characters, like the quote, when using the  <method_name>  It also adds a short test for escaped quotes. <enter>  Closes <pr_link> ;Support escaped characters in <file_name>  ;This commit adds the ability to have escaped characters, like the quote, when using the <method_name>. Also adds a short test for escaped quotes.
https://github.com/spring-projects/spring-boot/commit/1fa1ed2b2805f731dcdf30327a5ff0b92ccf55e3;Document <iden> response format of health endpoint  <enter> Add <iden> response format details for health endpoint, including default status codes and sample responses. <enter> See  <pr_link> ;Add <iden> response format details for health endpoint, including default status codes and sample responses;Document <iden> response format of health endpoint, See <pr_link>
https://github.com/spring-projects/spring-boot/commit/d6bd120b2c4230acb101c424a0e5ba8aa4b40b82;Remove unused  <file_name>  from spring-boot-sample-tomcat  <enter> Closes <pr_link> ;Remove unused <file_name> from spring-boot-sample-tomcat;Closes <pr_link>
https://github.com/spring-projects/spring-boot/commit/14bd404b71fcb967d4af282e839a763112ecd40c;Document <iden>  <file_name> <enter> Update the reference documentation to include details of <iden>. <enter>  Closes <pr_link> ;Update the reference documentation to include details of <iden>;Closes <pr_link>
https://github.com/spring-projects/spring-boot/commit/a4104ab096b4a1f3f41995dec435b8435dc5473c;Add <iden> slice test support  <enter> Add `<iden>` and related test auto-configuration to allow slice testing of  <file_name>  <iden> client applications. <enter> See  <pr_link> ;Add <iden> slice test support;Add `<iden>` and related test auto-configuration to allow slice testing of  <file_name>  <iden> client applications. See  <pr_link>
https://github.com/spring-projects/spring-boot/commit/a2fdf23e41020a9cc54ea3334618686bf28685de;Don't throw  <file_name>  on permission errors  <enter> Update ` <file_name> ` so that the `<iden>` is not thrown for permission denied errors. <enter>  Fixes <issue_link> ;Update ` <file_name> ` so that the `<iden>` is not thrown for permission denied errors.;Fixes <issue_link>
https://github.com/spring-projects/spring-boot/commit/6bc37c05898be797da4312e66c899491b4bb1965;Drop annotation processor spring-core dependency  <enter> Remove the spring-core dependency from the annotation processor. (cherry-picked from  <otherCommit_link> ) <enter>  Fixes <issue_link> ;Remove the spring-core dependency from the annotation processor;"cherry-picked from otherCommit_link; Fixes issue_link"
