;Decision1;Rationale1;URL1;Decision2;Rationale2;URL2;Relationship;Alpha;similarity_rationales;contradiction_rationales
0;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Fix conditions that lead to auto-configure <iden> <enter>;See <pr_link>;https://github.com/spring-projects/spring-boot/commit/c355b95f6c744191e9d90623281190b783542cc2;Similar;0.8823097348213196;1.0000001192092896;
1;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Fix typos in the documentation: though -> through;Closes <pr_link>;https://github.com/spring-projects/spring-boot/commit/3b07e4e633ebcbdb0836ed7ad0b21fc8f0b42a9e;Similar;0.8614712953567505;0.7611262798309326;
2;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Update the reference documentation to include details of <iden>;Closes <pr_link>;https://github.com/spring-projects/spring-boot/commit/14bd404b71fcb967d4af282e839a763112ecd40c;Similar;0.8063264489173889;0.7611262798309326;
3;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Fix doc formatting;Closes <issue_link>;https://github.com/spring-projects/spring-boot/commit/49fefdafd86a2349cecaa1438a019cd5b6cdb392;Similar;0.8328131437301636;0.7246291637420654;
4;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Fix datasource metrics doc;The maximum and minimum number of connections are not metrics so these are not exposed. Fix the doc that stated the contrary.;https://github.com/spring-projects/spring-boot/commit/982b81c675319d1a5d2fb859a28db06449e2f1a0;Similar;0.8201218843460083;0.2126538157463073;
5;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Refine validator and `<iden>` validator configuration  ;This commit ensures that a primary JSR 303 and `<iden>` will be exposed if the auto-configuration kicks in. As `<iden>` exposes 3 contracts (JSR-303 `<iden>` and `<iden>` as well as the `<iden>` validator one), this makes sure that those types can be injected by type. `<iden>` exposes 3 contracts and were only checking for the absence of a `javax.validation.<iden>` to auto-configure a `<iden>`. If no standard JSR validator exists but a <iden>s `<iden>` exists and is primary, we shouldnt flag the auto-configured one as `<iden>`. Previous iterations on this feature have made sure that well auto-configure at most one `javax.validation.<iden>` so not flagging it `<iden>` is no problem. This commit also restores and adds tests that validate `<file_name>` will configure a JSR validator even if a <iden> is present. This effectively fixes `<issue_link>` in a different way. Closes `<issue_link>` Closes `<issue_link>`;https://github.com/spring-projects/spring-boot/commit/1de2316a0b4c2d5896c34b954208a4c550466f22;Similar;0.8629426956176758;0.2172337174415588;
6;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Fix  <file_name>  javadoc;Fix;https://github.com/spring-projects/spring-boot/commit/b439d3522ee0615cd46ea50d7791a89802d9c0bc;Similar;0.8122382760047913;0.711220383644104;
7;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Fix exec-maven-plugin configuration issue;fixes <issue_link>;https://github.com/spring-projects/spring-boot/commit/d828f13a09c33a4c13eddc8bcc18cd0e297102d6;Similar;0.8166942596435547;0.8297727108001709;
8;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Fix typo a -> an  ;Fix typo;https://github.com/spring-projects/spring-boot/commit/46fbca66a69d102db55f7c454565f82ff5be6b98;Similar;0.9256234169006348;0.7376742959022522;
9;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;https://github.com/spring-projects/spring-boot/commit/911b12f28d1a6584eb9a0f849f6e953fad840b86;Similar;0.8432666063308716;0.5348097681999207;
10;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Fix link formatting in custom <iden> section  ;See <pr_link>;https://github.com/spring-projects/spring-boot/commit/0975b5b2203aeb8c91eaeba6b3c83605911d57a6;Similar;0.8493553996086121;1.0000001192092896;
11;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Fix tests;Fix;https://github.com/spring-projects/spring-boot/commit/02a1c435874fa8ed72db227b3bd911d079fc7cee;Similar;0.816850483417511;0.711220383644104;
12;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Fix profile precedence when active and include provided  ;If profiles were activated via the environment using the active and include profile property, profiles specified via the active property would take precedence. This commit restores that behavior.;https://github.com/spring-projects/spring-boot/commit/87680b4ee595ef9417495f443f0b475ff96e9e87;Similar;0.841015100479126;0.466394692659378;
13;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Add <iden> for <iden>  ;<iden> is exposed via server.servletPath.;https://github.com/spring-projects/spring-boot/commit/b2b487ee5f5769137c7ba6372df01b7cd0908ad5;Similar;0.840055525302887;0.6866741180419922;
14;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Fix test;Fix;https://github.com/spring-projects/spring-boot/commit/9bb6e0f497d8760e31607fb0c199c3bb5679a3b4;Similar;0.8150994777679443;0.711220383644104;
