;Decision1;Rationale1;URL1;Decision2;Rationale2;URL2;Relationship;Alpha
0;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Ensure checking customizer ordering;See <pr_link>;https://github.com/spring-projects/spring-boot/commit/b34e752db6d8bad7d040d19be545e3cfc57f3dcd;Similar;0.6951031684875488
1;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Fix conditions that lead to auto-configure <iden> <enter>;See <pr_link>;https://github.com/spring-projects/spring-boot/commit/c355b95f6c744191e9d90623281190b783542cc2;Similar;0.8823097348213196
2;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Fix undertow access_log file name;Undertow <version> changed the default access log file suffix from .log to just log. Thus we need to adapt the file name pattern to include the missing dot.;https://github.com/spring-projects/spring-boot/commit/e233ea7f546fcbc5fccf972bc70c26373103444c;Similar;0.6990212202072144
3;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Fix typos in the documentation: though -> through;Closes <pr_link>;https://github.com/spring-projects/spring-boot/commit/3b07e4e633ebcbdb0836ed7ad0b21fc8f0b42a9e;Similar;0.8614712953567505
4;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Use try-with-resources in <file_name>;improved resource management and error handling;https://github.com/spring-projects/spring-boot/commit/abcff3a3b382f227f257b750415975c6694d4cb2;Similar;0.7537744641304016
5;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Fix description of test file to be tests.groovy;Corrected the documentation to refer to file as tests.groovy, rather than test.groovy. Updated cope snippet as tests.groovy should expect Hello <iden>! rather than Hello <iden>. <br> Closes <pr_link>;https://github.com/spring-projects/spring-boot/commit/a8af25476577999c33c34f5971a03251658c340d;Similar;0.7278232574462891
6;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Support escaped characters in <file_name>  ;This commit adds the ability to have escaped characters, like the quote, when using the <method_name>. Also adds a short test for escaped quotes.;https://github.com/spring-projects/spring-boot/commit/7daade21c4ef296499f11d0413c91d9e029bc576;Similar;0.6714622974395752
7;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Add <iden> response format details for health endpoint, including default status codes and sample responses;Document <iden> response format of health endpoint, See <pr_link>;https://github.com/spring-projects/spring-boot/commit/1fa1ed2b2805f731dcdf30327a5ff0b92ccf55e3;Similar;0.5711378455162048
8;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Update the reference documentation to include details of <iden>;Closes <pr_link>;https://github.com/spring-projects/spring-boot/commit/14bd404b71fcb967d4af282e839a763112ecd40c;Similar;0.8063264489173889
9;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Add <iden> slice test support;Add `<iden>` and related test auto-configuration to allow slice testing of  <file_name>  <iden> client applications. See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/a4104ab096b4a1f3f41995dec435b8435dc5473c;Similar;0.785133421421051
10;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Update ` <file_name> ` so that the `<iden>` is not thrown for permission denied errors.;Fixes <issue_link>;https://github.com/spring-projects/spring-boot/commit/a2fdf23e41020a9cc54ea3334618686bf28685de;Similar;0.5754725337028503
11;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Move the ` <file_name> ` file from  <file_name> ` into ` <file_name>;since the IDE plugin supports both.;https://github.com/spring-projects/spring-boot/commit/24e873cd7c2608e642fd6e90460bc98079ba4e27;Similar;0.7340539693832397
12;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Fix tests failing on Windows;tests failing on Windows;https://github.com/spring-projects/spring-boot/commit/fa040c9e268e4f614b118af1b680d7789251ade3;Similar;0.5444055199623108
13;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Make <iden> a default method;"Change ` <method_name> to have a default implementation that return `<iden>`; Fixes <issue_link>";https://github.com/spring-projects/spring-boot/commit/a5200568384b036202a49b53813aad4a6ce807b2;Similar;0.7970473170280457
14;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Update actuator security documentation;Update documentation to align with the new role based method.;https://github.com/spring-projects/spring-boot/commit/f8a53cf775b03c9258b42be194e05e0ee1779f35;Similar;0.740958571434021
15;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Add a rule to enforce <iden> 5 usage and conventions;Closes <issue_link>;https://github.com/spring-projects/spring-boot/commit/b3d5cd538dcea991d307ccc556cdfa93be3a7814;Similar;0.5961403846740723
